date,TILE_Open,TILE_High,TILE_Low,TILE_Close,TILE_Volume,TILE_Dividends,TILE_Stock Splits
1983-04-14 00:00:00+00:00,0.0,4.75,4.625,3.073787212371826,2984800,0.0,
1983-04-15 00:00:00+00:00,0.0,4.625,4.5625,3.0322484970092773,963200,0.0,
1983-04-18 00:00:00+00:00,0.0,4.8125,4.5625,3.0322484970092773,660400,0.0,
1983-04-19 00:00:00+00:00,0.0,4.875,4.75,3.1568639278411865,441200,0.0,
1983-04-20 00:00:00+00:00,0.0,4.875,4.8125,3.198401689529419,318000,0.0,
1983-04-21 00:00:00+00:00,0.0,5.0625,4.875,3.2399392127990723,180000,0.0,
1983-04-22 00:00:00+00:00,0.0,5.1875,5.0625,3.3645527362823486,204000,0.0,
1983-04-25 00:00:00+00:00,0.0,5.3125,5.125,3.4060895442962646,347600,0.0,
1983-04-26 00:00:00+00:00,0.0,5.375,5.25,3.489165067672729,164800,0.0,
1983-04-27 00:00:00+00:00,0.0,5.5625,5.5,3.655315637588501,300800,0.0,
1983-04-28 00:00:00+00:00,0.0,5.5,5.375,3.572239875793457,113200,0.0,
1983-04-29 00:00:00+00:00,0.0,5.5,5.375,3.572239875793457,77200,0.0,
1983-05-02 00:00:00+00:00,0.0,5.1875,5.125,3.4060895442962646,132000,0.0,
1983-05-03 00:00:00+00:00,0.0,5.3125,5.1875,3.447627544403076,109600,0.0,
1983-05-04 00:00:00+00:00,0.0,5.375,5.25,3.489165067672729,130000,0.0,
1983-05-05 00:00:00+00:00,0.0,5.5,5.3125,3.5307021141052246,69200,0.0,
1983-05-06 00:00:00+00:00,0.0,5.75,5.625,3.738391876220703,256800,0.0,
1983-05-09 00:00:00+00:00,0.0,5.8125,5.625,3.738391876220703,119600,0.0,
1983-05-10 00:00:00+00:00,0.0,6.0625,5.9375,3.946080923080444,128000,0.0,
1983-05-11 00:00:00+00:00,0.0,6.0,5.8125,3.863003969192505,242400,0.0,
1983-05-12 00:00:00+00:00,0.0,6.0,5.875,3.904541969299317,154400,0.0,
1983-05-13 00:00:00+00:00,0.0,6.0,5.875,3.904541969299317,228800,0.0,
