date,VRME_Open,VRME_High,VRME_Low,VRME_Close,VRME_Volume,VRME_Dividends,VRME_Stock Splits
2000-12-05 00:00:00+00:00,1275.0,1275.0,1275.0,1275.0,2,,
2000-12-06 00:00:00+00:00,1275.0,1275.0,1275.0,1275.0,0,,
2000-12-07 00:00:00+00:00,2125.0,2125.0,2125.0,2125.0,0,,
2000-12-08 00:00:00+00:00,2125.0,2125.0,2125.0,2125.0,0,,
2000-12-11 00:00:00+00:00,2125.0,2125.0,2125.0,2125.0,0,,
2000-12-12 00:00:00+00:00,2125.0,2125.0,2125.0,2125.0,0,,
2000-12-13 00:00:00+00:00,2125.0,2125.0,2125.0,2125.0,0,,
2000-12-14 00:00:00+00:00,2125.0,2125.0,2125.0,2125.0,0,,
2000-12-15 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,1,,
2000-12-18 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2000-12-19 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2000-12-20 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2000-12-21 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2000-12-22 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2000-12-26 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2000-12-27 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2000-12-28 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2000-12-29 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-01-02 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-01-03 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-01-04 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-01-05 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-01-08 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-01-09 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-01-10 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,8,,
2001-01-11 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-01-12 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-01-16 00:00:00+00:00,1062.5,1593.75,1062.5,1062.5,5,,
2001-01-17 00:00:00+00:00,1593.75,1593.75,1593.75,1593.75,0,,
2001-01-18 00:00:00+00:00,1593.75,1593.75,1593.75,1593.75,0,,
2001-01-19 00:00:00+00:00,1593.75,1593.75,1593.75,1593.75,0,,
2001-01-22 00:00:00+00:00,1593.75,1593.75,1593.75,1593.75,0,,
2001-01-23 00:00:00+00:00,1593.75,1593.75,1593.75,1593.75,0,,
2001-01-24 00:00:00+00:00,1593.75,1593.75,1593.75,1593.75,0,,
2001-01-25 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,2,,
2001-01-26 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-01-29 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-01-30 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-01-31 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-02-01 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-02-02 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-02-05 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-02-06 00:00:00+00:00,1062.5,1062.5,1062.5,1062.5,0,,
2001-02-07 00:00:00+00:00,1593.75,1593.75,1593.75,1593.75,0,,
2001-02-08 00:00:00+00:00,1593.75,1593.75,1593.75,1593.75,0,,
2001-02-09 00:00:00+00:00,1593.75,1593.75,1593.75,1593.75,0,,
2001-02-12 00:00:00+00:00,1593.75,2656.25,1062.5,1062.5,8,,
2001-02-13 00:00:00+00:00,2337.5,2337.5,2125.0,2125.0,1,,
2001-02-14 00:00:00+00:00,2125.0,2125.0,2125.0,2125.0,3,,
2001-02-15 00:00:00+00:00,1912.5,1912.5,1912.5,1912.5,1,,
2001-02-16 00:00:00+00:00,2125.0,2337.5,2125.0,2337.5,4,,
2001-02-20 00:00:00+00:00,2040.0,2040.0,2040.0,2040.0,2,,
2001-02-21 00:00:00+00:00,2040.0,2040.0,2040.0,2040.0,0,,
2001-02-22 00:00:00+00:00,2040.0,2040.0,2040.0,2040.0,0,,
2001-02-23 00:00:00+00:00,2040.0,2040.0,2040.0,2040.0,0,,
2001-02-26 00:00:00+00:00,2040.0,2040.0,2040.0,2040.0,0,,
2001-02-27 00:00:00+00:00,2040.0,2040.0,2040.0,2040.0,0,,
2001-02-28 00:00:00+00:00,2040.0,2040.0,2040.0,2040.0,0,,
2001-03-01 00:00:00+00:00,2040.0,2040.0,2040.0,2040.0,0,,
2001-03-02 00:00:00+00:00,2040.0,2040.0,2040.0,2040.0,0,,
2001-03-05 00:00:00+00:00,1487.5,1487.5,1275.0,1275.0,4,,
