date,COO_Open,COO_High,COO_Low,COO_Close,COO_Volume,COO_Dividends,COO_Stock Splits
1983-01-21 00:00:00+00:00,0.0,8.0625,7.875,7.153285503387451,562400,0.0,
1983-01-24 00:00:00+00:00,0.0,8.4375,8.390625,7.621654510498047,2387733,0.0,
1983-01-25 00:00:00+00:00,0.0,8.90625,8.859375,8.047450065612793,1234400,0.0,
1983-01-26 00:00:00+00:00,0.0,8.90625,8.859375,8.047450065612793,626133,0.0,
1983-01-27 00:00:00+00:00,0.0,9.375,9.328125,8.473237037658691,593333,0.0,
1983-01-28 00:00:00+00:00,0.0,9.234375,9.1875,8.345495223999023,595467,0.0,
1983-01-31 00:00:00+00:00,0.0,9.140625,9.046875,8.21776008605957,506667,0.0,
1983-02-01 00:00:00+00:00,0.0,8.8125,8.765625,7.962287902832031,317333,0.0,
1983-02-02 00:00:00+00:00,0.0,8.765625,8.71875,7.91970682144165,346933,0.0,
1983-02-03 00:00:00+00:00,0.0,8.859375,8.8125,8.004862785339355,202400,0.0,
1983-02-04 00:00:00+00:00,0.0,8.90625,8.859375,8.047450065612793,139467,0.0,
1983-02-07 00:00:00+00:00,0.0,9.0,8.90625,8.090023040771484,315467,0.0,
1983-02-08 00:00:00+00:00,0.0,8.953125,8.90625,8.090023040771484,216000,0.0,
1983-02-09 00:00:00+00:00,0.0,8.90625,8.859375,8.047450065612793,151467,0.0,
1983-02-10 00:00:00+00:00,0.0,8.953125,8.90625,8.090023040771484,108800,0.0,
1983-02-11 00:00:00+00:00,0.0,8.953125,8.90625,8.090023040771484,159733,0.0,
1983-02-14 00:00:00+00:00,0.0,8.953125,8.90625,8.090023040771484,260533,0.0,
1983-02-15 00:00:00+00:00,0.0,8.765625,8.71875,7.91970682144165,164000,0.0,
1983-02-16 00:00:00+00:00,0.0,8.8125,8.765625,7.962287902832031,131467,0.0,
1983-02-17 00:00:00+00:00,0.0,8.671875,8.578125,7.791970729827881,152267,0.0,
1983-02-18 00:00:00+00:00,0.0,8.71875,8.671875,7.877128124237059,112800,0.0,
1983-02-22 00:00:00+00:00,0.0,8.765625,8.671875,7.877128124237059,100800,0.0,
1983-02-23 00:00:00+00:00,0.0,8.71875,8.625,7.834549903869629,127467,0.0,
1983-02-24 00:00:00+00:00,0.0,8.71875,8.671875,7.877128124237059,169067,0.0,
1983-02-25 00:00:00+00:00,0.0,8.765625,8.71875,7.91970682144165,250133,0.0,
1983-02-28 00:00:00+00:00,0.0,8.671875,8.625,7.834549903869629,104533,0.0,
1983-03-01 00:00:00+00:00,0.0,8.296875,8.25,7.493917942047119,160533,0.0,
1983-03-02 00:00:00+00:00,0.0,8.25,8.15625,7.408759117126465,169333,0.0,
1983-03-03 00:00:00+00:00,0.0,8.109375,8.0625,7.323601722717285,80000,0.0,
1983-03-04 00:00:00+00:00,0.0,8.109375,8.015625,7.281020641326904,114667,0.0,
1983-03-07 00:00:00+00:00,0.0,8.25,8.15625,7.408759117126465,92533,0.0,
1983-03-08 00:00:00+00:00,0.0,8.671875,8.53125,7.749392032623291,217333,0.0,
1983-03-09 00:00:00+00:00,0.0,8.8125,8.765625,7.962287902832031,112800,0.0,
1983-03-10 00:00:00+00:00,0.0,8.8125,8.625,7.834549903869629,112267,0.0,
1983-03-11 00:00:00+00:00,0.0,8.71875,8.625,7.834549903869629,35200,0.0,
1983-03-14 00:00:00+00:00,0.0,8.53125,8.484375,7.706813812255859,138400,0.0,
1983-03-15 00:00:00+00:00,0.0,8.4375,8.390625,7.621654510498047,52000,0.0,
1983-03-16 00:00:00+00:00,0.0,8.4375,8.34375,7.579075336456299,45333,0.0,
1983-03-17 00:00:00+00:00,0.0,8.109375,8.0625,7.323601722717285,44533,0.0,
