date,ELP_Open,ELP_High,ELP_Low,ELP_Close,ELP_Volume,ELP_Dividends,ELP_Stock Splits
1998-06-03 00:00:00+00:00,5.25,5.25,4.84375,1.4473210573196411,367000,0.0,
1998-06-04 00:00:00+00:00,4.84375,4.96875,4.6875,1.4657584428787231,194600,0.0,
1998-06-05 00:00:00+00:00,5.03125,5.0625,4.96875,1.4657584428787231,710200,0.0,
1998-06-08 00:00:00+00:00,4.96875,4.96875,4.75,1.4381024837493896,164600,0.0,
1998-06-09 00:00:00+00:00,4.96875,4.96875,4.75,1.4288840293884275,386000,0.0,
1998-06-10 00:00:00+00:00,4.5625,4.78125,4.5,1.3366978168487549,122600,0.0,
1998-06-11 00:00:00+00:00,4.5625,4.5625,4.0625,1.2721672058105469,153800,0.0,
1998-06-12 00:00:00+00:00,4.1875,4.28125,4.15625,1.2445120811462402,130400,0.0,
1998-06-15 00:00:00+00:00,4.25,4.25,3.875,1.1431070566177368,302000,0.0,
1998-06-16 00:00:00+00:00,4.0625,4.125,3.90625,1.1984184980392456,457600,0.0,
1998-06-17 00:00:00+00:00,4.3125,4.5625,4.3125,1.3459163904190063,734800,0.0,
1998-06-18 00:00:00+00:00,4.5625,4.5625,4.40625,1.3090417385101318,690000,0.0,
1998-06-19 00:00:00+00:00,4.4375,4.6875,4.4375,1.373572587966919,145600,0.0,
1998-06-22 00:00:00+00:00,4.71875,4.71875,4.53125,1.3827908039093018,388000,0.0,
1998-06-23 00:00:00+00:00,4.6875,4.75,4.65625,1.3827908039093018,206800,0.0,
1998-06-24 00:00:00+00:00,4.625,4.71875,4.53125,1.3920096158981323,102400,0.0,
1998-06-25 00:00:00+00:00,4.6875,4.75,4.40625,1.299823760986328,280000,0.0,
1998-06-26 00:00:00+00:00,4.5,4.5,4.28125,1.281386137008667,153800,0.0,
1998-06-29 00:00:00+00:00,4.40625,4.625,4.40625,1.327479124069214,93800,0.0,
1998-06-30 00:00:00+00:00,4.4375,4.75,4.4375,1.3643535375595093,123600,0.0,
1998-07-01 00:00:00+00:00,4.6875,4.6875,4.5625,1.373572587966919,79000,0.0,
1998-07-02 00:00:00+00:00,4.625,4.625,4.5,1.3551356792449951,1114800,0.0,
1998-07-06 00:00:00+00:00,4.59375,4.96875,4.59375,1.4657584428787231,354000,0.0,
1998-07-07 00:00:00+00:00,5.0,5.4375,5.0,1.5856003761291504,1554600,0.0,
1998-07-08 00:00:00+00:00,5.375,5.375,5.28125,1.567163109779358,351000,0.0,
1998-07-09 00:00:00+00:00,5.3125,5.4375,5.25,1.5856003761291504,724200,0.0,
1998-07-10 00:00:00+00:00,5.375,5.375,5.3125,1.567163109779358,151200,0.0,
1998-07-13 00:00:00+00:00,5.3125,5.375,5.1875,1.5302884578704834,93600,0.0,
