date,MRVL_Open,MRVL_High,MRVL_Low,MRVL_Close,MRVL_Volume,MRVL_Dividends,MRVL_Stock Splits
2000-06-30 00:00:00+00:00,13.80859375,14.75,12.6875,12.19518756866455,3518000,0.0,
2000-07-03 00:00:00+00:00,14.359375,14.359375,13.40625,11.76728630065918,778800,0.0,
2000-07-05 00:00:00+00:00,13.5625,13.75,12.5,11.031827926635742,2986000,0.0,
2000-07-06 00:00:00+00:00,12.90625,13.0,10.5625,9.73475742340088,3596000,0.0,
2000-07-07 00:00:00+00:00,11.40625,12.09375,10.75,10.242884635925291,1938800,0.0,
2000-07-10 00:00:00+00:00,11.875,13.640625,11.375,10.67078971862793,2824400,0.0,
2000-07-11 00:00:00+00:00,12.25,13.5,11.59375,10.34986400604248,2786800,0.0,
2000-07-12 00:00:00+00:00,12.515625,14.609375,12.125,12.435883522033691,4570400,0.0,
2000-07-13 00:00:00+00:00,14.9375,15.9375,13.515625,12.917274475097656,5894400,0.0,
2000-07-14 00:00:00+00:00,15.125,15.125,13.625,11.820773124694824,1805200,0.0,
2000-07-17 00:00:00+00:00,13.9375,15.15625,13.0,12.663202285766602,1578000,0.0,
2000-07-18 00:00:00+00:00,14.5,16.171875,14.0625,13.425403594970703,2166000,0.0,
2000-07-19 00:00:00+00:00,15.8125,17.0,15.1875,14.147486686706545,3068800,0.0,
2000-07-20 00:00:00+00:00,16.890625,17.625,16.4375,14.62887477874756,1586400,0.0,
2000-07-21 00:00:00+00:00,17.0,17.359375,15.375,13.171335220336914,1402000,0.0,
2000-07-24 00:00:00+00:00,16.515625,16.515625,13.75,11.76728630065918,3320800,0.0,
2000-07-25 00:00:00+00:00,14.125,14.53125,13.1875,12.114956855773926,1588400,0.0,
2000-07-26 00:00:00+00:00,14.1875,14.1875,12.6875,11.272523880004885,1924400,0.0,
2000-07-27 00:00:00+00:00,13.0625,13.0625,11.625,10.336493492126465,2432000,0.0,
2000-07-28 00:00:00+00:00,12.34375,12.375,11.25,10.59055995941162,1814000,0.0,
2000-07-31 00:00:00+00:00,12.453125,12.53125,11.375,9.774871826171877,1662000,0.0,
2000-08-01 00:00:00+00:00,11.625,11.75,10.75,9.239996910095217,894400,0.0,
2000-08-02 00:00:00+00:00,10.78125,11.625,10.40625,9.841727256774902,1896800,0.0,
2000-08-03 00:00:00+00:00,11.25,13.40625,11.078125,11.473102569580078,1499200,0.0,
2000-08-04 00:00:00+00:00,13.109375,14.4375,13.109375,12.355646133422852,1474800,0.0,
2000-08-07 00:00:00+00:00,14.703125,14.75,13.328125,11.76728630065918,492400,0.0,
2000-08-08 00:00:00+00:00,13.8125,14.21875,13.5,11.553335189819336,323600,0.0,
2000-08-09 00:00:00+00:00,13.765625,14.0,13.0,11.2591552734375,369200,0.0,
2000-08-10 00:00:00+00:00,13.328125,13.328125,12.5,11.12543487548828,300400,0.0,
2000-08-11 00:00:00+00:00,13.0,13.1875,12.390625,11.098691940307615,134000,0.0,
2000-08-14 00:00:00+00:00,12.8125,13.0,12.375,10.67078971862793,593200,0.0,
2000-08-15 00:00:00+00:00,12.4375,12.84375,12.25,10.911481857299805,204000,0.0,
2000-08-16 00:00:00+00:00,12.796875,13.78125,12.75,11.740540504455566,740800,0.0,
2000-08-17 00:00:00+00:00,13.75,13.8125,12.8125,11.312640190124512,575200,0.0,
2000-08-18 00:00:00+00:00,13.21875,13.5,12.75,11.175581932067873,198800,0.0,
2000-08-21 00:00:00+00:00,13.0625,13.875,12.8125,11.76728630065918,263200,0.0,
2000-08-22 00:00:00+00:00,13.5,14.46875,13.5,11.95449161529541,379600,0.0,
2000-08-23 00:00:00+00:00,13.96875,14.015625,13.1875,11.446361541748049,454400,0.0,
2000-08-24 00:00:00+00:00,13.320313453674316,14.0,13.25,11.79403018951416,1924000,0.0,
2000-08-25 00:00:00+00:00,13.9375,14.296875,13.28125,11.847516059875488,1748000,0.0,
2000-08-28 00:00:00+00:00,14.15625,14.625,13.875,12.51611328125,1642800,0.0,
2000-08-29 00:00:00+00:00,14.5,17.359375,14.46875,14.521894454956056,3262000,0.0,
2000-08-30 00:00:00+00:00,16.515625,18.671875,16.5,15.030035018920898,1767200,0.0,
2000-08-31 00:00:00+00:00,17.53125,18.484375,17.4375,15.27072525024414,850800,0.0,
2000-09-01 00:00:00+00:00,18.15625,18.328125,17.53125,15.350959777832031,467600,0.0,
