date,PSCT_Open,PSCT_High,PSCT_Low,PSCT_Close,PSCT_Volume,PSCT_Dividends,PSCT_Stock Splits
2010-04-07 00:00:00+00:00,8.49666690826416,8.520000457763672,8.476667404174805,8.251579284667969,19800,0.0,
2010-04-08 00:00:00+00:00,8.476667404174805,8.476667404174805,8.396666526794434,8.206293106079102,8100,0.0,
2010-04-09 00:00:00+00:00,8.463333129882812,8.463333129882812,8.44333267211914,8.212760925292969,40500,0.0,
2010-04-12 00:00:00+00:00,8.456666946411133,8.529999732971191,8.456666946411133,8.277454376220703,15000,0.0,
2010-04-13 00:00:00+00:00,8.520000457763672,8.546667098999023,8.50333309173584,8.293627738952637,4200,0.0,
2010-04-14 00:00:00+00:00,8.75333309173584,8.816666603088379,8.75333309173584,8.555635452270508,15900,0.0,
2010-04-15 00:00:00+00:00,8.863332748413086,8.869999885559082,8.833333015441895,8.60738754272461,21900,0.0,
2010-04-16 00:00:00+00:00,8.833333015441895,8.833333015441895,8.683333396911621,8.468299865722656,10800,0.0,
2010-04-19 00:00:00+00:00,8.726667404174805,8.726667404174805,8.583333015441895,8.445655822753906,4200,0.0,
2010-04-20 00:00:00+00:00,8.783332824707031,8.84000015258789,8.770000457763672,8.562105178833008,13500,0.0,
2010-04-21 00:00:00+00:00,8.899999618530273,8.899999618530273,8.850000381469727,8.587982177734375,7500,0.0,
2010-04-22 00:00:00+00:00,8.816666603088379,8.983332633972168,8.800000190734863,8.717367172241211,7800,0.0,
2010-04-23 00:00:00+00:00,8.966667175292969,9.026666641235352,8.94333267211914,8.759417533874512,7500,0.0,
2010-04-26 00:00:00+00:00,8.989999771118164,9.08666706085205,8.986666679382324,8.762653350830078,6900,0.0,
2010-04-27 00:00:00+00:00,9.0,9.050000190734863,8.886667251586914,8.623563766479492,25800,0.0,
2010-04-28 00:00:00+00:00,8.816666603088379,8.853333473205566,8.816666603088379,8.591217994689941,17400,0.0,
2010-04-29 00:00:00+00:00,8.880000114440918,8.976667404174805,8.823332786560059,8.71090030670166,30600,0.0,
2010-04-30 00:00:00+00:00,8.993332862854004,8.993332862854004,8.65666675567627,8.400370597839355,9600,0.0,
2010-05-03 00:00:00+00:00,8.69333267211914,8.80666732788086,8.673333168029785,8.54593276977539,47700,0.0,
2010-05-04 00:00:00+00:00,8.716667175292969,8.716667175292969,8.520000457763672,8.267754554748535,12000,0.0,
2010-05-05 00:00:00+00:00,8.430000305175781,8.5,8.34333324432373,8.190119743347168,4800,0.0,
2010-05-06 00:00:00+00:00,8.319999694824219,8.456666946411133,5.840000152587891,8.206293106079102,55800,0.0,
2010-05-07 00:00:00+00:00,7.946667194366455,8.073332786560059,7.929999828338623,7.7049241065979,7800,0.0,
2010-05-10 00:00:00+00:00,8.203332901000977,8.25,8.203332901000977,8.005748748779297,6000,0.0,
2010-05-11 00:00:00+00:00,8.053333282470703,8.449999809265137,7.8933329582214355,8.093082427978516,4800,0.0,
2010-05-12 00:00:00+00:00,8.44333267211914,8.510000228881836,8.44333267211914,8.251579284667969,12900,0.0,
2010-05-13 00:00:00+00:00,8.636667251586914,8.640000343322754,8.493332862854004,8.241873741149902,11100,0.0,
2010-05-14 00:00:00+00:00,8.300000190734863,8.319999694824219,8.25333309173584,8.073675155639648,4800,0.0,
2010-05-17 00:00:00+00:00,8.220000267028809,8.373332977294922,8.220000267028809,8.125428199768066,6600,0.0,
2010-05-18 00:00:00+00:00,8.446666717529297,8.446666717529297,8.183333396911621,7.97663402557373,3300,0.0,
2010-05-19 00:00:00+00:00,8.020000457763672,8.116666793823242,8.020000457763672,7.876359462738037,3300,0.0,
