date,EMN_Open,EMN_High,EMN_Low,EMN_Close,EMN_Volume,EMN_Dividends,EMN_Stock Splits
1993-12-14 00:00:00+00:00,21.5,22.75,21.4375,8.391669273376465,1077400,0.0,
1993-12-15 00:00:00+00:00,22.5,22.5,21.75,8.206219673156738,897800,0.0,
1993-12-16 00:00:00+00:00,22.1875,22.1875,22.0,8.206219673156738,571200,0.0,
1993-12-17 00:00:00+00:00,22.125,22.125,21.625,8.020769119262695,1053000,0.0,
1993-12-20 00:00:00+00:00,21.625,22.3125,21.625,8.275761604309082,1284800,0.0,
1993-12-21 00:00:00+00:00,22.25,22.875,22.25,8.391669273376465,882800,0.0,
1993-12-22 00:00:00+00:00,22.6875,22.6875,22.4375,8.391669273376465,200600,0.0,
1993-12-23 00:00:00+00:00,22.6875,23.125,22.6875,8.553943634033203,195800,0.0,
1993-12-27 00:00:00+00:00,23.1875,23.75,23.1875,8.762575149536133,68400,0.0,
1993-12-28 00:00:00+00:00,23.5625,23.5625,23.375,8.716212272644043,273600,0.0,
1993-12-29 00:00:00+00:00,23.625,23.8125,23.625,8.832119941711426,264400,0.0,
1993-12-30 00:00:00+00:00,23.8125,24.0625,23.8125,8.878482818603516,156200,0.0,
1993-12-31 00:00:00+00:00,23.8125,23.875,23.625,8.80893611907959,133000,0.0,
1994-01-03 00:00:00+00:00,23.8125,23.8125,23.125,8.693031311035156,467800,0.0,
1994-01-04 00:00:00+00:00,23.4375,23.4375,22.3125,8.368488311767578,2250200,0.0,
1994-01-05 00:00:00+00:00,22.0,22.1875,21.75,8.229402542114258,2933400,0.0,
1994-01-06 00:00:00+00:00,22.0,22.1875,21.5,8.067129135131836,2753200,0.0,
1994-01-07 00:00:00+00:00,21.6875,21.6875,20.75,7.742595672607422,3428400,0.0,
1994-01-10 00:00:00+00:00,20.9375,21.5,20.875,7.951221942901611,1411000,0.0,
1994-01-11 00:00:00+00:00,21.5,21.5,21.1875,7.928040027618408,1185400,0.0,
1994-01-12 00:00:00+00:00,21.3125,21.3125,20.875,7.788952350616455,2209200,0.0,
1994-01-13 00:00:00+00:00,20.9375,21.0,20.8125,7.742595672607422,1033400,0.0,
