date,ABIO_Open,ABIO_High,ABIO_Low,ABIO_Close,ABIO_Volume,ABIO_Dividends,ABIO_Stock Splits
1997-08-08 00:00:00+00:00,669060.0,708750.0,657720.0,674730.0,57,,
1997-08-11 00:00:00+00:00,686070.0,708750.0,680400.0,705915.0,4,,
1997-08-12 00:00:00+00:00,708750.0,708750.0,652050.0,657720.0,2,,
1997-08-13 00:00:00+00:00,652050.0,669060.0,635040.0,635040.0,4,,
1997-08-14 00:00:00+00:00,635040.0,663390.0,635040.0,654885.0,3,,
1997-08-15 00:00:00+00:00,663390.0,663390.0,635040.0,635040.0,1,,
1997-08-18 00:00:00+00:00,635040.0,657720.0,623700.0,623700.0,1,,
1997-08-19 00:00:00+00:00,623700.0,640710.0,589680.0,606690.0,7,,
1997-08-20 00:00:00+00:00,606690.0,623700.0,606690.0,618030.0,2,,
1997-08-21 00:00:00+00:00,623700.0,629370.0,612360.0,618030.0,1,,
1997-08-22 00:00:00+00:00,629370.0,629370.0,612360.0,612360.0,1,,
1997-08-25 00:00:00+00:00,612360.0,640710.0,612360.0,640710.0,1,,
1997-08-26 00:00:00+00:00,623700.0,640710.0,618030.0,635040.0,1,,
1997-08-27 00:00:00+00:00,618030.0,635040.0,618030.0,629370.0,1,,
1997-08-28 00:00:00+00:00,623700.0,635040.0,623700.0,635040.0,0,,
1997-08-29 00:00:00+00:00,640710.0,640710.0,623700.0,640710.0,0,,
1997-09-02 00:00:00+00:00,646380.0,680400.0,635040.0,674730.0,1,,
1997-09-03 00:00:00+00:00,674730.0,680400.0,669060.0,669060.0,1,,
1997-09-04 00:00:00+00:00,674730.0,674730.0,640710.0,663390.0,1,,
1997-09-05 00:00:00+00:00,646380.0,669060.0,635040.0,646380.0,1,,
1997-09-08 00:00:00+00:00,657720.0,708750.0,657720.0,686070.0,1,,
1997-09-09 00:00:00+00:00,703080.0,765450.0,686070.0,754110.0,2,,
1997-09-10 00:00:00+00:00,754110.0,844830.0,742770.0,788130.0,3,,
1997-09-11 00:00:00+00:00,782460.0,844830.0,782460.0,822150.0,2,,
