date,COKE_Open,COKE_High,COKE_Low,COKE_Close,COKE_Volume,COKE_Dividends,COKE_Stock Splits
1973-02-21 00:00:00+00:00,0.0,12.75,12.75,5.906584739685059,7400,0.0,
1973-02-22 00:00:00+00:00,0.0,12.75,12.75,5.906584739685059,600,0.0,
1973-02-23 00:00:00+00:00,0.0,12.625,12.625,5.848677635192871,1600,0.0,
1973-02-26 00:00:00+00:00,0.0,11.875,11.875,5.501230239868164,6400,0.0,
1973-02-27 00:00:00+00:00,0.0,11.125,11.125,5.153785228729248,6200,0.0,
1973-02-28 00:00:00+00:00,0.0,11.25,11.25,5.211695671081543,2600,0.0,
1973-03-01 00:00:00+00:00,0.0,9.375,9.375,4.343077182769775,10400,0.0,
1973-03-02 00:00:00+00:00,0.0,10.375,10.375,4.806337356567383,9200,0.0,
1973-03-05 00:00:00+00:00,0.0,10.75,10.75,4.980060577392578,7600,0.0,
1973-03-06 00:00:00+00:00,0.0,10.75,10.75,4.980060577392578,3200,0.0,
1973-03-07 00:00:00+00:00,0.0,10.75,10.75,4.980060577392578,1600,0.0,
1973-03-08 00:00:00+00:00,0.0,10.875,10.875,5.037967205047607,2400,0.0,
1973-03-09 00:00:00+00:00,0.0,11.0,11.0,5.095877647399902,600,0.0,
1973-03-12 00:00:00+00:00,0.0,10.625,10.625,4.922153949737549,3800,0.0,
1973-03-13 00:00:00+00:00,0.0,10.75,10.75,4.980060577392578,3200,0.0,
1973-03-14 00:00:00+00:00,0.0,10.75,10.75,4.980060577392578,1800,0.0,
1973-03-15 00:00:00+00:00,0.0,10.75,10.75,4.980060577392578,1200,0.0,
1973-03-16 00:00:00+00:00,0.0,10.75,10.75,4.980060577392578,1600,0.0,
1973-03-19 00:00:00+00:00,0.0,10.625,10.625,4.922153949737549,1400,0.0,
1973-03-20 00:00:00+00:00,0.0,10.625,10.625,4.922153949737549,5800,0.0,
1973-03-21 00:00:00+00:00,0.0,10.125,10.125,4.690524578094482,4200,0.0,
1973-03-22 00:00:00+00:00,0.0,9.875,9.875,4.574707984924316,3800,0.0,
1973-03-23 00:00:00+00:00,0.0,9.625,9.625,4.45889139175415,4400,0.0,
1973-03-26 00:00:00+00:00,0.0,9.875,9.875,4.574707984924316,1600,0.0,
1973-03-27 00:00:00+00:00,0.0,10.25,10.25,4.7484307289123535,2800,0.0,
1973-03-28 00:00:00+00:00,0.0,10.125,10.125,4.690524578094482,400,0.0,
1973-03-29 00:00:00+00:00,0.0,10.5,10.5,4.864246845245361,4200,0.0,
1973-03-30 00:00:00+00:00,0.0,10.25,10.25,4.7484307289123535,2400,0.0,
1973-04-02 00:00:00+00:00,0.0,10.25,10.25,4.7484307289123535,800,0.0,
1973-04-03 00:00:00+00:00,0.0,9.75,9.75,4.516801357269287,1600,0.0,
1973-04-04 00:00:00+00:00,0.0,9.5,9.5,4.400983333587647,2400,0.0,
1973-04-05 00:00:00+00:00,0.0,9.5,9.5,4.400983333587647,1600,0.0,
