date,USAU_Open,USAU_High,USAU_Low,USAU_Close,USAU_Volume,USAU_Dividends,USAU_Stock Splits
1980-03-17 00:00:00+00:00,0.0,292.5,282.5,242.13890075683597,90,0.0,
1980-03-18 00:00:00+00:00,0.0,285.0,275.0,235.71044921875,210,0.0,
1980-03-19 00:00:00+00:00,0.0,285.0,275.0,235.71044921875,50,0.0,
1980-03-20 00:00:00+00:00,0.0,292.5,282.5,242.13890075683597,530,0.0,
1980-03-21 00:00:00+00:00,0.0,297.5,287.5,246.42454528808597,210,0.0,
1980-03-24 00:00:00+00:00,0.0,325.0,315.0,269.99560546875,360,0.0,
1980-03-25 00:00:00+00:00,0.0,322.5,312.5,267.8528137207031,710,0.0,
1980-03-26 00:00:00+00:00,0.0,327.5,317.5,272.1384582519531,200,0.0,
1980-03-27 00:00:00+00:00,0.0,310.0,300.0,257.1386413574219,460,0.0,
1980-03-28 00:00:00+00:00,0.0,325.0,315.0,269.99560546875,350,0.0,
1980-03-31 00:00:00+00:00,0.0,320.0,310.0,265.7099609375,110,0.0,
1980-04-01 00:00:00+00:00,0.0,322.5,312.5,267.8528137207031,250,0.0,
1980-04-02 00:00:00+00:00,0.0,330.0,320.0,274.28125,220,0.0,
1980-04-03 00:00:00+00:00,0.0,335.0,325.0,278.56689453125,190,0.0,
1980-04-07 00:00:00+00:00,0.0,335.0,325.0,278.56689453125,190,0.0,
1980-04-08 00:00:00+00:00,0.0,342.5,332.5,284.9953918457031,130,0.0,
1980-04-09 00:00:00+00:00,0.0,372.5,362.5,310.7091979980469,370,0.0,
1980-04-10 00:00:00+00:00,0.0,367.5,357.5,306.4235534667969,300,0.0,
1980-04-11 00:00:00+00:00,0.0,365.0,355.0,304.2807312011719,210,0.0,
1980-04-14 00:00:00+00:00,0.0,362.5,352.5,302.1379089355469,30,0.0,
1980-04-15 00:00:00+00:00,0.0,377.5,367.5,314.994873046875,240,0.0,
1980-04-16 00:00:00+00:00,0.0,380.0,370.0,317.1376647949219,330,0.0,
1980-04-17 00:00:00+00:00,0.0,377.5,367.5,314.994873046875,100,0.0,
1980-04-18 00:00:00+00:00,0.0,382.5,372.5,319.2804870605469,290,0.0,
1980-04-21 00:00:00+00:00,0.0,370.0,360.0,308.56640625,260,0.0,
1980-04-22 00:00:00+00:00,0.0,375.0,365.0,312.8519897460937,230,0.0,
1980-04-23 00:00:00+00:00,0.0,372.5,362.5,310.7091979980469,200,0.0,
1980-04-24 00:00:00+00:00,362.5,362.5,362.5,310.7091979980469,0,0.0,
1980-04-25 00:00:00+00:00,0.0,367.5,357.5,306.4235534667969,60,0.0,
1980-04-28 00:00:00+00:00,0.0,365.0,355.0,304.2807312011719,50,0.0,
1980-04-29 00:00:00+00:00,0.0,365.0,355.0,304.2807312011719,50,0.0,
1980-04-30 00:00:00+00:00,0.0,362.5,352.5,302.1379089355469,30,0.0,
1980-05-01 00:00:00+00:00,0.0,357.5,347.5,297.852294921875,120,0.0,
1980-05-02 00:00:00+00:00,0.0,350.0,340.0,291.423828125,80,0.0,
1980-05-05 00:00:00+00:00,0.0,352.5,342.5,293.5666809082031,70,0.0,
1980-05-06 00:00:00+00:00,0.0,350.0,340.0,291.423828125,100,0.0,
