date,PETS_Open,PETS_High,PETS_Low,PETS_Close,PETS_Volume,PETS_Dividends,PETS_Stock Splits
1999-04-26 00:00:00+00:00,8.5,8.5,8.25,4.558617115020752,35800,0.0,
1999-04-27 00:00:00+00:00,8.5,8.625,8.25,4.694694995880127,31100,0.0,
1999-04-28 00:00:00+00:00,8.625,8.625,8.375,4.626655101776123,28800,0.0,
1999-04-29 00:00:00+00:00,8.75,8.75,8.5,4.762734413146973,40000,0.0,
1999-04-30 00:00:00+00:00,8.5625,8.875,8.375,4.626655101776123,72200,0.0,
1999-05-03 00:00:00+00:00,8.375,8.5,7.75,4.218421936035156,26800,0.0,
1999-05-04 00:00:00+00:00,7.75,8.0,7.75,4.218421936035156,16700,0.0,
1999-05-05 00:00:00+00:00,7.5,7.75,6.75,3.810187339782715,211700,0.0,
1999-05-06 00:00:00+00:00,6.75,7.0,5.75,3.6741087436676025,56500,0.0,
1999-05-07 00:00:00+00:00,7.0,7.125,7.0,3.878226757049561,7800,0.0,
1999-05-10 00:00:00+00:00,7.125,7.125,6.75,3.810187339782715,26800,0.0,
1999-05-11 00:00:00+00:00,7.0,7.125,6.75,3.878226757049561,2100,0.0,
1999-05-12 00:00:00+00:00,7.125,7.5,7.0,3.878226757049561,59900,0.0,
1999-05-13 00:00:00+00:00,7.1875,7.1875,7.0,3.810187339782715,11300,0.0,
1999-05-14 00:00:00+00:00,7.375,7.375,7.0,3.810187339782715,1500,0.0,
1999-05-17 00:00:00+00:00,6.875,6.875,6.875,3.742149353027344,700,0.0,
1999-05-18 00:00:00+00:00,7.125,7.5,7.0,4.082343578338623,32700,0.0,
1999-05-19 00:00:00+00:00,7.5,7.5,7.25,3.954770803451538,8600,0.0,
1999-05-20 00:00:00+00:00,7.5,7.5,7.125,3.946265935897827,9600,0.0,
1999-05-21 00:00:00+00:00,7.5,7.5,7.125,3.946265935897827,4700,0.0,
1999-05-24 00:00:00+00:00,7.5,7.5,7.0,3.8442070484161377,14700,0.0,
1999-05-25 00:00:00+00:00,7.0,7.0,7.0,3.810187339782715,1000,0.0,
1999-05-26 00:00:00+00:00,7.0,7.125,6.75,3.742149353027344,11800,0.0,
1999-05-27 00:00:00+00:00,6.875,6.875,6.875,3.742149353027344,0,0.0,
1999-05-28 00:00:00+00:00,6.75,7.125,6.625,3.742149353027344,18500,0.0,
1999-06-01 00:00:00+00:00,6.5,6.875,6.5,3.742149353027344,700,0.0,
1999-06-02 00:00:00+00:00,6.5,6.75,6.5,3.538031578063965,4400,0.0,
1999-06-03 00:00:00+00:00,6.5,6.75,6.5,3.606072664260864,13400,0.0,
1999-06-04 00:00:00+00:00,6.625,6.625,6.5,3.606072664260864,1200,0.0,
1999-06-07 00:00:00+00:00,6.5,6.5625,6.25,3.46999192237854,22000,0.0,
1999-06-08 00:00:00+00:00,6.125,6.125,6.125,3.333913564682007,500,0.0,
1999-06-09 00:00:00+00:00,6.5,6.5,6.25,3.538031578063965,9500,0.0,
1999-06-10 00:00:00+00:00,6.25,7.125,6.25,3.606072664260864,31900,0.0,
1999-06-11 00:00:00+00:00,6.875,7.125,6.515625,3.878226757049561,44300,0.0,
1999-06-14 00:00:00+00:00,6.75,7.125,6.75,3.878226757049561,13000,0.0,
1999-06-15 00:00:00+00:00,6.9375,7.0,6.9375,3.810187339782715,5500,0.0,
1999-06-16 00:00:00+00:00,6.9375,7.125,6.9375,3.8442070484161377,6200,0.0,
1999-06-17 00:00:00+00:00,7.09375,7.09375,6.5,3.6741087436676025,23000,0.0,
1999-06-18 00:00:00+00:00,6.875,6.875,6.5,3.742149353027344,4400,0.0,
1999-06-21 00:00:00+00:00,6.875,6.875,6.515625,3.606072664260864,2700,0.0,
1999-06-22 00:00:00+00:00,6.875,7.125,6.75,3.878226757049561,6000,0.0,
1999-06-23 00:00:00+00:00,7.125,7.125,7.125,3.878226757049561,100,0.0,
1999-06-24 00:00:00+00:00,7.125,7.125,7.125,3.878226757049561,2100,0.0,
1999-06-25 00:00:00+00:00,7.125,7.125,6.875,3.8442070484161377,9000,0.0,
1999-06-28 00:00:00+00:00,6.875,7.0,6.875,3.742149353027344,3900,0.0,
1999-06-29 00:00:00+00:00,7.0625,7.0625,6.75,3.6741087436676025,23100,0.0,
1999-06-30 00:00:00+00:00,6.75,6.875,6.625,3.742149353027344,1300,0.0,
1999-07-01 00:00:00+00:00,6.625,6.75,6.5,3.6741087436676025,3200,0.0,
1999-07-02 00:00:00+00:00,6.5,6.75,6.5,3.6741087436676025,4800,0.0,
1999-07-06 00:00:00+00:00,6.75,6.75,6.5,3.538031578063965,5900,0.0,
1999-07-07 00:00:00+00:00,6.5,6.75,6.5,3.606072664260864,3600,0.0,
1999-07-08 00:00:00+00:00,6.5625,6.5625,6.375,3.5720505714416504,3200,0.0,
1999-07-09 00:00:00+00:00,6.5625,6.5625,6.25,3.4019534587860107,9300,0.0,
1999-07-12 00:00:00+00:00,6.25,6.375,6.25,3.4359724521636963,10100,0.0,
1999-07-13 00:00:00+00:00,6.1875,6.1875,6.1875,3.367933511734009,100,0.0,
1999-07-14 00:00:00+00:00,6.1875,6.25,6.125,3.4019534587860107,8500,0.0,
1999-07-15 00:00:00+00:00,6.125,6.25,6.0,3.367933511734009,4800,0.0,
1999-07-16 00:00:00+00:00,6.1875,6.3125,6.125,3.4019534587860107,3600,0.0,
1999-07-19 00:00:00+00:00,6.375,6.375,6.125,3.4019534587860107,14300,0.0,
1999-07-20 00:00:00+00:00,6.25,6.25,6.1875,3.367933511734009,8600,0.0,
1999-07-21 00:00:00+00:00,6.375,6.375,6.125,3.4019534587860107,11200,0.0,
1999-07-22 00:00:00+00:00,6.125,6.25,6.125,3.333913564682007,1900,0.0,
1999-07-23 00:00:00+00:00,6.125,6.375,6.0,3.367933511734009,8800,0.0,
1999-07-26 00:00:00+00:00,6.1875,6.1875,6.0,3.333913564682007,9000,0.0,
1999-07-27 00:00:00+00:00,6.5,6.5,6.0,3.2998950481414795,18800,0.0,
1999-07-28 00:00:00+00:00,6.125,6.125,6.0,3.333913564682007,1300,0.0,
1999-07-29 00:00:00+00:00,6.125,6.125,6.125,3.333913564682007,2500,0.0,
1999-07-30 00:00:00+00:00,6.0625,6.3125,6.0625,3.4359724521636963,600,0.0,
1999-08-02 00:00:00+00:00,6.3125,6.3125,6.125,3.333913564682007,400,0.0,
1999-08-03 00:00:00+00:00,6.125,6.25,6.0625,3.4019534587860107,9600,0.0,
1999-08-04 00:00:00+00:00,6.25,6.25,6.0,3.2658748626708984,12000,0.0,
1999-08-05 00:00:00+00:00,6.125,6.125,5.5,2.993717670440674,22800,0.0,
1999-08-06 00:00:00+00:00,5.4375,5.6875,5.375,3.0957772731781006,10900,0.0,
1999-08-09 00:00:00+00:00,5.625,5.6875,5.5,3.0957772731781006,2500,0.0,
1999-08-10 00:00:00+00:00,5.6875,6.0,5.625,3.1808249950408936,15300,0.0,
1999-08-11 00:00:00+00:00,5.75,5.9375,5.75,3.129796028137207,5000,0.0,
1999-08-12 00:00:00+00:00,5.75,5.8125,5.75,3.163816452026367,3800,0.0,
1999-08-13 00:00:00+00:00,5.875,5.875,5.75,3.1978354454040527,1700,0.0,
1999-08-16 00:00:00+00:00,5.875,6.0,5.875,3.1978354454040527,7100,0.0,
1999-08-17 00:00:00+00:00,5.875,6.375,5.75,3.46999192237854,40700,0.0,
1999-08-18 00:00:00+00:00,6.0,6.375,6.0,3.46999192237854,25700,0.0,
