date,SPTN_Open,SPTN_High,SPTN_Low,SPTN_Close,SPTN_Volume,SPTN_Dividends,SPTN_Stock Splits
2000-08-02 00:00:00+00:00,11.0,11.5,8.75,7.080650806427002,79400,0.0,
2000-08-03 00:00:00+00:00,11.375,11.8125,11.0,6.961979389190674,24700,0.0,
2000-08-04 00:00:00+00:00,11.25,11.25,10.375,6.961979389190674,16400,0.0,
2000-08-07 00:00:00+00:00,11.25,11.5,10.9375,6.92242431640625,10300,0.0,
2000-08-08 00:00:00+00:00,11.0,11.0,10.0,6.447744846343994,19300,0.0,
2000-08-09 00:00:00+00:00,10.125,10.25,9.5625,6.487298488616943,25900,0.0,
2000-08-10 00:00:00+00:00,10.0625,10.125,9.1875,5.933505535125732,35900,0.0,
2000-08-11 00:00:00+00:00,9.125,9.25,8.75,5.775280952453613,27400,0.0,
2000-08-14 00:00:00+00:00,9.25,9.375,8.875,5.735724925994873,50600,0.0,
2000-08-15 00:00:00+00:00,9.0,9.0,8.625,5.696165084838867,41100,0.0,
2000-08-16 00:00:00+00:00,9.125,9.5,8.8125,5.61705493927002,53500,0.0,
2000-08-17 00:00:00+00:00,8.78125,9.0,8.6875,5.696165084838867,37000,0.0,
2000-08-18 00:00:00+00:00,9.0,9.4375,8.625,5.696165084838867,43800,0.0,
2000-08-21 00:00:00+00:00,9.125,9.375,8.9375,5.696165084838867,11100,0.0,
2000-08-22 00:00:00+00:00,8.9375,8.9375,8.625,5.49838399887085,10900,0.0,
2000-08-23 00:00:00+00:00,8.6875,9.125,8.6875,5.656613826751709,11100,0.0,
2000-08-24 00:00:00+00:00,8.921875,9.125,8.625,5.775280952453613,14400,0.0,
2000-08-25 00:00:00+00:00,9.0,9.0,8.8125,5.577496528625488,13400,0.0,
2000-08-28 00:00:00+00:00,8.875,8.875,8.5,5.458826065063477,35000,0.0,
2000-08-29 00:00:00+00:00,8.625,8.625,8.0,5.102815628051758,34400,0.0,
2000-08-30 00:00:00+00:00,8.125,8.375,7.5,5.063259601593018,31600,0.0,
2000-08-31 00:00:00+00:00,7.875,7.875,7.25,4.667691707611084,156300,0.0,
2000-09-01 00:00:00+00:00,7.375,7.75,7.125,4.588581085205078,48000,0.0,
2000-09-05 00:00:00+00:00,7.125,7.5,7.0,4.588581085205078,57200,0.0,
2000-09-06 00:00:00+00:00,7.25,7.25,6.4375,4.390796184539795,47400,0.0,
2000-09-07 00:00:00+00:00,6.5,6.75,6.5,4.153453826904297,74100,0.0,
2000-09-08 00:00:00+00:00,6.5,6.5,5.34375,3.5601048469543457,349000,0.0,
2000-09-11 00:00:00+00:00,5.625,5.625,5.0,3.164536952972412,319600,0.0,
2000-09-12 00:00:00+00:00,5.3125,6.6875,5.0625,4.064450263977051,1465500,0.0,
2000-09-13 00:00:00+00:00,6.625,7.875,6.5625,4.707247734069824,205000,0.0,
2000-09-14 00:00:00+00:00,7.40625,7.4375,6.125,4.509465217590332,127500,0.0,
2000-09-15 00:00:00+00:00,6.90625,7.25,6.75,4.549021244049072,41300,0.0,
2000-09-18 00:00:00+00:00,7.09375,7.1875,6.75,4.291903018951416,20500,0.0,
2000-09-19 00:00:00+00:00,6.9375,7.25,6.875,4.588581085205078,42200,0.0,
2000-09-20 00:00:00+00:00,7.03125,7.171875,6.6875,4.351238250732422,30100,0.0,
2000-09-21 00:00:00+00:00,7.0,7.0,6.5,4.113897323608398,69600,0.0,
2000-09-22 00:00:00+00:00,6.25,6.5,6.15625,3.95566987991333,51100,0.0,
2000-09-25 00:00:00+00:00,6.28125,6.3125,6.25,3.9754505157470703,27400,0.0,
2000-09-26 00:00:00+00:00,6.5625,6.625,6.25,4.034785270690918,49000,0.0,
2000-09-27 00:00:00+00:00,6.3125,6.625,6.1875,4.193012237548828,36600,0.0,
2000-09-28 00:00:00+00:00,6.625,7.1875,6.25,4.509465217590332,95600,0.0,
2000-09-29 00:00:00+00:00,7.25,7.5625,7.0,4.628136157989502,220700,0.0,
2000-10-02 00:00:00+00:00,7.3125,7.3125,7.0,4.430351734161377,29200,0.0,
2000-10-03 00:00:00+00:00,7.09375,7.1875,6.875,4.351238250732422,15800,0.0,
2000-10-04 00:00:00+00:00,7.0,7.0,6.875,4.351238250732422,7000,0.0,
2000-10-05 00:00:00+00:00,7.0,7.125,6.5,4.153453826904297,20400,0.0,
2000-10-06 00:00:00+00:00,6.6875,7.0,6.625,4.430351734161377,9800,0.0,
2000-10-09 00:00:00+00:00,7.0,7.0,6.625,4.193012237548828,1200,0.0,
2000-10-10 00:00:00+00:00,7.0,7.875,7.0,4.687471866607666,82700,0.0,
2000-10-11 00:00:00+00:00,7.375,7.375,6.125,4.272124290466309,122100,0.0,
2000-10-12 00:00:00+00:00,6.59375,6.8125,6.5,4.113897323608398,27900,0.0,
2000-10-13 00:00:00+00:00,6.5,6.75,6.375,4.074341297149658,15800,0.0,
2000-10-16 00:00:00+00:00,6.5,6.625,6.4375,4.113897323608398,55700,0.0,
2000-10-17 00:00:00+00:00,6.5,7.375,6.375,4.509465217590332,35900,0.0,
