date,RRC_Open,RRC_High,RRC_Low,RRC_Close,RRC_Volume,RRC_Dividends,RRC_Stock Splits
1980-06-19 00:00:00+00:00,0.0,11.25,7.5,6.578648090362549,6220,0.0,
1980-06-20 00:00:00+00:00,0.0,11.25,7.5,6.578648090362549,2870,0.0,
1980-06-23 00:00:00+00:00,0.0,10.0,6.25,5.482205867767334,20,0.0,
1980-06-24 00:00:00+00:00,0.0,8.75,6.25,5.482205867767334,1370,0.0,
1980-06-25 00:00:00+00:00,0.0,10.0,7.5,6.578648090362549,750,0.0,
1980-06-26 00:00:00+00:00,0.0,10.0,7.5,6.578648090362549,6450,0.0,
1980-06-27 00:00:00+00:00,0.0,10.0,7.5,6.578648090362549,2000,0.0,
1980-06-30 00:00:00+00:00,0.0,10.0,7.5,6.578648090362549,1290,0.0,
1980-07-01 00:00:00+00:00,0.0,11.25,8.75,7.675086498260498,7110,0.0,
1980-07-02 00:00:00+00:00,0.0,11.25,8.75,7.675086498260498,3240,0.0,
1980-07-03 00:00:00+00:00,0.0,12.5,10.0,8.771526336669922,19160,0.0,
1980-07-07 00:00:00+00:00,0.0,11.25,10.0,8.771526336669922,2830,0.0,
1980-07-08 00:00:00+00:00,0.0,11.25,11.25,9.86796760559082,5210,0.0,
1980-07-09 00:00:00+00:00,0.0,11.25,11.25,9.86796760559082,6360,0.0,
1980-07-10 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,9430,0.0,
1980-07-11 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,4000,0.0,
1980-07-14 00:00:00+00:00,0.0,11.25,10.0,8.771526336669922,2160,0.0,
1980-07-15 00:00:00+00:00,0.0,11.25,10.0,8.771526336669922,1000,0.0,
1980-07-16 00:00:00+00:00,0.0,11.25,10.0,8.771526336669922,2930,0.0,
1980-07-17 00:00:00+00:00,0.0,13.75,12.5,10.964411735534668,23240,0.0,
1980-07-18 00:00:00+00:00,0.0,12.5,12.5,10.964411735534668,4790,0.0,
1980-07-21 00:00:00+00:00,0.0,12.5,12.5,10.964411735534668,2170,0.0,
1980-07-22 00:00:00+00:00,0.0,12.5,12.5,10.964411735534668,2500,0.0,
1980-07-23 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,2800,0.0,
1980-07-24 00:00:00+00:00,0.0,12.5,12.5,10.964411735534668,4430,0.0,
1980-07-25 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,2610,0.0,
1980-07-28 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,1010,0.0,
1980-07-29 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,3930,0.0,
1980-07-30 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,1330,0.0,
1980-07-31 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,2800,0.0,
1980-08-01 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,620,0.0,
1980-08-04 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,2150,0.0,
1980-08-05 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,350,0.0,
1980-08-06 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,1780,0.0,
1980-08-07 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,6640,0.0,
1980-08-08 00:00:00+00:00,0.0,12.5,12.5,10.964411735534668,5000,0.0,
1980-08-11 00:00:00+00:00,0.0,12.5,12.5,10.964411735534668,720,0.0,
1980-08-12 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,1520,0.0,
1980-08-13 00:00:00+00:00,0.0,12.5,10.0,8.771526336669922,660,0.0,
1980-08-14 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,1340,0.0,
1980-08-15 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,880,0.0,
1980-08-18 00:00:00+00:00,0.0,11.25,10.0,8.771526336669922,2200,0.0,
1980-08-19 00:00:00+00:00,0.0,11.25,10.0,8.771526336669922,2700,0.0,
1980-08-20 00:00:00+00:00,0.0,11.25,10.0,8.771526336669922,4050,0.0,
1980-08-21 00:00:00+00:00,0.0,11.25,11.25,9.86796760559082,5640,0.0,
1980-08-22 00:00:00+00:00,0.0,11.25,11.25,9.86796760559082,6350,0.0,
1980-08-25 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,4650,0.0,
1980-08-26 00:00:00+00:00,0.0,12.5,11.25,9.86796760559082,4340,0.0,
