date,CCJ_Open,CCJ_High,CCJ_Low,CCJ_Close,CCJ_Volume,CCJ_Dividends,CCJ_Stock Splits
1996-03-14 00:00:00+00:00,9.020833015441896,9.1875,9.020833015441896,6.006822109222412,229200,0.0,
1996-03-15 00:00:00+00:00,8.958333015441895,8.979166984558105,8.833333015441895,5.909713745117188,29400,0.0,
1996-03-18 00:00:00+00:00,8.895833015441895,8.916666984558105,8.895833015441895,5.937457084655762,37200,0.0,
1996-03-19 00:00:00+00:00,8.895833015441895,8.916666984558105,8.875,5.909713745117188,6600,0.0,
1996-03-20 00:00:00+00:00,8.916666984558105,8.958333015441895,8.916666984558105,5.937457084655762,19800,0.0,
1996-03-21 00:00:00+00:00,8.9375,8.9375,8.9375,5.95133113861084,600,0.0,
1996-03-22 00:00:00+00:00,8.895833015441895,8.895833015441895,8.895833015441895,5.923585414886475,6000,0.0,
1996-03-25 00:00:00+00:00,8.875,8.895833015441895,8.729166984558105,5.812605857849121,24000,0.0,
1996-03-26 00:00:00+00:00,8.75,8.770833015441895,8.75,5.840347290039063,19200,0.0,
1996-03-27 00:00:00+00:00,8.770833015441895,8.770833015441895,8.770833015441895,5.840347290039063,0,0.0,
1996-03-28 00:00:00+00:00,8.770833015441895,8.770833015441895,8.770833015441895,5.840347290039063,0,0.0,
1996-03-29 00:00:00+00:00,8.770833015441895,8.770833015441895,8.770833015441895,5.840347290039063,0,0.0,
1996-04-01 00:00:00+00:00,8.770833015441895,8.770833015441895,8.770833015441895,5.840347290039063,0,0.0,
1996-04-02 00:00:00+00:00,8.770833015441895,8.770833015441895,8.770833015441895,5.840347290039063,0,0.0,
1996-04-03 00:00:00+00:00,8.770833015441895,8.770833015441895,8.770833015441895,5.840347290039063,0,0.0,
1996-04-04 00:00:00+00:00,8.708333015441895,8.729166984558105,8.645833015441895,5.757112979888916,24000,0.0,
1996-04-08 00:00:00+00:00,8.583333015441895,8.583333015441895,8.520833015441895,5.70162296295166,21000,0.0,
1996-04-09 00:00:00+00:00,8.583333015441895,8.666666984558105,8.5,5.770987033843994,63600,0.0,
1996-04-10 00:00:00+00:00,8.6875,8.770833015441895,8.6875,5.840347290039063,42000,0.0,
