date,BOIL_Open,BOIL_High,BOIL_Low,BOIL_Close,BOIL_Volume,BOIL_Dividends,BOIL_Stock Splits
2011-10-06 00:00:00+00:00,770800.0,783800.0,766600.0,781000.0,0,,
2011-10-07 00:00:00+00:00,750800.0,750800.0,730400.0,735200.0,0,,
2011-10-10 00:00:00+00:00,784000.0,784000.0,745400.0,753400.0,0,,
2011-10-11 00:00:00+00:00,757000.0,769800.0,756200.0,769000.0,1,,
2011-10-12 00:00:00+00:00,753000.0,753000.0,736200.0,736200.0,1,,
2011-10-13 00:00:00+00:00,740000.0,749200.0,725200.0,746200.0,1,,
2011-10-14 00:00:00+00:00,757600.0,795200.0,757600.0,787400.0,1,,
2011-10-17 00:00:00+00:00,761000.0,771600.0,756000.0,756000.0,1,,
2011-10-18 00:00:00+00:00,748000.0,748000.0,726400.0,730200.0,0,,
2011-10-19 00:00:00+00:00,743000.0,743000.0,731400.0,739000.0,0,,
2011-10-20 00:00:00+00:00,725000.0,760800.0,725000.0,739800.0,0,,
2011-10-21 00:00:00+00:00,716200.0,738800.0,715600.0,738800.0,0,,
2011-10-24 00:00:00+00:00,738200.0,738400.0,718400.0,723000.0,0,,
2011-10-25 00:00:00+00:00,738800.0,747600.0,727600.0,744400.0,0,,
2011-10-26 00:00:00+00:00,737600.0,737600.0,718000.0,721000.0,0,,
2011-10-27 00:00:00+00:00,715400.0,737000.0,706600.0,719600.0,1,,
2011-10-28 00:00:00+00:00,757400.0,770200.0,750200.0,768000.0,1,,
2011-10-31 00:00:00+00:00,753800.0,774000.0,749200.0,774000.0,0,,
2011-11-01 00:00:00+00:00,722400.0,732200.0,717200.0,723200.0,0,,
2011-11-02 00:00:00+00:00,715000.0,719000.0,706600.0,706600.0,0,,
2011-11-03 00:00:00+00:00,719000.0,741000.0,713200.0,718400.0,0,,
2011-11-04 00:00:00+00:00,728400.0,728400.0,708200.0,711000.0,0,,
2011-11-07 00:00:00+00:00,677400.0,694600.0,675400.0,678800.0,1,,
2011-11-08 00:00:00+00:00,670600.0,699800.0,667800.0,698000.0,0,,
2011-11-09 00:00:00+00:00,676400.0,678800.0,659000.0,661600.0,1,,
2011-11-10 00:00:00+00:00,653800.0,670200.0,646000.0,657000.0,0,,
2011-11-11 00:00:00+00:00,640000.0,650400.0,636600.0,636800.0,0,,
2011-11-14 00:00:00+00:00,614000.0,617000.0,604800.0,606800.0,0,,
2011-11-15 00:00:00+00:00,606000.0,608000.0,585800.0,589600.0,1,,
2011-11-16 00:00:00+00:00,587600.0,595000.0,568200.0,570000.0,0,,
2011-11-17 00:00:00+00:00,579600.0,600000.0,527200.0,600000.0,1,,
2011-11-18 00:00:00+00:00,577000.0,581000.0,561800.0,573200.0,1,,
2011-11-21 00:00:00+00:00,577000.0,596800.0,568800.0,595600.0,1,,
2011-11-22 00:00:00+00:00,593000.0,593000.0,577000.0,591200.0,0,,
2011-11-23 00:00:00+00:00,577600.0,616600.0,572800.0,616600.0,1,,
2011-11-25 00:00:00+00:00,625200.0,625200.0,619400.0,620600.0,0,,
