date,NVEC_Open,NVEC_High,NVEC_Low,NVEC_Close,NVEC_Volume,NVEC_Dividends,NVEC_Stock Splits
1995-05-23 00:00:00+00:00,6.25,6.25,6.25,3.5145394802093506,40,0.0,
1995-05-24 00:00:00+00:00,6.25,6.25,6.25,3.5145394802093506,0,0.0,
1995-05-25 00:00:00+00:00,6.25,6.25,6.25,3.5145394802093506,0,0.0,
1995-05-26 00:00:00+00:00,6.25,6.25,6.25,3.5145394802093506,0,0.0,
1995-05-30 00:00:00+00:00,6.25,6.25,6.25,3.5145394802093506,0,0.0,
1995-05-31 00:00:00+00:00,6.25,6.25,6.25,3.5145394802093506,0,0.0,
1995-06-01 00:00:00+00:00,6.25,6.25,6.25,3.5145394802093506,0,0.0,
1995-06-02 00:00:00+00:00,12.5,12.5,12.5,7.029078960418701,40,0.0,
1995-06-05 00:00:00+00:00,12.5,12.5,12.5,7.029078960418701,0,0.0,
1995-06-06 00:00:00+00:00,12.5,12.5,12.5,7.029078960418701,0,0.0,
1995-06-07 00:00:00+00:00,12.5,12.5,12.5,7.029078960418701,0,0.0,
1995-06-08 00:00:00+00:00,12.5,12.5,12.5,7.029078960418701,0,0.0,
1995-06-09 00:00:00+00:00,12.5,12.5,12.5,7.029078960418701,0,0.0,
1995-06-12 00:00:00+00:00,10.9375,10.9375,9.375,5.271810054779053,520,0.0,
1995-06-13 00:00:00+00:00,9.375,9.375,9.375,5.271810054779053,0,0.0,
1995-06-14 00:00:00+00:00,9.375,10.15625,9.375,5.71112871170044,2400,0.0,
1995-06-15 00:00:00+00:00,9.375,9.375,9.375,5.271810054779053,96,0.0,
1995-06-16 00:00:00+00:00,9.375,9.375,9.375,5.271810054779053,0,0.0,
1995-06-19 00:00:00+00:00,14.0625,37.5,14.0625,21.08724021911621,1080,0.0,
1995-06-20 00:00:00+00:00,37.5,43.75,25.0,16.69406509399414,3652,0.0,
1995-06-21 00:00:00+00:00,34.375,34.375,28.125,15.815427780151367,412,0.0,
1995-06-22 00:00:00+00:00,32.8125,32.8125,29.6875,16.69406509399414,420,0.0,
1995-06-23 00:00:00+00:00,31.25,31.25,31.25,17.572702407836914,40,0.0,
1995-06-26 00:00:00+00:00,31.25,31.25,25.0,14.058157920837402,280,0.0,
1995-06-27 00:00:00+00:00,25.0,28.125,21.875,15.815427780151367,1596,0.0,
1995-06-28 00:00:00+00:00,28.125,28.125,25.0,14.058157920837402,880,0.0,
1995-06-29 00:00:00+00:00,26.5625,28.125,25.0,14.058157920837402,428,0.0,
1995-06-30 00:00:00+00:00,25.0,25.0,25.0,14.058157920837402,40,0.0,
1995-07-03 00:00:00+00:00,31.25,31.25,31.25,17.572702407836914,104,0.0,
1995-07-05 00:00:00+00:00,31.25,31.25,31.25,17.572702407836914,0,0.0,
1995-07-06 00:00:00+00:00,31.25,31.25,31.25,17.572702407836914,0,0.0,
1995-07-07 00:00:00+00:00,25.0,31.25,25.0,17.572702407836914,48,0.0,
1995-07-10 00:00:00+00:00,31.25,31.25,26.5625,14.936790466308594,688,0.0,
1995-07-11 00:00:00+00:00,31.25,31.25,25.0,16.69406509399414,440,0.0,
1995-07-12 00:00:00+00:00,31.25,31.25,25.0,17.572702407836914,3956,0.0,
1995-07-13 00:00:00+00:00,31.25,37.5,31.25,19.329967498779297,1160,0.0,
1995-07-14 00:00:00+00:00,37.5,42.1875,35.9375,23.72314071655273,704,0.0,
1995-07-17 00:00:00+00:00,42.1875,42.1875,39.0625,21.965869903564453,440,0.0,
1995-07-18 00:00:00+00:00,42.1875,42.1875,37.5,21.965869903564453,1444,0.0,
1995-07-19 00:00:00+00:00,32.8125,34.375,32.8125,19.329967498779297,164,0.0,
1995-07-20 00:00:00+00:00,39.0625,39.0625,37.5,21.08724021911621,464,0.0,
1995-07-21 00:00:00+00:00,45.3125,45.3125,45.3125,25.480417251586918,8,0.0,
1995-07-24 00:00:00+00:00,43.75,50.0,42.1875,28.116315841674805,2600,0.0,
1995-07-25 00:00:00+00:00,50.0,62.5,46.875,27.237682342529297,3420,0.0,
1995-07-26 00:00:00+00:00,62.5,62.5,53.125,29.873580932617188,360,0.0,
1995-07-27 00:00:00+00:00,46.875,59.375,46.875,33.38813018798828,156,0.0,
1995-07-28 00:00:00+00:00,59.375,59.375,59.375,33.38813018798828,92,0.0,
1995-07-31 00:00:00+00:00,59.375,59.375,59.375,33.38813018798828,0,0.0,
1995-08-01 00:00:00+00:00,53.125,59.375,53.125,33.38813018798828,112,0.0,
1995-08-02 00:00:00+00:00,59.375,59.375,59.375,33.38813018798828,0,0.0,
1995-08-03 00:00:00+00:00,57.8125,57.8125,57.8125,32.50950241088867,56,0.0,
1995-08-04 00:00:00+00:00,57.8125,57.8125,57.8125,32.50950241088867,0,0.0,
1995-08-07 00:00:00+00:00,46.875,50.0,46.875,28.116315841674805,1376,0.0,
1995-08-08 00:00:00+00:00,50.0,50.0,50.0,28.116315841674805,0,0.0,
1995-08-09 00:00:00+00:00,50.0,50.0,50.0,28.116315841674805,0,0.0,
1995-08-10 00:00:00+00:00,46.875,56.25,37.5,22.84451484680176,1700,0.0,
1995-08-11 00:00:00+00:00,31.25,40.625,31.25,21.08724021911621,900,0.0,
1995-08-14 00:00:00+00:00,37.5,37.5,37.5,21.08724021911621,0,0.0,
1995-08-15 00:00:00+00:00,37.5,37.5,37.5,21.08724021911621,0,0.0,
1995-08-16 00:00:00+00:00,37.5,37.5,37.5,21.08724021911621,0,0.0,
1995-08-17 00:00:00+00:00,37.5,37.5,37.5,21.08724021911621,0,0.0,
1995-08-18 00:00:00+00:00,37.5,37.5,37.5,21.08724021911621,0,0.0,
1995-08-21 00:00:00+00:00,37.5,37.5,28.125,21.08724021911621,640,0.0,
