date,MHO_Open,MHO_High,MHO_Low,MHO_Close,MHO_Volume,MHO_Dividends,MHO_Stock Splits
1993-11-03 00:00:00+00:00,7.1875,7.375,7.0625,6.766343593597412,2423400,0.0,
1993-11-04 00:00:00+00:00,7.1875,7.25,7.0,6.5898308753967285,379400,0.0,
1993-11-05 00:00:00+00:00,7.0,7.0625,6.875,6.472156524658203,633800,0.0,
1993-11-08 00:00:00+00:00,6.875,6.9375,6.875,6.530993938446045,86600,0.0,
1993-11-09 00:00:00+00:00,6.9375,7.0,6.875,6.472156524658203,179200,0.0,
1993-11-10 00:00:00+00:00,6.875,7.25,6.8125,6.64866828918457,151400,0.0,
1993-11-11 00:00:00+00:00,7.125,7.375,7.0,6.884020805358887,287200,0.0,
1993-11-12 00:00:00+00:00,7.375,7.4375,7.125,6.884020805358887,155600,0.0,
1993-11-15 00:00:00+00:00,7.25,7.375,7.25,6.884020805358887,139400,0.0,
1993-11-16 00:00:00+00:00,7.25,7.3125,7.0625,6.70750617980957,89200,0.0,
1993-11-17 00:00:00+00:00,7.0,7.1875,7.0,6.5898308753967285,33600,0.0,
1993-11-18 00:00:00+00:00,7.0625,7.0625,6.875,6.5898308753967285,50400,0.0,
1993-11-19 00:00:00+00:00,6.9375,7.0,6.8125,6.413320541381836,37000,0.0,
1993-11-22 00:00:00+00:00,6.875,6.875,6.5,6.177966594696045,137400,0.0,
1993-11-23 00:00:00+00:00,6.625,6.875,6.5625,6.472156524658203,75800,0.0,
1993-11-24 00:00:00+00:00,6.9375,7.0,6.875,6.5898308753967285,131200,0.0,
1993-11-26 00:00:00+00:00,7.0625,7.0625,7.0625,6.64866828918457,11600,0.0,
1993-11-29 00:00:00+00:00,7.0625,7.25,7.0,6.64866828918457,51000,0.0,
1993-11-30 00:00:00+00:00,7.125,7.625,7.125,7.119370937347412,197600,0.0,
1993-12-01 00:00:00+00:00,7.625,7.625,7.3125,6.9428582191467285,116800,0.0,
1993-12-02 00:00:00+00:00,7.4375,7.5625,7.375,7.001696586608887,120000,0.0,
1993-12-03 00:00:00+00:00,7.4375,7.5,7.4375,7.060533046722412,28200,0.0,
1993-12-06 00:00:00+00:00,7.4375,7.6875,7.375,7.237045764923096,101800,0.0,
1993-12-07 00:00:00+00:00,7.8125,7.9375,7.625,7.413559913635254,96600,0.0,
1993-12-08 00:00:00+00:00,7.875,8.125,7.875,7.648911476135254,189600,0.0,
1993-12-09 00:00:00+00:00,8.0625,8.125,8.0625,7.590073585510254,74200,0.0,
1993-12-10 00:00:00+00:00,8.0625,8.0625,7.75,7.295885562896728,61000,0.0,
1993-12-13 00:00:00+00:00,7.75,7.8125,7.625,7.295885562896728,158800,0.0,
1993-12-14 00:00:00+00:00,7.8125,8.25,7.75,7.590073585510254,184800,0.0,
1993-12-15 00:00:00+00:00,8.0625,8.4375,8.0625,7.8842620849609375,138200,0.0,
1993-12-16 00:00:00+00:00,8.5,8.625,8.5,8.119613647460938,92200,0.0,
1993-12-17 00:00:00+00:00,8.625,9.125,8.5625,8.472639083862305,202600,0.0,
1993-12-20 00:00:00+00:00,9.125,9.25,8.75,8.296128273010254,270400,0.0,
1993-12-21 00:00:00+00:00,8.875,8.875,8.75,8.237290382385254,27400,0.0,
1993-12-22 00:00:00+00:00,8.75,8.875,8.6875,8.354966163635254,27400,0.0,
1993-12-23 00:00:00+00:00,8.875,9.0,8.8125,8.354966163635254,113400,0.0,
1993-12-27 00:00:00+00:00,8.875,9.0,8.875,8.472639083862305,11800,0.0,
