date,RCL_Open,RCL_High,RCL_Low,RCL_Close,RCL_Volume,RCL_Dividends,RCL_Stock Splits
1993-04-28 00:00:00+00:00,9.125,9.375,9.0,5.865182399749756,7821000,0.0,
1993-04-29 00:00:00+00:00,9.125,9.3125,9.125,5.985696792602539,2118800,0.0,
1993-04-30 00:00:00+00:00,9.375,9.375,9.125,5.905351638793945,536800,0.0,
1993-05-03 00:00:00+00:00,9.125,9.1875,9.0625,5.905351638793945,509600,0.0,
1993-05-04 00:00:00+00:00,9.1875,9.1875,8.9375,5.825008392333984,787400,0.0,
1993-05-05 00:00:00+00:00,9.0,9.0625,8.875,5.704492568969727,747200,0.0,
1993-05-06 00:00:00+00:00,8.9375,9.0,8.8125,5.664322376251221,392800,0.0,
1993-05-07 00:00:00+00:00,8.875,8.9375,8.8125,5.704492568969727,180000,0.0,
1993-05-10 00:00:00+00:00,8.9375,9.0625,8.875,5.704492568969727,269600,0.0,
1993-05-11 00:00:00+00:00,8.9375,8.9375,8.875,5.744664669036865,109400,0.0,
1993-05-12 00:00:00+00:00,8.875,8.875,8.6875,5.664322376251221,110800,0.0,
1993-05-13 00:00:00+00:00,8.8125,8.8125,8.75,5.6241455078125,171000,0.0,
1993-05-14 00:00:00+00:00,8.75,8.875,8.75,5.6241455078125,166800,0.0,
1993-05-17 00:00:00+00:00,8.75,8.75,8.5625,5.543802261352539,132000,0.0,
1993-05-18 00:00:00+00:00,8.625,8.625,8.0,5.302768230438232,534400,0.0,
1993-05-19 00:00:00+00:00,8.375,8.5625,8.375,5.423284530639648,203600,0.0,
1993-05-20 00:00:00+00:00,8.3125,8.375,7.9375,5.222423076629639,1189000,0.0,
1993-05-21 00:00:00+00:00,8.1875,8.25,8.0,5.262593746185303,475600,0.0,
1993-05-24 00:00:00+00:00,8.25,8.25,8.0,5.222423076629639,719200,0.0,
1993-05-25 00:00:00+00:00,8.0,8.0625,7.8125,5.101906776428223,326600,0.0,
1993-05-26 00:00:00+00:00,8.0,8.3125,8.0,5.302768230438232,209200,0.0,
1993-05-27 00:00:00+00:00,8.375,8.5625,8.25,5.463456153869629,307800,0.0,
1993-05-28 00:00:00+00:00,8.625,8.8125,8.4375,5.583975315093994,986400,0.0,
1993-06-01 00:00:00+00:00,8.75,8.75,8.4375,5.463456153869629,116800,0.0,
1993-06-02 00:00:00+00:00,8.5,8.6875,8.4375,5.583975315093994,205200,0.0,
1993-06-03 00:00:00+00:00,8.6875,8.6875,8.5,5.463456153869629,92000,0.0,
1993-06-04 00:00:00+00:00,8.5625,8.625,8.5,5.503630638122559,118200,0.0,
1993-06-07 00:00:00+00:00,8.5,8.6875,8.5,5.543802261352539,60000,0.0,
1993-06-08 00:00:00+00:00,8.625,8.625,8.5,5.503630638122559,298200,0.0,
1993-06-09 00:00:00+00:00,8.5625,8.5625,8.4375,5.423284530639648,27400,0.0,
1993-06-10 00:00:00+00:00,8.4375,8.625,8.4375,5.503630638122559,153600,0.0,
1993-06-11 00:00:00+00:00,8.6875,8.8125,8.5625,5.664322376251221,84200,0.0,
1993-06-14 00:00:00+00:00,8.9375,9.0,8.75,5.744664669036865,434000,0.0,
1993-06-15 00:00:00+00:00,8.875,9.125,8.8125,5.704492568969727,169600,0.0,
1993-06-16 00:00:00+00:00,8.875,9.0625,8.875,5.744664669036865,288200,0.0,
1993-06-17 00:00:00+00:00,9.0,9.0,8.8125,5.744664669036865,165400,0.0,
1993-06-18 00:00:00+00:00,8.9375,9.0,8.8125,5.704492568969727,89400,0.0,
1993-06-21 00:00:00+00:00,8.8125,8.9375,8.8125,5.704492568969727,34200,0.0,
1993-06-22 00:00:00+00:00,8.9375,9.0625,8.8125,5.704492568969727,143000,0.0,
