date,BRKR_Open,BRKR_High,BRKR_Low,BRKR_Close,BRKR_Volume,BRKR_Dividends,BRKR_Stock Splits
2000-08-04 00:00:00+00:00,20.46875,25.1875,19.1875,22.29117202758789,9184900,0.0,
2000-08-07 00:00:00+00:00,23.125,24.75,22.5,23.076499938964844,1006600,0.0,
2000-08-08 00:00:00+00:00,23.625,26.359375,23.625,24.16386985778809,483700,0.0,
2000-08-09 00:00:00+00:00,25.125,25.625,25.0,24.52632713317871,487200,0.0,
2000-08-10 00:00:00+00:00,24.9375,25.125,24.5,23.922237396240234,767000,0.0,
2000-08-11 00:00:00+00:00,24.5,24.625,23.875,23.55977439880371,157200,0.0,
2000-08-14 00:00:00+00:00,24.25,24.875,24.0,23.80140686035156,349900,0.0,
2000-08-15 00:00:00+00:00,24.875,25.3125,24.625,24.34510803222656,41200,0.0,
2000-08-16 00:00:00+00:00,25.0625,26.25,24.6875,25.37206077575684,401500,0.0,
2000-08-17 00:00:00+00:00,26.0,26.25,23.125,23.680593490600582,727900,0.0,
2000-08-18 00:00:00+00:00,24.125,25.125,24.125,24.04305076599121,316200,0.0,
2000-08-21 00:00:00+00:00,24.875,28.8125,24.875,27.788450241088867,381800,0.0,
2000-08-22 00:00:00+00:00,28.75,32.125,28.0,30.869346618652344,240200,0.0,
2000-08-23 00:00:00+00:00,31.625,32.5,28.625,29.479923248291016,481900,0.0,
2000-08-24 00:00:00+00:00,30.5,37.625,30.5,36.36661911010742,158200,0.0,
2000-08-25 00:00:00+00:00,36.1875,39.0,36.125,36.72908782958984,200000,0.0,
2000-08-28 00:00:00+00:00,39.0,39.5625,37.5625,36.72908782958984,42400,0.0,
2000-08-29 00:00:00+00:00,38.5,38.5,37.0,36.30622482299805,136000,0.0,
2000-08-30 00:00:00+00:00,37.375,38.25,36.5,36.849891662597656,271300,0.0,
2000-08-31 00:00:00+00:00,38.25,51.375,38.125,48.56938171386719,503900,0.0,
2000-09-01 00:00:00+00:00,49.4375,49.5,46.25,45.00521087646485,377000,0.0,
2000-09-05 00:00:00+00:00,46.5,46.5,43.375,43.011695861816406,398100,0.0,
2000-09-06 00:00:00+00:00,44.0,44.25,37.5,36.48745727539063,245000,0.0,
2000-09-07 00:00:00+00:00,38.40625,38.5,37.125,36.60826110839844,98100,0.0,
2000-09-08 00:00:00+00:00,37.5,37.5,31.875,32.86286544799805,252300,0.0,
2000-09-11 00:00:00+00:00,34.5625,34.5625,33.0,31.95671272277832,18000,0.0,
2000-09-12 00:00:00+00:00,33.5,36.25,33.5,32.86286544799805,171900,0.0,
2000-09-13 00:00:00+00:00,34.96875,36.25,33.75,32.86286544799805,217100,0.0,
2000-09-14 00:00:00+00:00,34.0,36.0,33.96875,33.88983154296875,314600,0.0,
2000-09-15 00:00:00+00:00,35.09375,35.09375,34.0,33.104496002197266,15400,0.0,
2000-09-18 00:00:00+00:00,34.0,34.5,28.75,28.392549514770508,37900,0.0,
2000-09-19 00:00:00+00:00,29.75,30.375,29.625,28.875825881958008,183300,0.0,
2000-09-20 00:00:00+00:00,29.125,29.875,27.0,26.58026123046875,242100,0.0,
2000-09-21 00:00:00+00:00,27.5,28.875,27.125,27.788450241088867,238700,0.0,
2000-09-22 00:00:00+00:00,28.5,32.75,27.5,31.654672622680664,75300,0.0,
2000-09-25 00:00:00+00:00,32.5625,34.625,31.5,31.896303176879883,67500,0.0,
2000-09-26 00:00:00+00:00,33.0625,36.125,33.0625,34.79597854614258,113900,0.0,
2000-09-27 00:00:00+00:00,35.875,39.5,35.25,37.63522720336914,223800,0.0,
2000-09-28 00:00:00+00:00,38.5,46.875,35.8125,43.61578750610352,221200,0.0,
2000-09-29 00:00:00+00:00,44.5,44.875,43.625,42.89086532592773,76700,0.0,
2000-10-02 00:00:00+00:00,46.4375,47.3125,45.75,44.46152877807617,206900,0.0,
2000-10-03 00:00:00+00:00,46.25,46.75,39.875,40.23285675048828,111800,0.0,
2000-10-04 00:00:00+00:00,40.0625,41.5625,37.8125,36.72908782958984,28300,0.0,
2000-10-05 00:00:00+00:00,38.0,41.5,37.75,38.42055892944336,30800,0.0,
2000-10-06 00:00:00+00:00,40.625,40.625,36.0,36.24580383300781,48600,0.0,
2000-10-09 00:00:00+00:00,36.5,36.5,32.0,30.92975234985352,9400,0.0,
2000-10-10 00:00:00+00:00,33.125,35.75,33.0625,32.86286544799805,22300,0.0,
2000-10-11 00:00:00+00:00,33.875,33.875,31.5,30.56729888916016,26600,0.0,
2000-10-12 00:00:00+00:00,32.875,33.125,29.125,29.359107971191406,47000,0.0,
2000-10-13 00:00:00+00:00,29.25,30.125,28.25,27.909273147583008,109900,0.0,
2000-10-16 00:00:00+00:00,29.625,35.75,29.0625,29.842378616333008,139600,0.0,
2000-10-17 00:00:00+00:00,31.984375,32.0,30.375,30.325658798217773,160300,0.0,
2000-10-18 00:00:00+00:00,31.0,32.0,30.875,30.325658798217773,96000,0.0,
2000-10-19 00:00:00+00:00,32.75,33.625,32.25,32.50040054321289,133000,0.0,
2000-10-20 00:00:00+00:00,34.0,39.0,33.25,36.72908782958984,131200,0.0,
2000-10-23 00:00:00+00:00,38.734375,39.75,36.75,36.24580383300781,106000,0.0,
2000-10-24 00:00:00+00:00,38.0,38.5,36.5,35.52089309692383,40600,0.0,
2000-10-25 00:00:00+00:00,36.75,37.25,36.375,35.46047592163086,67400,0.0,
2000-10-26 00:00:00+00:00,36.4375,36.4375,36.375,35.218849182128906,34700,0.0,
2000-10-27 00:00:00+00:00,36.375,36.5,36.125,34.91679763793945,85400,0.0,
2000-10-30 00:00:00+00:00,35.875,35.875,33.0,32.07754135131836,96800,0.0,
2000-10-31 00:00:00+00:00,34.0,35.5,34.0,33.104496002197266,156000,0.0,
2000-11-01 00:00:00+00:00,34.0,35.25,34.0,33.95024108886719,241200,0.0,
2000-11-02 00:00:00+00:00,35.25,38.0,35.125,35.52089309692383,177000,0.0,
2000-11-03 00:00:00+00:00,37.125,37.375,36.625,36.00416564941406,87100,0.0,
2000-11-06 00:00:00+00:00,38.0,42.125,37.875,37.33318710327149,44800,0.0,
2000-11-07 00:00:00+00:00,39.234375,39.25,37.75,36.849891662597656,82400,0.0,
2000-11-08 00:00:00+00:00,38.125,39.0,37.875,37.69564056396485,46900,0.0,
2000-11-09 00:00:00+00:00,39.125,42.25,38.625,37.33318710327149,82500,0.0,
2000-11-10 00:00:00+00:00,39.125,39.875,36.125,35.702117919921875,121400,0.0,
2000-11-13 00:00:00+00:00,36.265625,36.265625,30.375,30.20484161376953,247400,0.0,
2000-11-14 00:00:00+00:00,31.265625,32.25,31.0,29.96320152282715,25000,0.0,
2000-11-15 00:00:00+00:00,31.0,32.0,30.625,30.92975234985352,24700,0.0,
2000-11-16 00:00:00+00:00,32.5,36.0,32.5,34.07106018066406,30400,0.0,
2000-11-17 00:00:00+00:00,35.5,35.9375,33.75,33.285728454589844,15600,0.0,
2000-11-20 00:00:00+00:00,34.5,34.5,28.3125,27.425989151000977,27900,0.0,
2000-11-21 00:00:00+00:00,29.75,30.0,27.625,27.06353759765625,77200,0.0,
2000-11-22 00:00:00+00:00,27.953125,28.125,27.625,27.12394905090332,90800,0.0,
2000-11-24 00:00:00+00:00,27.8125,28.0,27.625,26.761489868164062,48500,0.0,
2000-11-27 00:00:00+00:00,28.125,28.125,25.875,25.13042640686035,133500,0.0,
2000-11-28 00:00:00+00:00,25.921875,25.921875,20.625,19.935190200805664,168400,0.0,
2000-11-29 00:00:00+00:00,20.75,20.875,17.75,17.277164459228516,99100,0.0,
2000-11-30 00:00:00+00:00,18.0625,18.359375,15.0625,17.51880645751953,519500,0.0,
2000-12-01 00:00:00+00:00,19.0,19.125,18.5625,18.30413055419922,144600,0.0,
2000-12-04 00:00:00+00:00,19.0625,19.0625,16.5,16.552248001098633,264200,0.0,
2000-12-05 00:00:00+00:00,17.6875,20.5,17.125,19.572734832763672,377000,0.0,
2000-12-06 00:00:00+00:00,20.125,23.375,20.125,21.20379638671875,189800,0.0,
2000-12-07 00:00:00+00:00,21.875,25.75,21.75,24.284690856933597,108200,0.0,
2000-12-08 00:00:00+00:00,26.0,28.75,25.125,27.72804450988769,44800,0.0,
2000-12-11 00:00:00+00:00,28.984375,32.9375,28.984375,30.68811416625977,34500,0.0,
2000-12-12 00:00:00+00:00,32.0,32.0,30.3125,29.298688888549805,15400,0.0,
2000-12-13 00:00:00+00:00,30.3125,30.3125,27.5,26.88231658935547,132300,0.0,
2000-12-14 00:00:00+00:00,27.75,27.75,25.5,25.613710403442383,76300,0.0,
2000-12-15 00:00:00+00:00,25.875,26.0,19.125,21.747488021850582,185700,0.0,
2000-12-18 00:00:00+00:00,21.265625,23.25,19.5625,19.27068328857422,29800,0.0,
2000-12-19 00:00:00+00:00,21.0625,22.0,20.625,20.297653198242188,87200,0.0,
2000-12-20 00:00:00+00:00,21.5625,21.625,16.3125,16.068979263305664,144600,0.0,
2000-12-21 00:00:00+00:00,16.5,20.125,16.0,19.21027946472168,501800,0.0,
2000-12-22 00:00:00+00:00,19.75,22.75,19.125,21.26420211791992,40400,0.0,
2000-12-26 00:00:00+00:00,20.75,22.0,20.75,21.26420211791992,16300,0.0,
2000-12-27 00:00:00+00:00,20.625,23.0,18.25,18.666593551635746,68800,0.0,
2000-12-28 00:00:00+00:00,20.0,22.5,19.875,21.26420211791992,97500,0.0,
2000-12-29 00:00:00+00:00,22.0,25.0,21.875,22.774450302124023,354000,0.0,
2001-01-02 00:00:00+00:00,23.125,23.25,20.0,19.935190200805664,37700,0.0,
2001-01-03 00:00:00+00:00,19.625,20.5,19.25,18.96864128112793,176900,0.0,
2001-01-04 00:00:00+00:00,19.25,19.75,16.5,15.94815158843994,117200,0.0,
2001-01-05 00:00:00+00:00,16.75,16.75,15.0,15.22323989868164,39500,0.0,
2001-01-08 00:00:00+00:00,15.375,15.375,10.75,10.390467643737791,162400,0.0,
2001-01-09 00:00:00+00:00,11.0625,14.75,11.0,13.833818435668944,333400,0.0,
2001-01-10 00:00:00+00:00,14.171875,16.0,13.3125,15.22323989868164,68200,0.0,
2001-01-11 00:00:00+00:00,16.875,16.875,15.4375,15.042012214660645,81000,0.0,
2001-01-12 00:00:00+00:00,15.703125,16.0,14.75,14.498324394226074,152800,0.0,
2001-01-16 00:00:00+00:00,15.34375,16.0,15.0,15.464876174926758,94400,0.0,
2001-01-17 00:00:00+00:00,16.0,19.0,16.0,17.51880645751953,191400,0.0,
2001-01-18 00:00:00+00:00,18.0,20.0,18.0,18.122901916503903,580500,0.0,
2001-01-19 00:00:00+00:00,18.8125,18.8125,16.5,15.94815158843994,15600,0.0,
2001-01-22 00:00:00+00:00,17.0,19.625,17.0,18.36454391479492,91400,0.0,
2001-01-23 00:00:00+00:00,18.890625,19.25,18.75,18.4853572845459,94000,0.0,
2001-01-24 00:00:00+00:00,19.125,20.125,19.0,19.45192146301269,19800,0.0,
2001-01-25 00:00:00+00:00,20.0,20.8125,20.0,19.935190200805664,76800,0.0,
2001-01-26 00:00:00+00:00,20.75,20.75,19.625,19.45192146301269,132700,0.0,
2001-01-29 00:00:00+00:00,19.5,20.0,17.5625,18.062488555908203,23200,0.0,
2001-01-30 00:00:00+00:00,17.9375,24.0,17.75,21.505847930908203,142900,0.0,
2001-01-31 00:00:00+00:00,23.25,27.25,22.3125,24.16386985778809,181700,0.0,
2001-02-01 00:00:00+00:00,25.25,26.625,25.25,24.52632713317871,142600,0.0,
2001-02-02 00:00:00+00:00,25.25,25.625,22.25,21.505847930908203,37500,0.0,
2001-02-05 00:00:00+00:00,22.25,22.5,20.8125,20.901750564575195,18100,0.0,
2001-02-06 00:00:00+00:00,21.75,22.75,20.0,21.98912811279297,15200,0.0,
2001-02-07 00:00:00+00:00,21.25,23.125,21.25,22.23076438903809,21600,0.0,
2001-02-08 00:00:00+00:00,22.0,23.125,22.0,21.445432662963867,13700,0.0,
2001-02-09 00:00:00+00:00,22.3125,23.5,22.125,21.98912811279297,46900,0.0,
2001-02-12 00:00:00+00:00,22.5625,23.125,22.1875,22.109947204589844,29200,0.0,
2001-02-13 00:00:00+00:00,22.9375,23.9375,22.875,22.83485984802246,30200,0.0,
2001-02-14 00:00:00+00:00,23.25,24.25,23.125,23.4389591217041,54500,0.0,
2001-02-15 00:00:00+00:00,24.359375,24.75,24.015625,23.378541946411133,132800,0.0,
2001-02-16 00:00:00+00:00,23.0625,23.875,22.25,22.532804489135746,9000,0.0,
2001-02-20 00:00:00+00:00,22.25,24.875,21.5625,23.80140686035156,17400,0.0,
2001-02-21 00:00:00+00:00,24.375,24.75,22.875,23.19731712341309,46500,0.0,
2001-02-22 00:00:00+00:00,23.25,23.5,21.75,21.26420211791992,19100,0.0,
2001-02-23 00:00:00+00:00,21.875,21.875,17.75,18.847820281982425,25200,0.0,
2001-02-26 00:00:00+00:00,20.5625,20.625,19.625,19.331098556518555,38700,0.0,
2001-02-27 00:00:00+00:00,20.0,20.0,18.5,17.88126564025879,21100,0.0,
2001-02-28 00:00:00+00:00,18.4375,18.875,18.0625,17.458398818969727,5900,0.0,
2001-03-01 00:00:00+00:00,18.0625,18.375,14.5625,15.464876174926758,64900,0.0,
2001-03-02 00:00:00+00:00,16.21875,18.0,15.75,15.766927719116213,577200,0.0,
2001-03-05 00:00:00+00:00,16.328125,17.125,16.3125,16.189796447753906,142600,0.0,
2001-03-06 00:00:00+00:00,17.125,18.75,17.125,17.94167709350586,32000,0.0,
2001-03-07 00:00:00+00:00,18.625,19.0,17.75,17.639625549316406,52900,0.0,
2001-03-08 00:00:00+00:00,18.375,18.375,17.875,17.39798927307129,16400,0.0,
2001-03-09 00:00:00+00:00,18.25,18.25,17.75,17.156343460083008,17400,0.0,
2001-03-12 00:00:00+00:00,18.0,18.0,16.875,17.03553009033203,14000,0.0,
2001-03-13 00:00:00+00:00,17.75,18.125,16.75,17.51880645751953,32700,0.0,
2001-03-14 00:00:00+00:00,18.125,18.125,17.625,17.277164459228516,255300,0.0,
2001-03-15 00:00:00+00:00,17.8125,17.875,17.25,16.733482360839844,4100,0.0,
2001-03-16 00:00:00+00:00,17.5,17.875,15.4375,15.827336311340332,256500,0.0,
2001-03-19 00:00:00+00:00,16.640625,17.25,16.0,15.52528476715088,210700,0.0,
2001-03-20 00:00:00+00:00,16.484375,16.484375,14.625,14.739961624145508,28800,0.0,
2001-03-21 00:00:00+00:00,15.625,15.625,13.625,14.55873203277588,18500,0.0,
2001-03-22 00:00:00+00:00,13.5,13.5,8.3125,10.028005599975586,1201400,0.0,
2001-03-23 00:00:00+00:00,11.0,11.25,10.0,10.692512512207031,37200,0.0,
2001-03-26 00:00:00+00:00,11.1875,12.875,11.0,11.961118698120115,430900,0.0,
2001-03-27 00:00:00+00:00,12.875,14.6875,12.0,13.531768798828123,126900,0.0,
2001-03-28 00:00:00+00:00,13.875,13.9375,13.25,13.410948753356934,219300,0.0,
2001-03-29 00:00:00+00:00,13.75,13.75,13.125,12.806855201721191,209500,0.0,
2001-03-30 00:00:00+00:00,13.6875,16.75,11.375,15.162829399108888,326200,0.0,
2001-04-02 00:00:00+00:00,15.3125,16.0,14.0,13.894225120544434,198600,0.0,
2001-04-03 00:00:00+00:00,14.4375,14.5625,13.6875,13.531768798828123,98700,0.0,
2001-04-04 00:00:00+00:00,14.25,14.25,13.3125,13.410948753356934,54100,0.0,
2001-04-05 00:00:00+00:00,13.625,14.0,13.375,13.531768798828123,114300,0.0,
2001-04-06 00:00:00+00:00,13.5625,13.8125,13.4375,12.988083839416504,40600,0.0,
2001-04-09 00:00:00+00:00,13.25,13.399999618530272,13.050000190734863,12.632872581481934,74500,0.0,
2001-04-10 00:00:00+00:00,12.25,12.600000381469728,10.979999542236328,11.115382194519045,550200,0.0,
2001-04-11 00:00:00+00:00,11.5600004196167,12.239999771118164,11.489999771118164,11.270031929016112,299000,0.0,
2001-04-12 00:00:00+00:00,11.68000030517578,11.68000030517578,11.300000190734863,11.018729209899902,187900,0.0,
2001-04-16 00:00:00+00:00,11.43000030517578,11.43000030517578,10.9399995803833,10.63210105895996,13900,0.0,
2001-04-17 00:00:00+00:00,11.039999961853027,11.470000267028809,10.970000267028809,10.63210105895996,113800,0.0,
2001-04-18 00:00:00+00:00,11.470000267028809,12.300000190734863,11.210000038146973,11.878958702087402,349500,0.0,
