date,RFIL_Open,RFIL_High,RFIL_Low,RFIL_Close,RFIL_Volume,RFIL_Dividends,RFIL_Stock Splits
1994-04-06 00:00:00+00:00,0.1875,0.1875,0.1875,0.1166016012430191,20000,0.0,
1994-04-07 00:00:00+00:00,0.1875,0.1875,0.1875,0.1166016012430191,0,0.0,
1994-04-08 00:00:00+00:00,0.1875,0.1875,0.1875,0.1166016012430191,0,0.0,
1994-04-11 00:00:00+00:00,0.1875,0.1875,0.1875,0.1166016012430191,0,0.0,
1994-04-12 00:00:00+00:00,0.1875,0.1875,0.1875,0.1166016012430191,0,0.0,
1994-04-13 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,200,0.0,
1994-04-14 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,0,0.0,
1994-04-15 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,0,0.0,
1994-04-18 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,10000,0.0,
1994-04-19 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,0,0.0,
1994-04-20 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,0,0.0,
1994-04-21 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,0,0.0,
1994-04-22 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,0,0.0,
1994-04-25 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,0,0.0,
1994-04-26 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,0,0.0,
1994-04-28 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,0,0.0,
1994-04-29 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,0,0.0,
1994-05-02 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,0,0.0,
1994-05-03 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,0,0.0,
1994-05-04 00:00:00+00:00,0.15625,0.15625,0.15625,0.0971680134534835,0,0.0,
