date,AHT_Open,AHT_High,AHT_Low,AHT_Close,AHT_Volume,AHT_Dividends,AHT_Stock Splits
2003-08-26 00:00:00+00:00,563.6113891601562,563.6113891601562,563.6113891601562,214.6518096923828,59415,0.0,
2003-08-27 00:00:00+00:00,563.6113891601562,568.6212768554688,563.6113891601562,216.5597381591797,16411,0.0,
2003-08-28 00:00:00+00:00,568.6212768554688,583.6509399414062,568.6212768554688,220.3758544921875,6838,0.0,
2003-08-29 00:00:00+00:00,578.6410522460938,578.6410522460938,573.6311645507812,220.3758544921875,4687,0.0,
2003-09-02 00:00:00+00:00,573.6311645507812,573.6311645507812,563.6113891601562,218.46783447265625,26520,0.0,
2003-09-03 00:00:00+00:00,573.6311645507812,573.6311645507812,568.6212768554688,216.5597381591797,15849,0.0,
2003-09-04 00:00:00+00:00,573.6311645507812,583.6509399414062,573.6311645507812,220.3758544921875,3438,0.0,
2003-09-05 00:00:00+00:00,582.3984375,591.7919921875,579.2672729492188,221.80686950683597,3903,0.0,
2003-09-08 00:00:00+00:00,588.6607666015625,594.9231567382812,587.4083251953125,224.1918792724609,7130,0.0,
2003-09-09 00:00:00+00:00,588.6607666015625,588.6607666015625,579.2672729492188,221.80686950683597,655,0.0,
2003-09-10 00:00:00+00:00,582.3984375,582.3984375,566.7425537109375,217.0367431640625,1485,0.0,
2003-09-11 00:00:00+00:00,573.0049438476562,573.0049438476562,569.8737182617188,217.5138397216797,1250,0.0,
2003-09-12 00:00:00+00:00,576.1361083984375,582.3984375,570.5,221.80686950683597,1929,0.0,
2003-09-15 00:00:00+00:00,580.5197143554688,580.5197143554688,573.0049438476562,218.9447784423828,2723,0.0,
2003-09-16 00:00:00+00:00,573.0049438476562,576.1361083984375,573.0049438476562,218.9447784423828,1303,0.0,
2003-09-17 00:00:00+00:00,574.8836059570312,574.8836059570312,570.5,218.2293243408203,658,0.0,
2003-09-18 00:00:00+00:00,573.0049438476562,573.0049438476562,567.9950561523438,217.5138397216797,3914,0.0,
2003-09-19 00:00:00+00:00,573.0049438476562,579.2672729492188,573.0049438476562,219.4217987060547,3305,0.0,
2003-09-22 00:00:00+00:00,575.5098876953125,578.0148315429688,573.0049438476562,218.70635986328125,1083,0.0,
2003-09-23 00:00:00+00:00,574.2573852539062,594.9231567382812,573.0049438476562,223.47642517089844,8818,0.0,
2003-09-24 00:00:00+00:00,583.6509399414062,585.5296020507812,576.1361083984375,219.4217987060547,925,0.0,
2003-09-25 00:00:00+00:00,576.1361083984375,576.1361083984375,569.8737182617188,217.5138397216797,1143,0.0,
2003-09-26 00:00:00+00:00,571.126220703125,571.126220703125,554.2178955078125,211.0742950439453,6795,0.0,
2003-09-29 00:00:00+00:00,560.480224609375,561.1064453125,556.7228393554688,213.45925903320312,5394,0.0,
2003-09-30 00:00:00+00:00,560.480224609375,563.6113891601562,560.480224609375,213.936279296875,3288,0.0,
2003-10-01 00:00:00+00:00,563.6113891601562,569.2474975585938,563.6113891601562,214.89024353027344,3590,0.0,
