date,ELTK_Open,ELTK_High,ELTK_Low,ELTK_Close,ELTK_Volume,ELTK_Dividends,ELTK_Stock Splits
1997-01-22 00:00:00+00:00,27.5,30.0,26.25,28.40344619750977,15820,0.0,
1997-01-23 00:00:00+00:00,30.0,30.0,27.5,26.628231048583984,18980,0.0,
1997-01-24 00:00:00+00:00,27.5,30.0,27.5,26.0364933013916,6100,0.0,
1997-01-27 00:00:00+00:00,27.5,30.0,27.5,27.219970703125,5440,0.0,
1997-01-28 00:00:00+00:00,27.5,28.75,26.25,26.0364933013916,19160,0.0,
1997-01-29 00:00:00+00:00,27.5,27.5,26.25,24.853015899658203,8380,0.0,
1997-01-30 00:00:00+00:00,26.25,26.25,25.625,24.26127815246582,2260,0.0,
1997-01-31 00:00:00+00:00,25.625,27.5,25.625,24.853015899658203,5460,0.0,
1997-02-03 00:00:00+00:00,26.25,27.5,26.25,24.853015899658203,4300,0.0,
1997-02-04 00:00:00+00:00,27.5,27.5,26.25,24.853015899658203,5020,0.0,
1997-02-05 00:00:00+00:00,26.25,26.25,25.625,24.26127815246582,2400,0.0,
1997-02-06 00:00:00+00:00,25.625,27.5,25.625,26.0364933013916,3820,0.0,
1997-02-07 00:00:00+00:00,25.625,26.25,25.0,23.669538497924805,5840,0.0,
1997-02-10 00:00:00+00:00,25.0,26.25,25.0,23.669538497924805,11800,0.0,
1997-02-11 00:00:00+00:00,25.0,26.25,25.0,24.853015899658203,4940,0.0,
1997-02-12 00:00:00+00:00,25.0,25.0,25.0,23.669538497924805,700,0.0,
1997-02-13 00:00:00+00:00,25.0,25.0,25.0,23.669538497924805,5360,0.0,
1997-02-14 00:00:00+00:00,25.0,27.5,25.0,26.0364933013916,2860,0.0,
1997-02-18 00:00:00+00:00,25.0,26.25,25.0,23.669538497924805,3480,0.0,
1997-02-19 00:00:00+00:00,25.0,26.25,25.0,23.669538497924805,4200,0.0,
1997-02-20 00:00:00+00:00,25.0,25.0,23.75,22.486061096191406,16440,0.0,
1997-02-21 00:00:00+00:00,23.75,25.0,23.75,23.077800750732425,3240,0.0,
1997-02-24 00:00:00+00:00,25.0,27.5,25.0,23.669538497924805,11020,0.0,
1997-02-25 00:00:00+00:00,25.0,26.875,24.375,23.077800750732425,5940,0.0,
1997-02-26 00:00:00+00:00,24.375,25.0,24.375,23.077800750732425,860,0.0,
1997-02-27 00:00:00+00:00,24.375,24.375,24.375,23.077800750732425,1240,0.0,
1997-02-28 00:00:00+00:00,24.375,24.375,24.375,23.077800750732425,6300,0.0,
1997-03-03 00:00:00+00:00,24.375,24.375,23.75,22.486061096191406,2300,0.0,
1997-03-04 00:00:00+00:00,23.75,25.0,23.125,21.894323348999023,3340,0.0,
1997-03-05 00:00:00+00:00,23.125,23.125,23.125,21.894323348999023,1400,0.0,
1997-03-06 00:00:00+00:00,23.125,23.125,21.875,20.710847854614254,4260,0.0,
1997-03-07 00:00:00+00:00,21.25,22.5,20.625,20.11910820007324,18760,0.0,
