date,HUSA_Open,HUSA_High,HUSA_Low,HUSA_Close,HUSA_Volume,HUSA_Dividends,HUSA_Stock Splits
2002-01-22 00:00:00+00:00,5.0,6.0,4.375,5.410349369049072,5816,0.0,
2002-01-23 00:00:00+00:00,6.0,6.0,6.0,5.771040439605713,432,0.0,
2002-01-24 00:00:00+00:00,6.0,6.0,5.0,4.809199810028076,4160,0.0,
2002-01-25 00:00:00+00:00,5.75,6.625,5.625,6.011499881744385,2320,0.0,
2002-01-28 00:00:00+00:00,7.125,7.125,7.125,6.853109836578369,160,0.0,
2002-01-29 00:00:00+00:00,7.125,7.125,6.375,6.1317291259765625,560,0.0,
2002-01-30 00:00:00+00:00,6.375,6.375,6.375,6.1317291259765625,0,0.0,
2002-01-31 00:00:00+00:00,6.625,6.625,6.375,6.372189521789551,1240,0.0,
2002-02-01 00:00:00+00:00,6.625,6.625,6.625,6.372189521789551,160,0.0,
2002-02-04 00:00:00+00:00,5.375,5.375,5.0,4.809199810028076,800,0.0,
2002-02-05 00:00:00+00:00,4.0,5.5,4.0,4.809199810028076,2400,0.0,
2002-02-06 00:00:00+00:00,5.25,6.0,5.25,5.771040439605713,1560,0.0,
2002-02-07 00:00:00+00:00,6.25,6.25,5.75,5.530580520629883,1200,0.0,
2002-02-08 00:00:00+00:00,5.625,6.25,5.625,6.011499881744385,5160,0.0,
2002-02-11 00:00:00+00:00,5.875,6.25,5.875,6.011499881744385,760,0.0,
2002-02-12 00:00:00+00:00,5.875,6.25,5.875,6.011499881744385,1920,0.0,
2002-02-13 00:00:00+00:00,6.25,6.5,6.125,6.251959323883057,2336,0.0,
2002-02-14 00:00:00+00:00,6.5,6.5,6.5,6.251959323883057,0,0.0,
2002-02-15 00:00:00+00:00,6.375,6.625,6.375,6.372189521789551,840,0.0,
2002-02-19 00:00:00+00:00,6.625,8.125,6.25,7.213799953460693,10400,0.0,
2002-02-20 00:00:00+00:00,7.125,7.125,7.125,6.853109836578369,40,0.0,
2002-02-21 00:00:00+00:00,7.125,7.125,7.125,6.853109836578369,0,0.0,
2002-02-22 00:00:00+00:00,7.75,7.75,7.75,7.454260349273682,80,0.0,
2002-02-25 00:00:00+00:00,7.75,7.75,7.5,7.213799953460693,376,0.0,
2002-02-26 00:00:00+00:00,7.75,7.75,7.75,7.454260349273682,248,0.0,
2002-02-27 00:00:00+00:00,7.75,7.75,7.5,7.213799953460693,816,0.0,
2002-02-28 00:00:00+00:00,7.75,7.75,6.875,6.612650394439697,800,0.0,
2002-03-01 00:00:00+00:00,7.5,7.75,7.5,7.454260349273682,224,0.0,
2002-03-04 00:00:00+00:00,7.75,8.75,7.5,8.05540943145752,2664,0.0,
2002-03-05 00:00:00+00:00,8.75,9.375,8.375,8.05540943145752,2840,0.0,
2002-03-06 00:00:00+00:00,8.375,8.375,8.375,8.05540943145752,0,0.0,
2002-03-07 00:00:00+00:00,8.375,8.375,8.375,8.05540943145752,0,0.0,
2002-03-08 00:00:00+00:00,8.375,8.375,8.375,8.05540943145752,0,0.0,
2002-03-11 00:00:00+00:00,8.375,8.375,8.375,8.05540943145752,0,0.0,
2002-03-12 00:00:00+00:00,8.375,8.375,8.375,8.05540943145752,0,0.0,
2002-03-13 00:00:00+00:00,8.375,8.375,8.375,8.05540943145752,0,0.0,
2002-03-14 00:00:00+00:00,8.5,8.5,8.5,8.175641059875488,32,0.0,
2002-03-15 00:00:00+00:00,8.5,8.5,8.5,8.175641059875488,0,0.0,
2002-03-18 00:00:00+00:00,8.5,8.5,8.5,8.175641059875488,0,0.0,
2002-03-19 00:00:00+00:00,8.5,8.5,8.5,8.175641059875488,0,0.0,
2002-03-20 00:00:00+00:00,8.5,8.5,8.5,8.175641059875488,0,0.0,
2002-03-21 00:00:00+00:00,8.5,8.5,8.5,8.175641059875488,0,0.0,
2002-03-22 00:00:00+00:00,8.0,8.0,8.0,7.694719314575195,800,0.0,
2002-03-25 00:00:00+00:00,8.0,8.0,8.0,7.694719314575195,0,0.0,
2002-03-26 00:00:00+00:00,8.125,8.125,8.125,7.814949035644531,240,0.0,
2002-03-27 00:00:00+00:00,8.25,8.25,8.25,7.935179710388184,40,0.0,
2002-03-28 00:00:00+00:00,8.25,8.25,8.25,7.935179710388184,0,0.0,
2002-04-01 00:00:00+00:00,8.25,8.375,8.25,8.05540943145752,800,0.0,
2002-04-02 00:00:00+00:00,9.0,9.0,9.0,8.656558990478516,80,0.0,
2002-04-03 00:00:00+00:00,9.0,9.0,9.0,8.656558990478516,0,0.0,
2002-04-04 00:00:00+00:00,9.0,9.0,7.875,7.574489593505859,400,0.0,
2002-04-05 00:00:00+00:00,7.875,7.875,7.875,7.574489593505859,0,0.0,
