date,SNDA_Open,SNDA_High,SNDA_Low,SNDA_Close,SNDA_Volume,SNDA_Dividends,SNDA_Stock Splits
1997-10-31 00:00:00+00:00,225.0,251.25,225.0,251.25,330727,,
1997-11-03 00:00:00+00:00,255.0,262.5,236.25,240.0,61913,,
1997-11-04 00:00:00+00:00,234.375,235.3125,229.6875,232.5,16947,,
1997-11-05 00:00:00+00:00,227.8125,234.375,225.9375,225.9375,19847,,
1997-11-06 00:00:00+00:00,227.8125,227.8125,212.8125,218.4375,16640,,
1997-11-07 00:00:00+00:00,212.8125,212.8125,206.25,212.8125,21493,,
1997-11-10 00:00:00+00:00,216.5625,221.25,210.0,210.9375,6687,,
1997-11-11 00:00:00+00:00,211.875,212.8125,209.0625,210.0,7200,,
1997-11-12 00:00:00+00:00,208.125,208.125,193.125,195.0,26833,,
1997-11-13 00:00:00+00:00,197.8125,206.25,197.8125,203.4375,15727,,
1997-11-14 00:00:00+00:00,201.5625,202.5,196.875,202.5,8527,,
1997-11-17 00:00:00+00:00,206.25,213.75,205.3125,208.125,13947,,
1997-11-18 00:00:00+00:00,209.0625,209.0625,201.5625,201.5625,4020,,
1997-11-19 00:00:00+00:00,203.4375,203.4375,195.9375,196.875,1233,,
1997-11-20 00:00:00+00:00,195.9375,195.9375,189.375,192.1875,2993,,
1997-11-21 00:00:00+00:00,192.1875,200.625,192.1875,200.625,10467,,
1997-11-24 00:00:00+00:00,197.8125,201.5625,190.3125,192.1875,3380,,
1997-11-25 00:00:00+00:00,193.125,195.9375,190.3125,195.9375,9207,,
1997-11-26 00:00:00+00:00,195.0,196.875,193.125,195.0,3293,,
1997-11-28 00:00:00+00:00,195.0,195.0,193.125,194.0625,1900,,
1997-12-01 00:00:00+00:00,192.1875,206.25,192.1875,206.25,6433,,
1997-12-02 00:00:00+00:00,206.25,207.1875,202.5,206.25,11533,,
1997-12-03 00:00:00+00:00,208.125,222.1875,208.125,217.5,9553,,
1997-12-04 00:00:00+00:00,219.375,219.375,211.875,216.5625,4987,,
1997-12-05 00:00:00+00:00,211.875,217.5,207.1875,215.625,2973,,
1997-12-08 00:00:00+00:00,214.6875,215.625,204.375,204.375,2473,,
1997-12-09 00:00:00+00:00,204.375,204.375,187.5,195.0,6867,,
1997-12-10 00:00:00+00:00,191.25,193.125,189.375,191.25,9027,,
1997-12-11 00:00:00+00:00,191.25,193.125,186.5625,189.375,1827,,
1997-12-12 00:00:00+00:00,193.125,198.75,190.3125,195.0,2533,,
1997-12-15 00:00:00+00:00,195.9375,195.9375,189.375,189.375,2607,,
1997-12-16 00:00:00+00:00,191.25,191.25,170.625,180.0,8500,,
1997-12-17 00:00:00+00:00,180.0,180.0,166.875,171.5625,4080,,
1997-12-18 00:00:00+00:00,167.8125,168.75,160.3125,161.25,5253,,
1997-12-19 00:00:00+00:00,159.375,159.375,147.1875,153.75,7340,,
1997-12-22 00:00:00+00:00,155.625,166.875,155.625,165.0,5627,,
1997-12-23 00:00:00+00:00,166.875,180.9375,165.0,172.5,10993,,
1997-12-24 00:00:00+00:00,172.5,172.5,168.75,169.6875,1247,,
1997-12-26 00:00:00+00:00,170.625,171.5625,164.0625,165.0,1547,,
1997-12-29 00:00:00+00:00,163.125,165.0,160.3125,161.25,8593,,
1997-12-30 00:00:00+00:00,159.375,159.375,150.0,150.0,4060,,
1997-12-31 00:00:00+00:00,152.8125,160.3125,151.875,156.5625,11967,,
1998-01-02 00:00:00+00:00,156.5625,157.5,155.625,157.5,1273,,
1998-01-05 00:00:00+00:00,157.5,159.375,150.9375,151.875,21673,,
1998-01-06 00:00:00+00:00,150.0,150.9375,148.125,148.125,3747,,
1998-01-07 00:00:00+00:00,148.125,151.875,129.375,150.0,108293,,
1998-01-08 00:00:00+00:00,148.125,159.375,148.125,159.375,11500,,
1998-01-09 00:00:00+00:00,159.375,163.125,153.75,156.5625,2313,,
1998-01-12 00:00:00+00:00,152.8125,153.75,150.0,150.0,1860,,
1998-01-13 00:00:00+00:00,149.0625,154.6875,149.0625,153.75,3020,,
1998-01-14 00:00:00+00:00,153.75,154.6875,151.875,154.6875,1933,,
1998-01-15 00:00:00+00:00,150.9375,163.125,150.9375,153.75,5707,,
1998-01-16 00:00:00+00:00,153.75,156.5625,153.75,156.5625,760,,
1998-01-20 00:00:00+00:00,160.3125,165.9375,158.4375,163.125,3607,,
1998-01-21 00:00:00+00:00,161.25,167.8125,161.25,166.875,3580,,
1998-01-22 00:00:00+00:00,168.75,168.75,163.125,165.0,2493,,
1998-01-23 00:00:00+00:00,166.875,170.625,165.0,170.625,4427,,
1998-01-26 00:00:00+00:00,172.5,172.5,165.0,167.8125,1167,,
1998-01-27 00:00:00+00:00,167.8125,167.8125,165.0,166.875,660,,
1998-01-28 00:00:00+00:00,168.75,168.75,165.0,165.9375,2920,,
1998-01-29 00:00:00+00:00,176.25,188.4375,175.3125,186.5625,13127,,
1998-01-30 00:00:00+00:00,189.375,189.375,179.0625,185.625,2113,,
1998-02-02 00:00:00+00:00,185.625,187.5,176.25,182.8125,6847,,
1998-02-03 00:00:00+00:00,184.6875,196.875,184.6875,196.875,6913,,
1998-02-04 00:00:00+00:00,197.8125,206.25,195.0,200.625,9460,,
1998-02-05 00:00:00+00:00,203.4375,203.4375,195.0,196.875,6400,,
1998-02-06 00:00:00+00:00,197.8125,197.8125,191.25,193.125,1033,,
1998-02-09 00:00:00+00:00,194.0625,195.0,188.4375,190.3125,2000,,
1998-02-10 00:00:00+00:00,195.9375,199.6875,195.0,197.8125,3633,,
