date,OTEX_Open,OTEX_High,OTEX_Low,OTEX_Close,OTEX_Volume,OTEX_Dividends,OTEX_Stock Splits
1996-01-24 00:00:00+00:00,3.21875,3.3125,2.65625,2.2267537117004395,37326400,0.0,
1996-01-25 00:00:00+00:00,2.777343988418579,2.8125,2.460937976837158,2.100234031677246,8926400,0.0,
1996-01-26 00:00:00+00:00,2.578125,2.59375,2.375,1.9673880338668823,3888000,0.0,
1996-01-29 00:00:00+00:00,2.40625,2.46875,2.1875,1.7965850830078125,3508000,0.0,
1996-01-30 00:00:00+00:00,2.28125,2.3125,2.1875,1.771281361579895,1336800,0.0,
1996-01-31 00:00:00+00:00,2.25,2.25,2.03125,1.6827168464660645,5098400,0.0,
1996-02-01 00:00:00+00:00,2.109375,2.453125,2.09375,1.923106074333191,3980000,0.0,
1996-02-02 00:00:00+00:00,2.40625,2.5,2.296875,1.8978012800216677,2717600,0.0,
1996-02-05 00:00:00+00:00,2.34375,2.375,2.203125,1.91045343875885,1120800,0.0,
1996-02-06 00:00:00+00:00,2.375,2.421875,2.304687976837158,1.935757279396057,980800,0.0,
1996-02-07 00:00:00+00:00,2.40625,2.40625,2.234375,1.8471930027008057,1250400,0.0,
1996-02-08 00:00:00+00:00,2.28125,2.296875,2.171875,1.7586299180984497,924000,0.0,
1996-02-09 00:00:00+00:00,2.171875,2.25,2.171875,1.8218896389007568,548800,0.0,
1996-02-12 00:00:00+00:00,2.265625,2.40625,2.261718988418579,1.8978012800216677,877600,0.0,
1996-02-13 00:00:00+00:00,2.28125,2.375,2.234375,1.859845757484436,538400,0.0,
1996-02-14 00:00:00+00:00,2.296875,2.328125,2.140625,1.771281361579895,1645600,0.0,
1996-02-15 00:00:00+00:00,2.1875,2.234375,2.140625,1.8092371225357056,1184800,0.0,
1996-02-16 00:00:00+00:00,2.234375,2.375,2.171875,1.8978012800216677,1216000,0.0,
1996-02-20 00:00:00+00:00,2.359375,2.5625,2.3125,2.0243215560913086,1771200,0.0,
1996-02-21 00:00:00+00:00,2.5,2.515625,2.4375,2.036973476409912,2142400,0.0,
1996-02-22 00:00:00+00:00,2.484375,2.515625,2.140625,1.8092371225357056,4717600,0.0,
1996-02-23 00:00:00+00:00,2.21875,2.265625,2.078125,1.7333251237869265,2965600,0.0,
1996-02-26 00:00:00+00:00,2.109375,2.109375,2.015625,1.6700655221939087,2172800,0.0,
1996-02-27 00:00:00+00:00,2.03125,2.078125,1.53125,1.429677128791809,8036000,0.0,
1996-02-28 00:00:00+00:00,1.890625,1.90625,1.5625,1.3158087730407717,3246400,0.0,
1996-02-29 00:00:00+00:00,1.609375,1.734375,1.5,1.2525489330291748,1889600,0.0,
