date,CHMG_Open,CHMG_High,CHMG_Low,CHMG_Close,CHMG_Volume,CHMG_Dividends,CHMG_Stock Splits
1999-01-04 00:00:00+00:00,27.5,28.875,27.5,12.48708152770996,5600,0.0,
1999-01-05 00:00:00+00:00,28.75,28.75,28.75,12.821553230285645,100,0.0,
1999-01-06 00:00:00+00:00,29.0,29.0,29.0,12.93304443359375,100,0.0,
1999-01-07 00:00:00+00:00,29.0,29.0,29.0,12.93304443359375,0,0.0,
1999-01-08 00:00:00+00:00,28.0,28.0,27.0,12.04111385345459,700,0.0,
1999-01-11 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,0,0.0,
1999-01-12 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,0,0.0,
1999-01-13 00:00:00+00:00,28.5,28.5,28.5,12.71006202697754,1000,0.0,
1999-01-14 00:00:00+00:00,28.5,28.5,28.5,12.71006202697754,0,0.0,
1999-01-15 00:00:00+00:00,28.5,28.5,28.5,12.71006202697754,0,0.0,
1999-01-19 00:00:00+00:00,27.5,27.5,27.5,12.2640962600708,200,0.0,
1999-01-20 00:00:00+00:00,27.5,27.5,27.5,12.2640962600708,0,0.0,
1999-01-21 00:00:00+00:00,27.625,27.625,27.5,12.2640962600708,700,0.0,
1999-01-22 00:00:00+00:00,27.5,27.5,27.5,12.2640962600708,1000,0.0,
1999-01-25 00:00:00+00:00,28.375,28.375,27.375,12.20835304260254,2800,0.0,
1999-01-26 00:00:00+00:00,27.375,27.375,27.375,12.20835304260254,0,0.0,
1999-01-27 00:00:00+00:00,27.0,27.0,26.5,11.929624557495115,5200,0.0,
1999-01-28 00:00:00+00:00,26.5,26.5,26.5,11.818133354187012,700,0.0,
1999-01-29 00:00:00+00:00,26.5,26.75,26.5,11.818133354187012,3300,0.0,
1999-02-01 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,500,0.0,
1999-02-02 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,0,0.0,
1999-02-03 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,0,0.0,
1999-02-04 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,0,0.0,
1999-02-05 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,0,0.0,
1999-02-08 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,0,0.0,
1999-02-09 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,300,0.0,
1999-02-10 00:00:00+00:00,26.5,26.5,26.5,11.818133354187012,1400,0.0,
1999-02-11 00:00:00+00:00,26.5,26.5,26.5,11.818133354187012,500,0.0,
1999-02-12 00:00:00+00:00,26.5,26.5,26.5,11.818133354187012,0,0.0,
1999-02-16 00:00:00+00:00,27.25,27.25,27.25,12.152609825134276,100,0.0,
1999-02-17 00:00:00+00:00,27.25,27.25,27.25,12.152609825134276,0,0.0,
1999-02-18 00:00:00+00:00,27.25,27.25,27.25,12.152609825134276,0,0.0,
1999-02-19 00:00:00+00:00,27.25,27.25,27.25,12.152609825134276,600,0.0,
1999-02-22 00:00:00+00:00,27.25,27.25,27.25,12.152609825134276,1300,0.0,
1999-02-23 00:00:00+00:00,27.25,27.25,27.25,12.152609825134276,0,0.0,
1999-02-24 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,800,0.0,
1999-02-25 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,0,0.0,
1999-02-26 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,400,0.0,
1999-03-01 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,0,0.0,
1999-03-02 00:00:00+00:00,27.25,27.25,27.25,12.152609825134276,800,0.0,
1999-03-03 00:00:00+00:00,26.875,26.875,26.875,11.98536205291748,1900,0.0,
1999-03-04 00:00:00+00:00,26.875,26.875,26.875,11.98536205291748,0,0.0,
1999-03-05 00:00:00+00:00,27.25,27.25,27.125,12.152609825134276,600,0.0,
1999-03-08 00:00:00+00:00,27.25,27.25,27.25,12.152609825134276,0,0.0,
1999-03-09 00:00:00+00:00,27.25,27.25,27.25,12.152609825134276,0,0.0,
1999-03-10 00:00:00+00:00,26.75,26.75,26.75,11.929624557495115,1400,0.0,
1999-03-11 00:00:00+00:00,26.75,26.75,26.75,11.929624557495115,0,0.0,
1999-03-12 00:00:00+00:00,26.75,26.75,26.75,11.929624557495115,0,0.0,
1999-03-15 00:00:00+00:00,26.75,26.75,26.75,11.929624557495115,0,0.0,
1999-03-16 00:00:00+00:00,26.75,26.75,26.75,11.929624557495115,300,0.0,
1999-03-17 00:00:00+00:00,26.75,26.75,26.75,11.929624557495115,0,0.0,
1999-03-18 00:00:00+00:00,27.0,27.0,27.0,12.04111385345459,400,0.0,
1999-03-19 00:00:00+00:00,26.75,26.75,26.75,11.929624557495115,2000,0.0,
1999-03-22 00:00:00+00:00,26.75,26.75,26.75,11.929624557495115,0,0.0,
1999-03-23 00:00:00+00:00,26.875,27.25,26.875,12.152609825134276,1800,0.0,
1999-03-24 00:00:00+00:00,27.25,27.25,27.25,12.152609825134276,0,0.0,
1999-03-25 00:00:00+00:00,27.25,27.25,27.25,12.152609825134276,0,0.0,
1999-03-26 00:00:00+00:00,27.25,27.25,27.25,12.152609825134276,0,0.0,
1999-03-29 00:00:00+00:00,26.875,26.875,26.875,11.98536205291748,200,0.0,
1999-03-30 00:00:00+00:00,26.875,26.875,26.875,11.98536205291748,0,0.0,
1999-03-31 00:00:00+00:00,26.875,26.875,26.5,11.818133354187012,2400,0.0,
1999-04-01 00:00:00+00:00,26.75,26.75,26.75,11.929624557495115,200,0.0,
1999-04-05 00:00:00+00:00,26.75,26.75,26.75,11.929624557495115,0,0.0,
1999-04-06 00:00:00+00:00,26.75,26.75,26.75,11.929624557495115,0,0.0,
1999-04-07 00:00:00+00:00,27.0,27.0,25.75,11.483650207519531,3800,0.0,
1999-04-08 00:00:00+00:00,25.75,25.75,25.75,11.483650207519531,0,0.0,
1999-04-09 00:00:00+00:00,26.125,26.125,26.125,11.65089511871338,200,0.0,
1999-04-12 00:00:00+00:00,25.5,26.75,25.5,11.929624557495115,300,0.0,
1999-04-13 00:00:00+00:00,26.25,26.25,25.5,11.372159004211426,300,0.0,
1999-04-14 00:00:00+00:00,25.5,25.5,25.25,11.26067066192627,4300,0.0,
1999-04-15 00:00:00+00:00,25.25,25.25,25.25,11.26067066192627,0,0.0,
1999-04-16 00:00:00+00:00,25.0,25.75,25.0,11.483650207519531,1000,0.0,
1999-04-19 00:00:00+00:00,25.75,25.75,25.75,11.483650207519531,0,0.0,
1999-04-20 00:00:00+00:00,25.75,25.75,25.75,11.483650207519531,100,0.0,
1999-04-21 00:00:00+00:00,25.75,26.0,25.625,11.595147132873535,1800,0.0,
1999-04-22 00:00:00+00:00,25.0,25.5,25.0,11.372159004211426,14600,0.0,
1999-04-23 00:00:00+00:00,25.5,25.75,25.5,11.483650207519531,600,0.0,
1999-04-26 00:00:00+00:00,26.0,26.25,26.0,11.706639289855955,1400,0.0,
1999-04-27 00:00:00+00:00,26.75,26.75,26.25,11.706639289855955,600,0.0,
1999-04-28 00:00:00+00:00,25.0,25.0,25.0,11.149181365966797,100,0.0,
1999-04-29 00:00:00+00:00,25.875,25.875,25.875,11.53940200805664,200,0.0,
1999-04-30 00:00:00+00:00,25.0,25.0,25.0,11.149181365966797,1000,0.0,
1999-05-03 00:00:00+00:00,25.125,25.125,24.75,11.037686347961426,400,0.0,
1999-05-04 00:00:00+00:00,25.0,25.5,24.75,11.037686347961426,1200,0.0,
1999-05-05 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,100,0.0,
1999-05-06 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,100,0.0,
1999-05-07 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,1200,0.0,
1999-05-10 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,0,0.0,
1999-05-11 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,0,0.0,
1999-05-12 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,0,0.0,
1999-05-13 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,100,0.0,
1999-05-14 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,100,0.0,
1999-05-17 00:00:00+00:00,25.0,25.0,25.0,11.149181365966797,1000,0.0,
1999-05-18 00:00:00+00:00,25.0,25.0,25.0,11.149181365966797,400,0.0,
1999-05-19 00:00:00+00:00,25.0,25.0,25.0,11.149181365966797,0,0.0,
1999-05-20 00:00:00+00:00,25.0,25.0,25.0,11.149181365966797,0,0.0,
1999-05-21 00:00:00+00:00,25.0,25.0,25.0,11.149181365966797,0,0.0,
1999-05-24 00:00:00+00:00,24.75,25.25,24.75,11.26067066192627,400,0.0,
1999-05-25 00:00:00+00:00,25.125,25.125,25.125,11.204923629760742,1200,0.0,
1999-05-26 00:00:00+00:00,25.125,25.125,25.125,11.204923629760742,0,0.0,
1999-05-27 00:00:00+00:00,25.125,25.125,25.125,11.204923629760742,0,0.0,
1999-05-28 00:00:00+00:00,25.125,25.125,25.125,11.204923629760742,0,0.0,
1999-06-01 00:00:00+00:00,25.125,25.125,25.125,11.204923629760742,0,0.0,
1999-06-02 00:00:00+00:00,25.125,25.125,25.125,11.204923629760742,0,0.0,
1999-06-03 00:00:00+00:00,25.125,25.125,25.125,11.204923629760742,0,0.0,
1999-06-04 00:00:00+00:00,25.25,25.25,25.25,11.26067066192627,200,0.0,
1999-06-07 00:00:00+00:00,24.75,25.0,24.75,11.037686347961426,4000,0.0,
1999-06-08 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,0,0.0,
1999-06-09 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,0,0.0,
1999-06-10 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,0,0.0,
1999-06-11 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,400,0.0,
1999-06-14 00:00:00+00:00,25.25,25.25,25.25,11.26067066192627,100,0.0,
1999-06-15 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,2500,0.0,
1999-06-16 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,0,0.0,
1999-06-17 00:00:00+00:00,24.75,24.75,24.75,11.037686347961426,0,0.0,
1999-06-18 00:00:00+00:00,24.75,24.75,24.625,10.981939315795898,400,0.0,
1999-06-21 00:00:00+00:00,24.25,24.5,24.0,10.92618465423584,1900,0.0,
1999-06-22 00:00:00+00:00,24.5,24.5,24.5,10.92618465423584,0,0.0,
1999-06-23 00:00:00+00:00,24.5,24.5,24.5,10.92618465423584,0,0.0,
1999-06-24 00:00:00+00:00,24.125,24.125,24.125,10.758959770202637,1200,0.0,
1999-06-25 00:00:00+00:00,24.5,24.5625,24.25,10.814702033996582,2600,0.0,
1999-06-28 00:00:00+00:00,24.25,24.25,24.25,10.814702033996582,0,0.0,
1999-06-29 00:00:00+00:00,24.25,24.25,24.25,10.814702033996582,0,0.0,
1999-06-30 00:00:00+00:00,24.25,24.25,24.25,10.814702033996582,0,0.0,
1999-07-01 00:00:00+00:00,24.375,24.5,24.0,10.758959770202637,8100,0.0,
1999-07-02 00:00:00+00:00,24.0,24.1875,24.0,10.78682804107666,5200,0.0,
1999-07-06 00:00:00+00:00,24.375,24.375,24.375,10.87044906616211,400,0.0,
1999-07-07 00:00:00+00:00,24.125,24.125,24.125,10.758959770202637,400,0.0,
1999-07-08 00:00:00+00:00,24.125,24.125,24.125,10.758959770202637,0,0.0,
1999-07-09 00:00:00+00:00,24.0,24.375,24.0,10.87044906616211,1500,0.0,
1999-07-12 00:00:00+00:00,24.375,24.375,24.125,10.758959770202637,600,0.0,
1999-07-13 00:00:00+00:00,24.375,24.375,24.0,10.87044906616211,600,0.0,
1999-07-14 00:00:00+00:00,24.375,24.375,24.375,10.87044906616211,800,0.0,
1999-07-15 00:00:00+00:00,24.25,24.375,24.25,10.87044906616211,7300,0.0,
1999-07-16 00:00:00+00:00,24.875,25.0,24.625,11.149181365966797,1700,0.0,
1999-07-19 00:00:00+00:00,25.0,25.0,25.0,11.149181365966797,0,0.0,
1999-07-20 00:00:00+00:00,25.0,25.0,25.0,11.149181365966797,0,0.0,
1999-07-21 00:00:00+00:00,24.875,24.875,24.875,11.093432426452637,1400,0.0,
1999-07-22 00:00:00+00:00,25.875,25.875,25.875,11.53940200805664,100,0.0,
1999-07-23 00:00:00+00:00,25.875,25.875,25.875,11.53940200805664,0,0.0,
1999-07-26 00:00:00+00:00,24.625,24.625,24.625,10.981939315795898,400,0.0,
1999-07-27 00:00:00+00:00,24.625,24.625,24.625,10.981939315795898,2100,0.0,
1999-07-28 00:00:00+00:00,24.875,24.875,24.75,11.037686347961426,2500,0.0,
1999-07-29 00:00:00+00:00,25.25,25.25,25.25,11.26067066192627,100,0.0,
1999-07-30 00:00:00+00:00,25.25,25.25,25.25,11.26067066192627,0,0.0,
1999-08-02 00:00:00+00:00,25.25,25.25,25.25,11.26067066192627,0,0.0,
