date,PSCM_Open,PSCM_High,PSCM_Low,PSCM_Close,PSCM_Volume,PSCM_Dividends,PSCM_Stock Splits
2010-04-07 00:00:00+00:00,25.700000762939453,26.01000022888184,25.700000762939453,22.335384368896484,3600,0.0,
2010-04-08 00:00:00+00:00,25.5,25.59000015258789,25.5,22.231130599975582,1500,0.0,
2010-04-09 00:00:00+00:00,25.649999618530277,25.649999618530277,25.649999618530277,22.283260345458984,300,0.0,
2010-04-12 00:00:00+00:00,25.809999465942383,25.850000381469727,25.809999465942383,22.43094253540039,1800,0.0,
2010-04-13 00:00:00+00:00,25.729999542236328,25.729999542236328,25.71999931335449,22.34406852722168,400,0.0,
2010-04-14 00:00:00+00:00,25.71999931335449,25.71999931335449,25.71999931335449,22.34406852722168,0,0.0,
2010-04-15 00:00:00+00:00,25.71999931335449,25.71999931335449,25.71999931335449,22.34406852722168,0,0.0,
2010-04-16 00:00:00+00:00,26.46999931335449,26.46999931335449,25.920000076293945,22.517824172973636,1400,0.0,
2010-04-19 00:00:00+00:00,25.899999618530277,25.899999618530277,25.450000762939453,22.352760314941406,800,0.0,
2010-04-20 00:00:00+00:00,26.06999969482422,26.280000686645508,26.030000686645508,22.821882247924805,7300,0.0,
2010-04-21 00:00:00+00:00,26.350000381469727,26.530000686645508,26.290000915527344,23.047752380371094,4100,0.0,
2010-04-22 00:00:00+00:00,26.36000061035156,26.899999618530277,26.290000915527344,23.36919212341309,2400,0.0,
2010-04-23 00:00:00+00:00,27.350000381469727,27.3700008392334,27.350000381469727,23.76012420654297,500,0.0,
2010-04-26 00:00:00+00:00,27.549999237060547,27.600000381469727,27.450000762939453,23.846996307373047,2300,0.0,
2010-04-27 00:00:00+00:00,27.149999618530277,27.149999618530277,26.350000381469727,22.891387939453125,11200,0.0,
2010-04-28 00:00:00+00:00,26.530000686645508,26.780000686645508,26.530000686645508,23.12594223022461,2400,0.0,
