date,FORR_Open,FORR_High,FORR_Low,FORR_Close,FORR_Volume,FORR_Dividends,FORR_Stock Splits
1996-11-27 00:00:00+00:00,10.875,11.1875,10.5,8.85376262664795,4362800,0.0,
1996-11-29 00:00:00+00:00,11.0,11.0,10.625,8.602235794067383,298400,0.0,
1996-12-02 00:00:00+00:00,10.625,10.875,9.8125,8.3507080078125,487200,0.0,
1996-12-03 00:00:00+00:00,10.375,10.625,10.25,8.451318740844727,211000,0.0,
1996-12-04 00:00:00+00:00,10.4375,10.875,10.25,8.40101432800293,325400,0.0,
1996-12-05 00:00:00+00:00,10.6875,11.1875,10.4375,8.85376262664795,273800,0.0,
1996-12-06 00:00:00+00:00,10.6875,10.9375,10.375,8.70284652709961,316800,0.0,
1996-12-09 00:00:00+00:00,10.875,11.6875,10.8125,9.306511878967283,217000,0.0,
1996-12-10 00:00:00+00:00,11.625,12.0625,11.625,9.658647537231444,321200,0.0,
1996-12-11 00:00:00+00:00,11.8125,12.1875,11.625,9.809569358825684,140600,0.0,
1996-12-12 00:00:00+00:00,12.1875,13.625,12.0,10.312618255615234,361400,0.0,
1996-12-13 00:00:00+00:00,12.8125,12.8125,12.25,9.859871864318848,222400,0.0,
1996-12-16 00:00:00+00:00,12.1875,12.3125,11.5625,9.356816291809082,118200,0.0,
1996-12-17 00:00:00+00:00,11.3125,11.5,10.5625,8.803455352783203,189000,0.0,
1996-12-18 00:00:00+00:00,11.0625,11.8125,11.0625,9.356816291809082,183800,0.0,
1996-12-19 00:00:00+00:00,11.8125,11.8125,11.5,9.356816291809082,44600,0.0,
1996-12-20 00:00:00+00:00,11.6875,11.6875,11.375,9.155595779418944,97000,0.0,
1996-12-23 00:00:00+00:00,11.5,11.625,10.625,8.55193042755127,62600,0.0,
1996-12-24 00:00:00+00:00,10.8125,11.125,10.75,8.954374313354492,98600,0.0,
1996-12-26 00:00:00+00:00,11.0,11.125,10.6875,8.753153800964355,64200,0.0,
1996-12-27 00:00:00+00:00,11.125,11.5,11.0,9.256207466125488,52600,0.0,
1996-12-30 00:00:00+00:00,11.5,12.4375,11.4375,9.960484504699709,132000,0.0,
1996-12-31 00:00:00+00:00,12.625,13.1875,12.625,10.362929344177246,67400,0.0,
1997-01-02 00:00:00+00:00,12.875,12.9375,12.375,10.111397743225098,113200,0.0,
1997-01-03 00:00:00+00:00,12.5,13.875,12.5,11.167818069458008,53400,0.0,
1997-01-06 00:00:00+00:00,14.125,14.125,13.4375,10.815675735473633,180800,0.0,
1997-01-07 00:00:00+00:00,13.5,14.5625,13.25,11.519954681396484,183400,0.0,
1997-01-08 00:00:00+00:00,14.1875,14.4375,14.1875,11.620566368103027,119800,0.0,
1997-01-09 00:00:00+00:00,14.4375,14.4375,14.1875,11.419340133666992,67800,0.0,
1997-01-10 00:00:00+00:00,14.1875,14.25,13.75,11.268424987792969,69400,0.0,
1997-01-13 00:00:00+00:00,13.75,14.0,13.5625,11.0672025680542,24200,0.0,
1997-01-14 00:00:00+00:00,13.5625,13.8125,13.375,10.765371322631836,70200,0.0,
1997-01-15 00:00:00+00:00,13.375,13.5625,13.125,10.765371322631836,147400,0.0,
1997-01-16 00:00:00+00:00,13.375,13.625,12.9375,10.41323184967041,57000,0.0,
1997-01-17 00:00:00+00:00,12.9375,13.125,12.8125,10.312618255615234,73800,0.0,
1997-01-20 00:00:00+00:00,13.0,13.0,12.75,10.312618255615234,9000,0.0,
1997-01-21 00:00:00+00:00,12.75,13.0,12.5,10.212011337280272,56400,0.0,
1997-01-22 00:00:00+00:00,12.75,13.375,12.5,10.765371322631836,47400,0.0,
1997-01-23 00:00:00+00:00,13.4375,13.75,13.1875,10.614457130432127,126600,0.0,
1997-01-24 00:00:00+00:00,13.0625,13.0625,13.0625,10.513843536376951,3200,0.0,
1997-01-27 00:00:00+00:00,13.1875,13.1875,13.0625,10.56414794921875,78000,0.0,
1997-01-28 00:00:00+00:00,13.3125,13.4375,13.25,10.765371322631836,83600,0.0,
1997-01-29 00:00:00+00:00,13.4375,13.4375,13.375,10.815675735473633,13200,0.0,
1997-01-30 00:00:00+00:00,13.4375,13.4375,13.1875,10.815675735473633,8200,0.0,
1997-01-31 00:00:00+00:00,13.1875,13.4375,13.0,10.56414794921875,15600,0.0,
1997-02-03 00:00:00+00:00,13.125,13.125,12.375,9.960484504699709,27400,0.0,
1997-02-04 00:00:00+00:00,12.375,12.5,12.375,9.960484504699709,83200,0.0,
1997-02-05 00:00:00+00:00,12.375,12.5625,12.375,9.960484504699709,13800,0.0,
1997-02-06 00:00:00+00:00,12.375,12.5625,12.375,9.960484504699709,6400,0.0,
1997-02-07 00:00:00+00:00,12.375,12.5,12.375,9.960484504699709,32200,0.0,
1997-02-10 00:00:00+00:00,12.5,12.5625,11.75,9.457427978515623,26000,0.0,
1997-02-11 00:00:00+00:00,11.75,11.875,11.75,9.55803680419922,14800,0.0,
1997-02-12 00:00:00+00:00,11.75,11.75,10.875,8.85376262664795,133800,0.0,
1997-02-13 00:00:00+00:00,11.0,11.0,10.9375,8.803455352783203,10000,0.0,
1997-02-14 00:00:00+00:00,11.0,11.0,10.9375,8.803455352783203,14800,0.0,
1997-02-18 00:00:00+00:00,11.0,11.0,10.75,8.85376262664795,118800,0.0,
1997-02-19 00:00:00+00:00,11.0,11.0,10.8125,8.803455352783203,361800,0.0,
1997-02-20 00:00:00+00:00,11.0,11.0,10.75,8.803455352783203,8400,0.0,
1997-02-21 00:00:00+00:00,10.875,10.875,9.25,7.445208549499512,90800,0.0,
1997-02-24 00:00:00+00:00,9.8125,10.125,9.4375,8.099180221557617,383600,0.0,
1997-02-25 00:00:00+00:00,10.0625,10.0625,9.4375,7.596128940582275,660200,0.0,
1997-02-26 00:00:00+00:00,9.75,9.8125,9.4375,7.897957801818848,90800,0.0,
1997-02-27 00:00:00+00:00,9.4375,9.5,9.4375,7.646432399749756,30800,0.0,
1997-02-28 00:00:00+00:00,9.5,9.5,9.125,7.344598293304443,34600,0.0,
1997-03-03 00:00:00+00:00,9.375,9.375,9.0,7.2942938804626465,228600,0.0,
1997-03-04 00:00:00+00:00,9.0,9.125,9.0,7.344598293304443,443000,0.0,
1997-03-05 00:00:00+00:00,9.125,9.375,9.0,7.545822143554687,47400,0.0,
1997-03-06 00:00:00+00:00,9.375,10.6875,9.0,8.250096321105957,71200,0.0,
1997-03-07 00:00:00+00:00,10.25,11.1875,10.25,9.004677772521973,38000,0.0,
1997-03-10 00:00:00+00:00,11.25,11.25,10.875,9.05498504638672,4000,0.0,
1997-03-11 00:00:00+00:00,10.875,11.25,10.875,8.753153800964355,10800,0.0,
1997-03-12 00:00:00+00:00,10.875,10.875,10.6875,8.602235794067383,4600,0.0,
1997-03-13 00:00:00+00:00,10.6875,11.0,10.6875,8.85376262664795,3600,0.0,
