date,NCTY_Open,NCTY_High,NCTY_Low,NCTY_Close,NCTY_Volume,NCTY_Dividends,NCTY_Stock Splits
2004-12-15 00:00:00+00:00,5715.0,6378.0,5247.0,5862.9375,27490,0.0,
2004-12-16 00:00:00+00:00,6732.0,7158.0,6300.0,6214.7138671875,6394,0.0,
2004-12-17 00:00:00+00:00,6840.0,7170.0,6780.0,6558.11474609375,2216,0.0,
2004-12-20 00:00:00+00:00,7398.0,7575.0,6852.0,6393.39404296875,2161,0.0,
2004-12-21 00:00:00+00:00,6933.0,7077.0,6330.0,6058.36865234375,1794,0.0,
2004-12-22 00:00:00+00:00,6378.0,6690.0,6378.0,6002.53125,737,0.0,
2004-12-23 00:00:00+00:00,6600.0,6600.0,6210.0,5974.61279296875,911,0.0,
2004-12-27 00:00:00+00:00,6363.0,6525.0,6363.0,5935.5263671875,425,0.0,
2004-12-28 00:00:00+00:00,6375.0,6462.0,6351.0,5932.734375,438,0.0,
2004-12-29 00:00:00+00:00,6375.0,7197.0,6375.0,6588.8251953125,1557,0.0,
2004-12-30 00:00:00+00:00,7068.0,7350.0,6966.0,6728.4189453125,1292,0.0,
2004-12-31 00:00:00+00:00,7167.0,7275.0,6984.0,6594.40869140625,498,0.0,
2005-01-03 00:00:00+00:00,7233.0,7233.0,6678.0,6281.71875,812,0.0,
2005-01-04 00:00:00+00:00,6930.0,6930.0,6225.0,5943.90185546875,1487,0.0,
2005-01-05 00:00:00+00:00,6267.0,6420.0,6240.0,5904.81591796875,386,0.0,
2005-01-06 00:00:00+00:00,6360.0,6471.0,6120.0,5751.2626953125,241,0.0,
2005-01-07 00:00:00+00:00,6114.0,6237.0,5940.0,5723.34375,1364,0.0,
2005-01-10 00:00:00+00:00,6300.0,6507.0,6063.0,5996.94775390625,339,0.0,
2005-01-11 00:00:00+00:00,6450.0,6525.0,6165.0,5837.810546875,300,0.0,
2005-01-12 00:00:00+00:00,6240.0,6300.0,5970.0,5583.75,1380,0.0,
2005-01-13 00:00:00+00:00,6000.0,6240.0,6000.0,5625.62841796875,169,0.0,
2005-01-14 00:00:00+00:00,6090.0,6192.0,6060.0,5667.50634765625,376,0.0,
2005-01-18 00:00:00+00:00,6060.0,6159.0,5973.0,5653.546875,1024,0.0,
2005-01-19 00:00:00+00:00,6030.0,6051.0,5808.0,5416.23779296875,893,0.0,
