date,VXRT_Open,VXRT_High,VXRT_Low,VXRT_Close,VXRT_Volume,VXRT_Dividends,VXRT_Stock Splits
1981-12-11 00:00:00+00:00,0.0,140.25,115.5,103.65055847167967,11,0.0,
1981-12-14 00:00:00+00:00,0.0,123.75,99.0,88.84333038330078,71,0.0,
1981-12-15 00:00:00+00:00,0.0,115.5,99.0,88.84333038330078,24,0.0,
1981-12-16 00:00:00+00:00,0.0,115.5,99.0,88.84333038330078,58,0.0,
1981-12-17 00:00:00+00:00,0.0,107.25,82.5,74.0361099243164,23,0.0,
1981-12-18 00:00:00+00:00,0.0,107.25,90.75,81.4397201538086,65,0.0,
1981-12-21 00:00:00+00:00,0.0,115.5,90.75,81.4397201538086,29,0.0,
1981-12-22 00:00:00+00:00,0.0,115.5,90.75,81.4397201538086,30,0.0,
1981-12-23 00:00:00+00:00,0.0,99.0,90.75,81.4397201538086,53,0.0,
1981-12-24 00:00:00+00:00,0.0,99.0,90.75,81.4397201538086,9,0.0,
1981-12-28 00:00:00+00:00,0.0,99.0,90.75,81.4397201538086,12,0.0,
1981-12-29 00:00:00+00:00,0.0,99.0,82.5,74.0361099243164,29,0.0,
1981-12-30 00:00:00+00:00,0.0,99.0,90.75,81.4397201538086,24,0.0,
1981-12-31 00:00:00+00:00,0.0,99.0,90.75,81.4397201538086,106,0.0,
1982-01-04 00:00:00+00:00,90.75,90.75,90.75,81.4397201538086,0,0.0,
1982-01-05 00:00:00+00:00,90.75,90.75,90.75,81.4397201538086,0,0.0,
1982-01-06 00:00:00+00:00,0.0,99.0,82.5,74.0361099243164,15,0.0,
1982-01-07 00:00:00+00:00,0.0,99.0,82.5,74.0361099243164,8,0.0,
1982-01-08 00:00:00+00:00,82.5,82.5,82.5,74.0361099243164,0,0.0,
1982-01-11 00:00:00+00:00,82.5,82.5,82.5,74.0361099243164,0,0.0,
1982-01-12 00:00:00+00:00,0.0,99.0,82.5,74.0361099243164,5,0.0,
1982-01-13 00:00:00+00:00,82.5,82.5,82.5,74.0361099243164,0,0.0,
1982-01-14 00:00:00+00:00,0.0,99.0,82.5,74.0361099243164,17,0.0,
1982-01-15 00:00:00+00:00,0.0,99.0,82.5,74.0361099243164,82,0.0,
1982-01-18 00:00:00+00:00,0.0,99.0,82.5,74.0361099243164,8,0.0,
1982-01-19 00:00:00+00:00,0.0,99.0,82.5,74.0361099243164,168,0.0,
1982-01-20 00:00:00+00:00,0.0,99.0,82.5,74.0361099243164,455,0.0,
1982-01-21 00:00:00+00:00,0.0,132.0,107.25,96.2469482421875,433,0.0,
1982-01-22 00:00:00+00:00,0.0,132.0,107.25,96.2469482421875,5,0.0,
1982-01-25 00:00:00+00:00,0.0,132.0,107.25,96.2469482421875,15,0.0,
1982-01-26 00:00:00+00:00,0.0,132.0,107.25,96.2469482421875,2,0.0,
1982-01-27 00:00:00+00:00,0.0,132.0,115.5,103.65055847167967,8,0.0,
1982-01-28 00:00:00+00:00,115.5,115.5,115.5,103.65055847167967,0,0.0,
1982-01-29 00:00:00+00:00,0.0,156.75,132.0,118.45777893066406,79,0.0,
1982-02-01 00:00:00+00:00,0.0,148.5,132.0,118.45777893066406,23,0.0,
1982-02-02 00:00:00+00:00,0.0,148.5,132.0,118.45777893066406,38,0.0,
1982-02-03 00:00:00+00:00,0.0,140.25,123.75,111.05416870117188,8,0.0,
1982-02-04 00:00:00+00:00,0.0,140.25,132.0,118.45777893066406,102,0.0,
1982-02-05 00:00:00+00:00,0.0,140.25,123.75,111.05416870117188,68,0.0,
1982-02-08 00:00:00+00:00,123.75,123.75,123.75,111.05416870117188,0,0.0,
1982-02-09 00:00:00+00:00,123.75,123.75,123.75,111.05416870117188,0,0.0,
1982-02-10 00:00:00+00:00,0.0,140.25,123.75,111.05416870117188,3,0.0,
1982-02-11 00:00:00+00:00,0.0,140.25,123.75,111.05416870117188,306,0.0,
1982-02-12 00:00:00+00:00,0.0,132.0,123.75,111.05416870117188,26,0.0,
1982-02-16 00:00:00+00:00,0.0,132.0,123.75,111.05416870117188,26,0.0,
1982-02-17 00:00:00+00:00,0.0,132.0,115.5,103.65055847167967,33,0.0,
1982-02-18 00:00:00+00:00,0.0,132.0,115.5,103.65055847167967,26,0.0,
1982-02-19 00:00:00+00:00,0.0,132.0,115.5,103.65055847167967,91,0.0,
1982-02-22 00:00:00+00:00,0.0,123.75,115.5,103.65055847167967,41,0.0,
1982-02-23 00:00:00+00:00,0.0,123.75,107.25,96.2469482421875,56,0.0,
1982-02-24 00:00:00+00:00,0.0,115.5,99.0,88.84333038330078,3,0.0,
1982-02-25 00:00:00+00:00,0.0,107.25,99.0,88.84333038330078,29,0.0,
1982-02-26 00:00:00+00:00,0.0,107.25,99.0,88.84333038330078,15,0.0,
1982-03-01 00:00:00+00:00,0.0,107.25,99.0,88.84333038330078,23,0.0,
1982-03-02 00:00:00+00:00,0.0,115.5,99.0,88.84333038330078,53,0.0,
1982-03-03 00:00:00+00:00,0.0,115.5,99.0,88.84333038330078,3,0.0,
1982-03-04 00:00:00+00:00,0.0,115.5,99.0,88.84333038330078,3,0.0,
1982-03-05 00:00:00+00:00,99.0,99.0,99.0,88.84333038330078,0,0.0,
1982-03-08 00:00:00+00:00,0.0,107.25,99.0,88.84333038330078,33,0.0,
1982-03-09 00:00:00+00:00,0.0,107.25,99.0,88.84333038330078,68,0.0,
1982-03-10 00:00:00+00:00,0.0,107.25,99.0,88.84333038330078,91,0.0,
1982-03-11 00:00:00+00:00,0.0,115.5,99.0,88.84333038330078,121,0.0,
1982-03-12 00:00:00+00:00,0.0,115.5,99.0,88.84333038330078,229,0.0,
1982-03-15 00:00:00+00:00,0.0,123.75,107.25,96.2469482421875,79,0.0,
1982-03-16 00:00:00+00:00,0.0,132.0,115.5,103.65055847167967,30,0.0,
1982-03-17 00:00:00+00:00,0.0,140.25,115.5,103.65055847167967,318,0.0,
1982-03-18 00:00:00+00:00,0.0,140.25,115.5,103.65055847167967,11,0.0,
1982-03-19 00:00:00+00:00,0.0,140.25,115.5,103.65055847167967,18,0.0,
1982-03-22 00:00:00+00:00,115.5,115.5,115.5,103.65055847167967,0,0.0,
1982-03-23 00:00:00+00:00,0.0,140.25,123.75,111.05416870117188,91,0.0,
1982-03-24 00:00:00+00:00,0.0,140.25,123.75,111.05416870117188,18,0.0,
1982-03-25 00:00:00+00:00,0.0,140.25,123.75,111.05416870117188,3,0.0,
1982-03-26 00:00:00+00:00,0.0,140.25,123.75,111.05416870117188,6,0.0,
1982-03-29 00:00:00+00:00,0.0,140.25,123.75,111.05416870117188,8,0.0,
1982-03-30 00:00:00+00:00,0.0,140.25,123.75,111.05416870117188,2,0.0,
1982-03-31 00:00:00+00:00,123.75,123.75,123.75,111.05416870117188,0,0.0,
1982-04-01 00:00:00+00:00,0.0,140.25,123.75,111.05416870117188,8,0.0,
1982-04-02 00:00:00+00:00,0.0,132.0,123.75,111.05416870117188,18,0.0,
1982-04-05 00:00:00+00:00,0.0,132.0,123.75,111.05416870117188,94,0.0,
1982-04-06 00:00:00+00:00,0.0,132.0,123.75,111.05416870117188,102,0.0,
1982-04-07 00:00:00+00:00,0.0,132.0,123.75,111.05416870117188,15,0.0,
1982-04-08 00:00:00+00:00,0.0,148.5,132.0,118.45777893066406,339,0.0,
1982-04-12 00:00:00+00:00,0.0,140.25,132.0,118.45777893066406,55,0.0,
1982-04-13 00:00:00+00:00,0.0,148.5,132.0,118.45777893066406,38,0.0,
1982-04-14 00:00:00+00:00,0.0,156.75,140.25,125.86138916015624,167,0.0,
1982-04-15 00:00:00+00:00,0.0,165.0,140.25,125.86138916015624,111,0.0,
1982-04-16 00:00:00+00:00,0.0,173.25,156.75,140.66860961914062,121,0.0,
1982-04-19 00:00:00+00:00,0.0,173.25,156.75,140.66860961914062,67,0.0,
1982-04-20 00:00:00+00:00,0.0,173.25,156.75,140.66860961914062,83,0.0,
1982-04-21 00:00:00+00:00,0.0,165.0,156.75,140.66860961914062,39,0.0,
1982-04-22 00:00:00+00:00,156.75,156.75,156.75,140.66860961914062,0,0.0,
1982-04-23 00:00:00+00:00,0.0,165.0,156.75,140.66860961914062,15,0.0,
1982-04-26 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,26,0.0,
1982-04-27 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,91,0.0,
1982-04-28 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,30,0.0,
1982-04-29 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,83,0.0,
1982-04-30 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,600,0.0,
1982-05-03 00:00:00+00:00,0.0,173.25,156.75,140.66860961914062,20,0.0,
1982-05-04 00:00:00+00:00,156.75,156.75,156.75,140.66860961914062,0,0.0,
1982-05-05 00:00:00+00:00,156.75,156.75,156.75,140.66860961914062,0,0.0,
1982-05-06 00:00:00+00:00,0.0,165.0,156.75,140.66860961914062,6,0.0,
1982-05-07 00:00:00+00:00,0.0,148.5,123.75,111.05416870117188,148,0.0,
1982-05-10 00:00:00+00:00,0.0,148.5,132.0,118.45777893066406,2,0.0,
1982-05-11 00:00:00+00:00,0.0,156.75,140.25,125.86138916015624,112,0.0,
1982-05-12 00:00:00+00:00,0.0,165.0,156.75,140.66860961914062,85,0.0,
1982-05-13 00:00:00+00:00,0.0,165.0,156.75,140.66860961914062,23,0.0,
1982-05-14 00:00:00+00:00,0.0,173.25,156.75,140.66860961914062,35,0.0,
1982-05-17 00:00:00+00:00,0.0,173.25,156.75,140.66860961914062,5,0.0,
1982-05-18 00:00:00+00:00,0.0,173.25,156.75,140.66860961914062,9,0.0,
1982-05-19 00:00:00+00:00,0.0,173.25,148.5,133.26499938964844,15,0.0,
1982-05-20 00:00:00+00:00,148.5,148.5,148.5,133.26499938964844,0,0.0,
1982-05-21 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,5,0.0,
1982-05-24 00:00:00+00:00,148.5,148.5,148.5,133.26499938964844,0,0.0,
1982-05-25 00:00:00+00:00,148.5,148.5,148.5,133.26499938964844,0,0.0,
1982-05-26 00:00:00+00:00,148.5,148.5,148.5,133.26499938964844,0,0.0,
1982-05-27 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,30,0.0,
1982-05-28 00:00:00+00:00,148.5,148.5,148.5,133.26499938964844,0,0.0,
1982-06-01 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,41,0.0,
1982-06-02 00:00:00+00:00,0.0,165.0,156.75,140.66860961914062,76,0.0,
1982-06-03 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,167,0.0,
1982-06-04 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,36,0.0,
1982-06-07 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,15,0.0,
1982-06-08 00:00:00+00:00,148.5,148.5,148.5,133.26499938964844,0,0.0,
1982-06-09 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,159,0.0,
1982-06-10 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,76,0.0,
1982-06-11 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,15,0.0,
1982-06-14 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,55,0.0,
1982-06-15 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,9,0.0,
1982-06-16 00:00:00+00:00,148.5,148.5,148.5,133.26499938964844,0,0.0,
1982-06-17 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,23,0.0,
1982-06-18 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,38,0.0,
1982-06-21 00:00:00+00:00,148.5,148.5,148.5,133.26499938964844,0,0.0,
1982-06-22 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,12,0.0,
1982-06-23 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,212,0.0,
1982-06-24 00:00:00+00:00,148.5,148.5,148.5,133.26499938964844,0,0.0,
1982-06-25 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,3,0.0,
1982-06-28 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,3,0.0,
1982-06-29 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,11,0.0,
1982-06-30 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,14,0.0,
1982-07-01 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,98,0.0,
1982-07-02 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,15,0.0,
1982-07-06 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,8,0.0,
1982-07-07 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,8,0.0,
1982-07-08 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,217,0.0,
1982-07-09 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,88,0.0,
1982-07-12 00:00:00+00:00,148.5,148.5,148.5,133.26499938964844,0,0.0,
1982-07-13 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,41,0.0,
1982-07-14 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,109,0.0,
1982-07-15 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,3,0.0,
1982-07-16 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,2,0.0,
1982-07-19 00:00:00+00:00,148.5,148.5,148.5,133.26499938964844,0,0.0,
1982-07-20 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,311,0.0,
1982-07-21 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,111,0.0,
1982-07-22 00:00:00+00:00,148.5,148.5,148.5,133.26499938964844,0,0.0,
1982-07-23 00:00:00+00:00,0.0,165.0,156.75,140.66860961914062,83,0.0,
1982-07-26 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,55,0.0,
1982-07-27 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,59,0.0,
1982-07-28 00:00:00+00:00,0.0,165.0,148.5,133.26499938964844,39,0.0,
1982-07-29 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,68,0.0,
1982-07-30 00:00:00+00:00,0.0,156.75,148.5,133.26499938964844,24,0.0,
1982-08-02 00:00:00+00:00,0.0,148.5,140.25,125.86138916015624,26,0.0,
1982-08-03 00:00:00+00:00,0.0,148.5,140.25,125.86138916015624,30,0.0,
1982-08-04 00:00:00+00:00,140.25,140.25,140.25,125.86138916015624,0,0.0,
1982-08-05 00:00:00+00:00,0.0,148.5,140.25,125.86138916015624,92,0.0,
1982-08-06 00:00:00+00:00,0.0,148.5,123.75,111.05416870117188,71,0.0,
1982-08-09 00:00:00+00:00,0.0,132.0,123.75,111.05416870117188,15,0.0,
1982-08-10 00:00:00+00:00,0.0,132.0,123.75,111.05416870117188,18,0.0,
1982-08-11 00:00:00+00:00,123.75,123.75,123.75,111.05416870117188,0,0.0,
1982-08-12 00:00:00+00:00,0.0,132.0,115.5,103.65055847167967,8,0.0,
1982-08-13 00:00:00+00:00,0.0,132.0,115.5,103.65055847167967,76,0.0,
1982-08-16 00:00:00+00:00,0.0,132.0,115.5,103.65055847167967,68,0.0,
1982-08-17 00:00:00+00:00,0.0,123.75,107.25,96.2469482421875,91,0.0,
1982-08-18 00:00:00+00:00,107.25,107.25,107.25,96.2469482421875,0,0.0,
1982-08-19 00:00:00+00:00,0.0,132.0,107.25,96.2469482421875,17,0.0,
1982-08-20 00:00:00+00:00,0.0,123.75,107.25,96.2469482421875,30,0.0,
1982-08-23 00:00:00+00:00,0.0,123.75,107.25,96.2469482421875,15,0.0,
1982-08-24 00:00:00+00:00,0.0,123.75,107.25,96.2469482421875,74,0.0,
1982-08-25 00:00:00+00:00,0.0,123.75,107.25,96.2469482421875,18,0.0,
1982-08-26 00:00:00+00:00,0.0,123.75,115.5,103.65055847167967,15,0.0,
