date,NICE_Open,NICE_High,NICE_Low,NICE_Close,NICE_Volume,NICE_Dividends,NICE_Stock Splits
1996-01-25 00:00:00+00:00,5.0625,5.25,4.96875,4.7506937980651855,2590400,0.0,
1996-01-26 00:00:00+00:00,5.125,5.125,5.0,4.7506937980651855,270800,0.0,
1996-01-29 00:00:00+00:00,5.0,5.125,5.0,4.7506937980651855,255000,0.0,
1996-01-30 00:00:00+00:00,5.125,5.125,5.0,4.780386447906494,31600,0.0,
1996-01-31 00:00:00+00:00,5.0,5.367187976837158,5.0,4.928845405578613,596000,0.0,
1996-02-01 00:00:00+00:00,5.3125,5.3125,5.1875,4.928845405578613,96800,0.0,
1996-02-02 00:00:00+00:00,5.1875,5.25,5.125,4.988228797912598,241200,0.0,
1996-02-05 00:00:00+00:00,5.25,5.25,5.0625,4.958537578582764,88400,0.0,
1996-02-06 00:00:00+00:00,5.25,5.25,5.0625,4.8694610595703125,174400,0.0,
1996-02-07 00:00:00+00:00,5.0625,5.1875,5.0625,4.810077667236328,269800,0.0,
1996-02-08 00:00:00+00:00,5.1875,5.1875,5.0625,4.810077667236328,443600,0.0,
1996-02-09 00:00:00+00:00,5.0625,5.1875,5.0625,4.928845405578613,42200,0.0,
1996-02-12 00:00:00+00:00,5.125,5.3125,5.125,4.928845405578613,326600,0.0,
1996-02-13 00:00:00+00:00,5.125,5.1875,5.0625,4.83976936340332,42600,0.0,
1996-02-14 00:00:00+00:00,5.25,5.25,5.125,4.8694610595703125,73400,0.0,
1996-02-15 00:00:00+00:00,5.1875,5.25,5.125,4.8694610595703125,280200,0.0,
1996-02-16 00:00:00+00:00,5.125,5.25,5.125,4.8694610595703125,231600,0.0,
1996-02-20 00:00:00+00:00,5.3125,5.375,5.1875,5.047612190246582,523400,0.0,
1996-02-21 00:00:00+00:00,5.4375,6.0625,5.4375,5.641448974609375,478200,0.0,
1996-02-22 00:00:00+00:00,6.125,6.5,6.0625,6.057133197784424,489000,0.0,
1996-02-23 00:00:00+00:00,6.4375,7.0625,6.375,6.650970458984375,1103600,0.0,
1996-02-26 00:00:00+00:00,6.875,7.78125,6.875,7.155732154846191,885400,0.0,
