date,EPD_Open,EPD_High,EPD_Low,EPD_Close,EPD_Volume,EPD_Dividends,EPD_Stock Splits
1998-07-28 00:00:00+00:00,5.5,5.515625,5.375,0.95016747713089,14124000,0.0,
1998-07-29 00:00:00+00:00,5.375,5.390625,5.375,0.9529300332069396,585200,0.0,
1998-07-30 00:00:00+00:00,5.40625,5.40625,5.375,0.95016747713089,266800,0.0,
1998-07-31 00:00:00+00:00,5.390625,5.390625,5.3125,0.9391194581985474,649200,0.0,
1998-08-03 00:00:00+00:00,5.3125,5.328125,5.3125,0.9391194581985474,253600,0.0,
1998-08-04 00:00:00+00:00,5.3125,5.3125,5.125,0.9059743881225586,754800,0.0,
1998-08-05 00:00:00+00:00,5.0625,5.0625,4.8125,0.8507319688796997,475600,0.0,
1998-08-06 00:00:00+00:00,4.8125,4.9375,4.796875,0.8673045635223389,480400,0.0,
1998-08-07 00:00:00+00:00,4.9375,5.125,4.90625,0.8783532381057739,244400,0.0,
1998-08-10 00:00:00+00:00,4.984375,5.125,4.890625,0.8645424246788025,140000,0.0,
1998-08-11 00:00:00+00:00,4.828125,4.859375,4.65625,0.839683473110199,361200,0.0,
1998-08-12 00:00:00+00:00,4.75,4.90625,4.75,0.8645424246788025,486000,0.0,
1998-08-13 00:00:00+00:00,4.875,4.96875,4.78125,0.8479698300361633,228400,0.0,
1998-08-14 00:00:00+00:00,4.828125,4.875,4.625,0.8231108784675598,380800,0.0,
1998-08-17 00:00:00+00:00,4.640625,4.71875,4.59375,0.8286346793174744,266400,0.0,
1998-08-18 00:00:00+00:00,4.671875,4.84375,4.671875,0.8452078104019165,313600,0.0,
1998-08-19 00:00:00+00:00,4.8125,4.90625,4.75,0.8562563061714172,130000,0.0,
1998-08-20 00:00:00+00:00,4.875,4.921875,4.8125,0.8562563061714172,112000,0.0,
1998-08-21 00:00:00+00:00,4.828125,4.84375,4.4375,0.839683473110199,364800,0.0,
1998-08-24 00:00:00+00:00,4.8125,4.90625,4.484375,0.8286346793174744,400400,0.0,
1998-08-25 00:00:00+00:00,4.71875,4.71875,4.53125,0.8093003630638123,212000,0.0,
1998-08-26 00:00:00+00:00,4.53125,4.59375,4.5,0.8037758469581604,344000,0.0,
1998-08-27 00:00:00+00:00,4.515625,4.53125,4.3125,0.7927273511886597,393600,0.0,
1998-08-28 00:00:00+00:00,4.46875,4.53125,4.21875,0.7457714676856995,445600,0.0,
1998-08-31 00:00:00+00:00,4.25,4.3125,3.65625,0.7623440623283386,718800,0.0,
1998-09-01 00:00:00+00:00,4.21875,4.4375,4.0,0.759581983089447,535200,0.0,
1998-09-02 00:00:00+00:00,4.3125,4.59375,4.3125,0.7899653315544128,342000,0.0,
1998-09-03 00:00:00+00:00,4.25,4.375,4.1875,0.7623440623283386,184400,0.0,
1998-09-04 00:00:00+00:00,4.34375,4.34375,4.15625,0.7512954473495483,159200,0.0,
1998-09-08 00:00:00+00:00,4.25,4.4375,4.25,0.7678683996200562,362000,0.0,
1998-09-09 00:00:00+00:00,4.34375,4.34375,4.125,0.7623440623283386,268800,0.0,
1998-09-10 00:00:00+00:00,4.21875,4.21875,4.0,0.729198694229126,270000,0.0,
1998-09-11 00:00:00+00:00,4.15625,4.21875,4.03125,0.7457714676856995,347600,0.0,
1998-09-14 00:00:00+00:00,4.1875,4.40625,4.125,0.7678683996200562,210800,0.0,
1998-09-15 00:00:00+00:00,4.40625,4.46875,4.28125,0.7678683996200562,194400,0.0,
1998-09-16 00:00:00+00:00,4.34375,4.484375,4.34375,0.7927273511886597,165600,0.0,
1998-09-17 00:00:00+00:00,4.4375,4.4375,4.28125,0.7623440623283386,144000,0.0,
1998-09-18 00:00:00+00:00,4.296875,4.40625,4.234375,0.7733925580978394,150400,0.0,
