date,SDD_Open,SDD_High,SDD_Low,SDD_Close,SDD_Volume,SDD_Dividends,SDD_Stock Splits
2007-01-25 00:00:00+00:00,8851.2001953125,9012.48046875,8829.4404296875,5736.81201171875,47,0.0,
2007-01-26 00:00:00+00:00,9044.48046875,9050.8798828125,9034.240234375,5751.47705078125,25,0.0,
2007-01-29 00:00:00+00:00,8940.7998046875,8940.7998046875,8825.599609375,5644.74169921875,20,0.0,
2007-01-30 00:00:00+00:00,8759.0400390625,8788.48046875,8743.6796875,5565.7099609375,38,0.0,
2007-01-31 00:00:00+00:00,8830.7197265625,8830.7197265625,8583.6796875,5463.86328125,62,0.0,
2007-02-01 00:00:00+00:00,8389.1201171875,8540.16015625,8389.1201171875,5400.31005859375,115,0.0,
2007-02-02 00:00:00+00:00,8467.2001953125,8467.2001953125,8378.8798828125,5336.75927734375,40,0.0,
2007-02-05 00:00:00+00:00,8427.51953125,8480.0,8416.0,5397.86669921875,80,0.0,
2007-02-06 00:00:00+00:00,8463.3603515625,8517.1201171875,8403.2001953125,5348.98095703125,45,0.0,
2007-02-07 00:00:00+00:00,8405.759765625,8410.8798828125,8313.599609375,5291.94580078125,17,0.0,
2007-02-08 00:00:00+00:00,8337.919921875,8375.0400390625,8308.48046875,5288.6875,20,0.0,
2007-02-09 00:00:00+00:00,8331.51953125,8570.8798828125,8331.51953125,5422.30908203125,48,0.0,
2007-02-12 00:00:00+00:00,8577.2802734375,8613.1201171875,8544.0,5461.41845703125,20,0.0,
2007-02-13 00:00:00+00:00,8481.2802734375,8513.2802734375,8433.919921875,5368.53466796875,17,0.0,
2007-02-14 00:00:00+00:00,8335.3603515625,8385.2802734375,8325.1201171875,5333.4990234375,23,0.0,
2007-02-15 00:00:00+00:00,8410.8798828125,8410.8798828125,8289.2802734375,5289.501953125,28,0.0,
2007-02-16 00:00:00+00:00,8431.3603515625,8431.3603515625,8299.51953125,5282.98388671875,52,0.0,
2007-02-20 00:00:00+00:00,8300.7998046875,8300.7998046875,8148.47998046875,5186.84033203125,10,0.0,
2007-02-21 00:00:00+00:00,8180.47998046875,8180.47998046875,8113.919921875,5164.841796875,59,0.0,
2007-02-22 00:00:00+00:00,8103.68017578125,8186.8798828125,8103.68017578125,5205.580078125,13,0.0,
2007-02-23 00:00:00+00:00,8143.35986328125,8147.2001953125,8119.0400390625,5179.50732421875,20,0.0,
2007-02-26 00:00:00+00:00,8175.35986328125,8256.0,8161.27978515625,5234.91259765625,49,0.0,
2007-02-27 00:00:00+00:00,8537.599609375,8934.400390625,8455.6796875,5584.451171875,692,0.0,
2007-02-28 00:00:00+00:00,8866.5595703125,8960.0,8704.0,5547.78466796875,60,0.0,
2007-03-01 00:00:00+00:00,9126.400390625,9213.4404296875,8739.83984375,5633.3349609375,79,0.0,
2007-03-02 00:00:00+00:00,8944.6396484375,9159.6796875,8912.6396484375,5830.509765625,199,0.0,
2007-03-05 00:00:00+00:00,9427.2001953125,9537.2802734375,9135.3603515625,6061.08984375,527,0.0,
2007-03-06 00:00:00+00:00,9216.0,9326.080078125,9044.48046875,5801.99462890625,176,0.0,
2007-03-07 00:00:00+00:00,9152.0,9312.0,9026.5595703125,5825.62255859375,412,0.0,
2007-03-08 00:00:00+00:00,8940.7998046875,9031.6796875,8875.51953125,5742.51416015625,271,0.0,
2007-03-09 00:00:00+00:00,8875.51953125,8998.400390625,8864.0,5666.74072265625,63,0.0,
2007-03-12 00:00:00+00:00,8992.0,8992.0,8835.83984375,5624.3740234375,99,0.0,
2007-03-13 00:00:00+00:00,9017.599609375,9309.4404296875,8953.599609375,5905.470703125,158,0.0,
2007-03-14 00:00:00+00:00,9233.919921875,9465.599609375,9118.7197265625,5821.546875,341,0.0,
2007-03-15 00:00:00+00:00,9034.240234375,9073.919921875,8957.4404296875,5701.77685546875,63,0.0,
2007-03-16 00:00:00+00:00,8999.6796875,9076.48046875,8919.0400390625,5772.662109375,88,0.0,
2007-03-19 00:00:00+00:00,8903.6796875,8903.6796875,8774.400390625,5637.4091796875,84,0.0,
2007-03-20 00:00:00+00:00,8855.0400390625,8908.7998046875,8680.9599609375,5525.78466796875,87,0.0,
2007-03-21 00:00:00+00:00,8695.0400390625,8736.0,8377.599609375,5362.8310546875,352,0.0,
2007-03-22 00:00:00+00:00,8386.5595703125,8486.400390625,8386.5595703125,5360.38720703125,124,0.0,
