date,SGU_Open,SGU_High,SGU_Low,SGU_Close,SGU_Volume,SGU_Dividends,SGU_Stock Splits
1995-12-15 00:00:00+00:00,22.0,22.375,22.0,3.466153860092163,536300,0.0,
1995-12-18 00:00:00+00:00,22.0,22.25,22.0,3.466153860092163,120100,0.0,
1995-12-19 00:00:00+00:00,22.25,22.25,22.0,3.505544185638428,14400,0.0,
1995-12-20 00:00:00+00:00,22.25,22.25,22.0,3.505544185638428,41800,0.0,
1995-12-21 00:00:00+00:00,22.25,22.25,22.0,3.505544185638428,12800,0.0,
1995-12-22 00:00:00+00:00,22.25,22.25,22.0,3.505544185638428,21200,0.0,
1995-12-26 00:00:00+00:00,22.0,22.25,22.0,3.466153860092163,8500,0.0,
1995-12-27 00:00:00+00:00,22.0,22.5,22.0,3.466153860092163,28500,0.0,
1995-12-28 00:00:00+00:00,22.375,22.375,22.0,3.505544185638428,6900,0.0,
1995-12-29 00:00:00+00:00,22.0,22.5,22.0,3.466153860092163,4900,0.0,
1996-01-02 00:00:00+00:00,22.0,22.5,22.0,3.544929027557373,8800,0.0,
1996-01-03 00:00:00+00:00,22.125,22.5,22.0,3.505544185638428,22700,0.0,
1996-01-04 00:00:00+00:00,22.0,22.5,22.0,3.544929027557373,40600,0.0,
1996-01-05 00:00:00+00:00,22.0,22.5,22.0,3.466153860092163,9200,0.0,
1996-01-08 00:00:00+00:00,22.375,22.375,22.0,3.525236129760742,2600,0.0,
1996-01-09 00:00:00+00:00,22.0,22.375,22.0,3.485846757888794,45500,0.0,
1996-01-10 00:00:00+00:00,22.0,22.25,22.0,3.466153860092163,66600,0.0,
1996-01-11 00:00:00+00:00,22.25,22.25,22.0,3.466153860092163,17800,0.0,
1996-01-12 00:00:00+00:00,22.25,22.25,22.0,3.505544185638428,10000,0.0,
1996-01-15 00:00:00+00:00,22.0,22.25,22.0,3.466153860092163,21800,0.0,
1996-01-16 00:00:00+00:00,22.25,22.25,22.0,3.505544185638428,26400,0.0,
1996-01-17 00:00:00+00:00,22.25,22.25,22.0,3.466153860092163,13400,0.0,
1996-01-18 00:00:00+00:00,22.25,22.25,22.0,3.466153860092163,8000,0.0,
1996-01-19 00:00:00+00:00,22.25,22.25,22.0,3.466153860092163,32800,0.0,
1996-01-22 00:00:00+00:00,22.0,22.25,22.0,3.466153860092163,30400,0.0,
1996-01-23 00:00:00+00:00,22.25,22.25,22.0,3.4760007858276367,31000,0.0,
1996-01-24 00:00:00+00:00,22.25,22.5,22.0,3.4760007858276367,23900,0.0,
1996-01-25 00:00:00+00:00,22.0,22.5,22.0,3.466153860092163,9900,0.0,
1996-01-26 00:00:00+00:00,22.0,22.5,22.0,3.544929027557373,16200,0.0,
1996-01-29 00:00:00+00:00,22.0,22.5,22.0,3.525236129760742,7400,0.0,
1996-01-30 00:00:00+00:00,22.25,22.5,22.0,3.466153860092163,30400,0.0,
