date,RSPH_Open,RSPH_High,RSPH_Low,RSPH_Close,RSPH_Volume,RSPH_Dividends,RSPH_Stock Splits
2006-11-07 00:00:00+00:00,5.01800012588501,5.057000160217285,5.01800012588501,4.589446067810059,355000,0.0,
2006-11-08 00:00:00+00:00,4.953000068664551,4.953000068664551,4.953000068664551,4.503965854644775,5000,0.0,
2006-11-09 00:00:00+00:00,4.953000068664551,4.953000068664551,4.953000068664551,4.503965854644775,0,0.0,
2006-11-10 00:00:00+00:00,4.892000198364258,4.892000198364258,4.892000198364258,4.448498249053955,1000,0.0,
2006-11-13 00:00:00+00:00,4.9070000648498535,4.913000106811523,4.9070000648498535,4.466684341430664,305000,0.0,
2006-11-14 00:00:00+00:00,4.912000179290772,4.912000179290772,4.912000179290772,4.466684341430664,0,0.0,
2006-11-15 00:00:00+00:00,4.912000179290772,4.912000179290772,4.912000179290772,4.466684341430664,0,0.0,
2006-11-16 00:00:00+00:00,4.912000179290772,4.912000179290772,4.912000179290772,4.466684341430664,0,0.0,
2006-11-17 00:00:00+00:00,4.912000179290772,4.912000179290772,4.912000179290772,4.466684341430664,0,0.0,
2006-11-20 00:00:00+00:00,4.991000175476074,4.991000175476074,4.98799991607666,4.535796642303467,301000,0.0,
2006-11-21 00:00:00+00:00,4.98799991607666,4.98799991607666,4.98799991607666,4.535796642303467,0,0.0,
2006-11-22 00:00:00+00:00,4.98799991607666,4.995999813079834,4.98799991607666,4.543069362640381,6000,0.0,
2006-11-24 00:00:00+00:00,4.995999813079834,4.995999813079834,4.995999813079834,4.543069362640381,0,0.0,
2006-11-27 00:00:00+00:00,4.995999813079834,4.995999813079834,4.995999813079834,4.543069362640381,0,0.0,
2006-11-28 00:00:00+00:00,4.995999813079834,4.995999813079834,4.995999813079834,4.543069362640381,0,0.0,
2006-11-29 00:00:00+00:00,4.995999813079834,4.995999813079834,4.995999813079834,4.543069362640381,0,0.0,
