date,SMOG_Open,SMOG_High,SMOG_Low,SMOG_Close,SMOG_Volume,SMOG_Dividends,SMOG_Stock Splits
2007-05-09 00:00:00+00:00,119.16000366210938,120.54000091552734,118.9499969482422,102.88209533691406,25833,0.0,
2007-05-10 00:00:00+00:00,120.3000030517578,120.87000274658205,118.55999755859376,101.80638885498048,14533,0.0,
2007-05-11 00:00:00+00:00,119.04000091552734,122.0999984741211,119.04000091552734,103.49677276611328,8967,0.0,
2007-05-14 00:00:00+00:00,121.3499984741211,121.58999633789062,120.0,102.6003646850586,10233,0.0,
2007-05-15 00:00:00+00:00,120.02999877929688,120.83999633789062,119.12999725341795,101.7039566040039,5033,0.0,
2007-05-16 00:00:00+00:00,120.0,120.51000213623048,118.8000030517578,102.88209533691406,9633,0.0,
2007-05-17 00:00:00+00:00,119.8499984741211,120.05999755859376,119.06999969482422,102.26741790771484,5033,0.0,
2007-05-18 00:00:00+00:00,119.33999633789062,119.4000015258789,118.26000213623048,101.93445587158205,6233,0.0,
2007-05-21 00:00:00+00:00,119.01000213623048,120.41999816894533,119.01000213623048,102.29303741455078,10067,0.0,
2007-05-22 00:00:00+00:00,120.41999816894533,122.06999969482422,120.3000030517578,103.5992202758789,18267,0.0,
2007-05-23 00:00:00+00:00,123.3000030517578,124.0199966430664,122.27999877929688,104.59806823730467,16500,0.0,
2007-05-24 00:00:00+00:00,123.33000183105467,123.4499969482422,120.75,103.75289154052734,20267,0.0,
2007-05-25 00:00:00+00:00,121.8000030517578,122.25,121.62000274658205,104.13705444335938,5300,0.0,
2007-05-29 00:00:00+00:00,123.4499969482422,123.80999755859376,122.45999908447266,105.05908203125,4367,0.0,
2007-05-30 00:00:00+00:00,121.6500015258789,123.38999938964844,121.6500015258789,105.0078582763672,18233,0.0,
2007-05-31 00:00:00+00:00,124.68000030517578,124.68000030517578,124.08000183105467,106.33967590332033,3500,0.0,
2007-06-01 00:00:00+00:00,124.6500015258789,124.83000183105467,123.9000015258789,106.44213104248048,18667,0.0,
2007-06-04 00:00:00+00:00,124.9499969482422,126.1500015258789,124.88999938964844,107.67147064208984,9167,0.0,
2007-06-05 00:00:00+00:00,126.23999786376952,127.13999938964844,125.33999633789062,108.54226684570312,6567,0.0,
2007-06-06 00:00:00+00:00,125.6999969482422,125.6999969482422,123.72000122070312,105.77620697021484,6500,0.0,
2007-06-07 00:00:00+00:00,122.66999816894533,122.76000213623048,120.3000030517578,102.95891571044922,25200,0.0,
2007-06-08 00:00:00+00:00,120.5999984741211,121.83000183105467,120.0,103.88095092773438,3267,0.0,
2007-06-11 00:00:00+00:00,121.8000030517578,122.04000091552734,120.80999755859376,103.5479965209961,6300,0.0,
2007-06-12 00:00:00+00:00,120.66000366210938,120.93000030517578,119.25,102.03690338134766,18500,0.0,
2007-06-13 00:00:00+00:00,120.4499969482422,122.27999877929688,120.41999816894533,104.31634521484376,9100,0.0,
2007-06-14 00:00:00+00:00,123.5999984741211,124.8000030517578,123.5999984741211,106.2884521484375,9533,0.0,
2007-06-15 00:00:00+00:00,126.80999755859376,127.11000061035156,126.38999938964844,108.49105072021484,10433,0.0,
2007-06-18 00:00:00+00:00,127.9499969482422,127.9499969482422,126.80999755859376,108.38861846923828,3767,0.0,
2007-06-19 00:00:00+00:00,127.44000244140624,129.0,126.3000030517578,108.20932006835938,5267,0.0,
2007-06-20 00:00:00+00:00,127.37999725341795,127.68000030517578,126.0,108.00442504882812,8600,0.0,
2007-06-21 00:00:00+00:00,125.58000183105467,126.56999969482422,125.12999725341795,108.05564880371094,2567,0.0,
2007-06-22 00:00:00+00:00,126.38999938964844,126.69000244140624,125.6999969482422,107.77391052246094,3300,0.0,
2007-06-25 00:00:00+00:00,125.6999969482422,126.20999908447266,124.73999786376952,106.87752532958984,11933,0.0,
