date,STRR_Open,STRR_High,STRR_Low,STRR_Close,STRR_Volume,STRR_Dividends,STRR_Stock Splits
2004-06-10 00:00:00+00:00,601.0,650.0,566.0,436.8576965332031,51758,0.0,
2004-06-14 00:00:00+00:00,590.0,595.0,570.0,424.98052978515625,4280,0.0,
2004-06-15 00:00:00+00:00,587.5,587.5,517.5,384.8950500488281,8418,0.0,
2004-06-16 00:00:00+00:00,515.0,527.5,485.0,360.0271301269531,12018,0.0,
2004-06-17 00:00:00+00:00,495.0,495.0,482.5,360.76947021484375,2170,0.0,
2004-06-18 00:00:00+00:00,495.0,495.0,475.0,352.6039733886719,2058,0.0,
2004-06-21 00:00:00+00:00,475.0,482.5,454.5,342.5824890136719,2644,0.0,
2004-06-22 00:00:00+00:00,455.0,497.5,455.0,366.70806884765625,2654,0.0,
2004-06-23 00:00:00+00:00,497.5,498.0,485.0,368.9350280761719,704,0.0,
2004-06-24 00:00:00+00:00,491.0,500.0,487.5,371.1619873046875,3212,0.0,
2004-06-25 00:00:00+00:00,495.0,505.0,492.0,371.1619873046875,1042,0.0,
2004-06-28 00:00:00+00:00,500.0,500.0,497.5,369.3061828613281,2138,0.0,
2004-06-29 00:00:00+00:00,500.0,501.0,497.5,371.1619873046875,1316,0.0,
2004-06-30 00:00:00+00:00,499.0,524.0,495.0,372.2755126953125,4246,0.0,
2004-07-01 00:00:00+00:00,500.0,507.5,495.0,370.7908630371094,1738,0.0,
2004-07-02 00:00:00+00:00,500.0,500.0,480.0,356.3155517578125,402,0.0,
2004-07-06 00:00:00+00:00,477.5,489.5,466.0,345.9229431152344,3820,0.0,
2004-07-07 00:00:00+00:00,462.5,479.5,453.5,337.75738525390625,1502,0.0,
2004-07-08 00:00:00+00:00,452.5,464.5,442.5,334.0458374023437,696,0.0,
2004-07-09 00:00:00+00:00,442.5,450.0,442.5,334.0458374023437,326,0.0,
2004-07-12 00:00:00+00:00,452.5,457.5,450.0,339.61328125,720,0.0,
2004-07-13 00:00:00+00:00,452.5,455.0,452.5,337.75738525390625,186,0.0,
2004-07-14 00:00:00+00:00,459.5,459.5,450.0,334.0458374023437,868,0.0,
2004-07-15 00:00:00+00:00,450.5,454.5,450.5,335.9016418457031,700,0.0,
2004-07-16 00:00:00+00:00,452.5,457.0,452.5,337.75738525390625,466,0.0,
2004-07-19 00:00:00+00:00,452.5,452.5,450.0,334.0458374023437,220,0.0,
2004-07-20 00:00:00+00:00,458.5,482.5,458.5,352.6039733886719,838,0.0,
2004-07-21 00:00:00+00:00,464.5,477.5,464.5,352.6039733886719,742,0.0,
2004-07-22 00:00:00+00:00,475.0,475.0,452.0,347.03643798828125,184,0.0,
2004-07-23 00:00:00+00:00,450.0,471.5,450.0,346.29425048828125,536,0.0,
2004-07-26 00:00:00+00:00,450.5,467.5,450.0,342.9537353515625,438,0.0,
2004-07-27 00:00:00+00:00,457.5,462.0,457.5,339.61328125,130,0.0,
2004-07-28 00:00:00+00:00,455.0,462.5,450.0,334.4169921875,686,0.0,
2004-07-29 00:00:00+00:00,455.0,456.0,450.0,335.9016418457031,330,0.0,
2004-07-30 00:00:00+00:00,455.0,459.0,450.0,337.75738525390625,238,0.0,
2004-08-02 00:00:00+00:00,460.0,462.5,445.0,332.19000244140625,496,0.0,
2004-08-03 00:00:00+00:00,450.0,457.5,442.5,337.75738525390625,468,0.0,
2004-08-04 00:00:00+00:00,452.5,452.5,435.0,334.0458374023437,328,0.0,
2004-08-05 00:00:00+00:00,450.0,450.0,441.5,334.0458374023437,12,0.0,
2004-08-06 00:00:00+00:00,435.0,445.0,415.0,324.7668151855469,1222,0.0,
2004-08-09 00:00:00+00:00,437.5,437.5,425.0,315.48779296875,460,0.0,
2004-08-10 00:00:00+00:00,432.5,432.5,412.5,307.6933288574219,452,0.0,
2004-08-11 00:00:00+00:00,412.5,412.5,400.0,296.9295959472656,452,0.0,
2004-08-12 00:00:00+00:00,400.0,400.5,395.0,293.218017578125,96,0.0,
2004-08-13 00:00:00+00:00,394.5,394.5,382.5,291.3621520996094,302,0.0,
2004-08-16 00:00:00+00:00,405.0,432.5,405.0,305.4664001464844,846,0.0,
2004-08-17 00:00:00+00:00,405.0,425.0,405.0,315.48779296875,160,0.0,
2004-08-18 00:00:00+00:00,422.5,439.5,422.5,324.7668151855469,2164,0.0,
2004-08-19 00:00:00+00:00,438.5,438.5,430.5,322.1686706542969,76,0.0,
2004-08-20 00:00:00+00:00,435.0,442.5,431.5,326.62255859375,1890,0.0,
2004-08-23 00:00:00+00:00,450.0,450.0,417.5,310.66259765625,76,0.0,
2004-08-24 00:00:00+00:00,425.0,427.5,420.0,317.3435363769531,1578,0.0,
2004-08-25 00:00:00+00:00,437.5,440.0,418.5,311.776123046875,68,0.0,
2004-08-26 00:00:00+00:00,450.0,450.0,432.5,333.30352783203125,1882,0.0,
2004-08-27 00:00:00+00:00,451.5,451.5,445.0,331.4476928710937,2324,0.0,
2004-08-30 00:00:00+00:00,420.0,451.5,420.0,333.30352783203125,1666,0.0,
2004-08-31 00:00:00+00:00,450.0,462.0,445.0,339.61328125,864,0.0,
2004-09-01 00:00:00+00:00,463.0,493.0,463.0,362.2541198730469,1344,0.0,
2004-09-02 00:00:00+00:00,495.0,515.0,487.0,361.883056640625,228,0.0,
2004-09-03 00:00:00+00:00,497.0,500.0,475.0,371.1619873046875,60,0.0,
2004-09-07 00:00:00+00:00,497.5,497.5,487.5,365.2234497070313,24,0.0,
