date,BKR_Open,BKR_High,BKR_Low,BKR_Close,BKR_Volume,BKR_Dividends,BKR_Stock Splits
1987-04-06 00:00:00+00:00,0.0,19.0,18.375,6.420841693878174,157000,0.0,
1987-04-07 00:00:00+00:00,18.625,18.625,18.0,6.205374240875244,295600,0.0,
1987-04-08 00:00:00+00:00,18.25,18.875,18.25,6.463931083679199,479700,0.0,
1987-04-09 00:00:00+00:00,18.75,18.75,17.875,6.162282943725586,850800,0.0,
1987-04-10 00:00:00+00:00,17.875,18.25,17.875,6.248467922210693,224000,0.0,
1987-04-13 00:00:00+00:00,18.125,18.125,17.5,6.07609748840332,304700,0.0,
1987-04-14 00:00:00+00:00,17.5,17.5,15.875,5.558982372283936,168300,0.0,
1987-04-15 00:00:00+00:00,16.375,17.5,16.375,6.033004283905029,414500,0.0,
1987-04-16 00:00:00+00:00,17.75,18.125,17.75,6.205374240875244,229400,0.0,
1987-04-20 00:00:00+00:00,18.0,18.0,17.75,6.119187355041504,135800,0.0,
1987-04-21 00:00:00+00:00,17.75,17.875,17.5,6.07609748840332,282200,0.0,
1987-04-22 00:00:00+00:00,17.625,17.75,17.0,5.946816921234131,284900,0.0,
1987-04-23 00:00:00+00:00,17.375,17.625,17.25,5.989911079406738,219200,0.0,
1987-04-24 00:00:00+00:00,17.25,17.5,16.875,5.817536354064941,139700,0.0,
1987-04-27 00:00:00+00:00,16.625,16.75,16.0,5.688258647918701,466500,0.0,
1987-04-28 00:00:00+00:00,17.125,17.5,16.5,5.94516134262085,272200,0.115,
1987-04-29 00:00:00+00:00,17.375,17.5,17.25,5.988556385040283,374500,0.0,
1987-04-30 00:00:00+00:00,17.25,18.0,17.25,6.248929023742676,845800,0.0,
1987-05-01 00:00:00+00:00,18.125,18.375,17.875,6.248929023742676,713800,0.0,
1987-05-04 00:00:00+00:00,18.0,18.625,18.0,6.422508716583252,212200,0.0,
1987-05-05 00:00:00+00:00,18.5,19.375,18.0,6.726277828216553,1040000,0.0,
1987-05-06 00:00:00+00:00,19.375,20.75,19.25,7.203627109527588,1030000,0.0,
1987-05-07 00:00:00+00:00,22.0,22.375,21.875,7.724367141723633,1470000,0.0,
1987-05-08 00:00:00+00:00,22.0,22.125,21.625,7.594183444976807,365400,0.0,
1987-05-11 00:00:00+00:00,22.0,23.375,21.875,7.811161994934082,815000,0.0,
1987-05-12 00:00:00+00:00,22.625,22.625,22.25,7.811161994934082,422900,0.0,
1987-05-13 00:00:00+00:00,22.5,22.625,21.625,7.594183444976807,231300,0.0,
1987-05-14 00:00:00+00:00,21.75,22.0,21.5,7.550788402557373,341500,0.0,
1987-05-15 00:00:00+00:00,21.5,22.0,21.125,7.420603275299072,408700,0.0,
1987-05-18 00:00:00+00:00,21.0,21.125,20.5,7.290413856506348,386200,0.0,
1987-05-19 00:00:00+00:00,21.0,21.0,20.625,7.203627109527588,270200,0.0,
1987-05-20 00:00:00+00:00,20.375,20.625,20.125,6.986650466918945,308100,0.0,
1987-05-21 00:00:00+00:00,20.25,20.5,19.75,7.073436737060547,258900,0.0,
1987-05-22 00:00:00+00:00,20.375,20.75,20.25,7.203627109527588,255700,0.0,
1987-05-26 00:00:00+00:00,21.0,22.0,20.625,7.550788402557373,400600,0.0,
1987-05-27 00:00:00+00:00,21.75,21.875,21.5,7.507394790649414,211500,0.0,
1987-05-28 00:00:00+00:00,21.5,21.625,20.5,7.463995456695557,165000,0.0,
1987-05-29 00:00:00+00:00,21.625,21.875,21.25,7.594183444976807,288100,0.0,
1987-06-01 00:00:00+00:00,21.875,22.125,21.75,7.594183444976807,363100,0.0,
1987-06-02 00:00:00+00:00,21.875,21.875,21.5,7.507394790649414,215500,0.0,
1987-06-03 00:00:00+00:00,21.5,21.875,21.5,7.550788402557373,442000,0.0,
1987-06-04 00:00:00+00:00,21.75,22.0,21.75,7.637581348419189,576100,0.0,
1987-06-05 00:00:00+00:00,22.0,22.125,21.75,7.594183444976807,294100,0.0,
1987-06-08 00:00:00+00:00,21.875,22.25,21.875,7.724367141723633,310200,0.0,
1987-06-09 00:00:00+00:00,22.25,22.375,21.875,7.637581348419189,853800,0.0,
1987-06-10 00:00:00+00:00,22.125,22.75,22.0,7.637581348419189,340700,0.0,
1987-06-11 00:00:00+00:00,22.0,22.125,21.75,7.550788402557373,89100,0.0,
1987-06-12 00:00:00+00:00,21.5,21.75,21.125,7.377205848693848,378700,0.0,
1987-06-15 00:00:00+00:00,21.375,22.0,21.25,7.550788402557373,269300,0.0,
1987-06-16 00:00:00+00:00,21.75,21.875,21.625,7.594183444976807,160300,0.0,
1987-06-17 00:00:00+00:00,21.875,22.0,21.75,7.550788402557373,276100,0.0,
1987-06-18 00:00:00+00:00,21.625,21.625,21.25,7.420603275299072,59300,0.0,
1987-06-19 00:00:00+00:00,21.625,21.875,21.375,7.594183444976807,284500,0.0,
1987-06-22 00:00:00+00:00,22.125,22.25,21.75,7.637581348419189,544800,0.0,
1987-06-23 00:00:00+00:00,21.875,22.0,21.625,7.637581348419189,442000,0.0,
1987-06-24 00:00:00+00:00,21.75,21.875,21.5,7.550788402557373,241800,0.0,
1987-06-25 00:00:00+00:00,21.75,22.0,21.625,7.594183444976807,179500,0.0,
1987-06-26 00:00:00+00:00,21.875,22.0,21.5,7.463995456695557,389200,0.0,
1987-06-29 00:00:00+00:00,21.875,22.5,21.875,7.76776647567749,1020000,0.0,
1987-06-30 00:00:00+00:00,22.5,23.375,22.5,7.897946834564209,693400,0.0,
