date,TIPT_Open,TIPT_High,TIPT_Low,TIPT_Close,TIPT_Volume,TIPT_Dividends,TIPT_Stock Splits
2010-10-15 00:00:00+00:00,4.5,4.829999923706055,4.5,3.440103054046631,1400,0.0,
2010-10-18 00:00:00+00:00,4.25,4.25,4.25,3.0270066261291504,200,0.0,
2010-10-19 00:00:00+00:00,4.25,4.75,4.210000038146973,3.383124828338623,2900,0.0,
2010-10-20 00:00:00+00:00,4.25,4.75,4.25,3.383124828338623,2800,0.0,
2010-10-21 00:00:00+00:00,4.25,4.25,4.25,3.0270066261291504,1400,0.0,
2010-10-22 00:00:00+00:00,4.25,4.25,4.25,3.0270066261291504,0,0.0,
2010-10-25 00:00:00+00:00,4.010000228881836,4.25,4.010000228881836,3.0270066261291504,2400,0.0,
2010-10-26 00:00:00+00:00,4.699999809265137,4.699999809265137,4.699999809265137,3.3475124835968018,10700,0.0,
2010-10-27 00:00:00+00:00,4.300000190734863,4.300000190734863,4.300000190734863,3.0626182556152344,200,0.0,
2010-10-28 00:00:00+00:00,4.300000190734863,4.300000190734863,4.300000190734863,3.0626182556152344,0,0.0,
2010-10-29 00:00:00+00:00,4.800000190734863,4.800000190734863,4.800000190734863,3.418735980987549,100,0.0,
2010-11-01 00:00:00+00:00,4.75,4.75,4.309999942779541,3.0697407722473145,700,0.0,
2010-11-02 00:00:00+00:00,4.400000095367432,4.690000057220459,4.400000095367432,3.3403913974761963,5100,0.0,
2010-11-03 00:00:00+00:00,4.699999809265137,4.699999809265137,4.699999809265137,3.3475124835968018,500,0.0,
2010-11-04 00:00:00+00:00,4.699999809265137,4.699999809265137,4.699999809265137,3.3475124835968018,0,0.0,
2010-11-05 00:00:00+00:00,4.309999942779541,4.650000095367432,4.309999942779541,3.311901807785034,1900,0.0,
2010-11-08 00:00:00+00:00,4.5,4.5,4.5,3.2050652503967285,700,0.0,
2010-11-09 00:00:00+00:00,4.5,4.5,4.5,3.2050652503967285,500,0.0,
