date,QUAL_Open,QUAL_High,QUAL_Low,QUAL_Close,QUAL_Volume,QUAL_Dividends,QUAL_Stock Splits
2013-07-18 00:00:00+00:00,50.22999954223633,50.22999954223633,50.150001525878906,42.43068313598633,200,0.0,
2013-07-19 00:00:00+00:00,50.59999847412109,50.59999847412109,49.7599983215332,42.1007080078125,3900,0.0,
2013-07-22 00:00:00+00:00,50.47999954223633,50.47999954223633,49.95000076293945,42.30377197265625,3500,0.0,
2013-07-23 00:00:00+00:00,50.38999938964844,50.38999938964844,49.900001525878906,42.236083984375,4700,0.0,
2013-07-24 00:00:00+00:00,49.79999923706055,49.84999847412109,49.79999923706055,42.176856994628906,400,0.0,
2013-07-25 00:00:00+00:00,49.84999847412109,50.11000061035156,49.83000183105469,42.39684295654297,2900,0.0,
2013-07-26 00:00:00+00:00,49.93999862670898,50.060001373291016,49.77999877929688,42.19378280639648,3000,0.0,
2013-07-29 00:00:00+00:00,50.20000076293945,50.20000076293945,50.04999923706055,42.34607696533203,1200,0.0,
2013-07-30 00:00:00+00:00,50.150001525878906,50.25,50.130001068115234,42.515281677246094,1100,0.0,
2013-07-31 00:00:00+00:00,50.34000015258789,50.34000015258789,50.119998931884766,42.405303955078125,2300,0.0,
2013-08-01 00:00:00+00:00,50.119998931884766,50.119998931884766,50.119998931884766,42.405303955078125,0,0.0,
2013-08-02 00:00:00+00:00,50.4900016784668,50.720001220703125,50.4900016784668,42.91294860839844,3400,0.0,
2013-08-05 00:00:00+00:00,51.18000030517578,51.18000030517578,50.70000076293945,42.9214096069336,800,0.0,
2013-08-06 00:00:00+00:00,50.650001525878906,50.650001525878906,50.38999938964844,42.692962646484375,75600,0.0,
2013-08-07 00:00:00+00:00,50.83000183105469,50.83000183105469,50.119998931884766,42.515281677246094,16100,0.0,
2013-08-08 00:00:00+00:00,50.68000030517578,50.68000030517578,50.310001373291016,42.71834564208984,3900,0.0,
2013-08-09 00:00:00+00:00,50.45000076293945,50.45000076293945,50.310001373291016,42.625282287597656,96800,0.0,
2013-08-12 00:00:00+00:00,50.59000015258789,50.59000015258789,50.18000030517578,42.48990249633789,72100,0.0,
2013-08-13 00:00:00+00:00,50.540000915527344,50.560001373291016,50.52000045776367,42.74372863769531,700,0.0,
