date,NUGT_Open,NUGT_High,NUGT_Low,NUGT_Close,NUGT_Volume,NUGT_Dividends,NUGT_Stock Splits
2010-12-08 00:00:00+00:00,78540.0,81200.0,76080.0,70430.828125,103,0.0,
2010-12-09 00:00:00+00:00,78360.0,78520.0,76520.0,70999.5546875,211,0.0,
2010-12-10 00:00:00+00:00,77120.0,78460.0,75500.0,71568.296875,147,0.0,
2010-12-13 00:00:00+00:00,80540.0,81440.0,79020.0,72687.40625,49,0.0,
2010-12-14 00:00:00+00:00,79880.0,80640.0,78620.0,72797.46875,38,0.0,
2010-12-15 00:00:00+00:00,78020.0,79160.0,76260.0,70192.3203125,33,0.0,
2010-12-16 00:00:00+00:00,76060.0,76060.0,72740.0,68027.5,36,0.0,
2010-12-17 00:00:00+00:00,74640.0,74960.0,72560.0,68064.1796875,8,0.0,
2010-12-20 00:00:00+00:00,75540.0,76000.0,73660.0,69219.984375,18,0.0,
2010-12-21 00:00:00+00:00,75860.0,75860.0,74160.0,68999.828125,9,0.0,
2010-12-22 00:00:00+00:00,75280.0,75280.0,73480.0,67458.75,16,0.0,
2010-12-23 00:00:00+00:00,73000.0,75560.0,72620.0,68449.4609375,11,0.0,
2010-12-27 00:00:00+00:00,74500.0,74500.0,72420.0,67587.1796875,12,0.0,
2010-12-28 00:00:00+00:00,76600.0,77800.0,75260.0,71127.9921875,18,0.0,
2010-12-29 00:00:00+00:00,78360.0,78780.0,77440.0,71568.296875,6,0.0,
2010-12-30 00:00:00+00:00,78420.0,78600.0,76440.0,70540.90625,13,0.0,
2010-12-31 00:00:00+00:00,77600.0,79080.0,77280.0,71916.875,25,0.0,
2011-01-03 00:00:00+00:00,79460.0,79800.0,75740.0,70173.984375,28,0.0,
2011-01-04 00:00:00+00:00,74940.0,75140.0,69740.0,66266.265625,34,0.0,
2011-01-05 00:00:00+00:00,70680.0,71100.0,68780.0,64578.4140625,13,0.0,
2011-01-06 00:00:00+00:00,70620.0,70660.0,66460.0,61257.7578125,24,0.0,
2011-01-07 00:00:00+00:00,66220.0,68940.0,66100.0,61239.4140625,22,0.0,
