date,JOUT_Open,JOUT_High,JOUT_Low,JOUT_Close,JOUT_Volume,JOUT_Dividends,JOUT_Stock Splits
1987-10-09 00:00:00+00:00,0.0,17.75,16.5,15.078989028930664,1079800,0.0,
1987-10-12 00:00:00+00:00,0.0,17.75,16.5,14.441849708557127,251800,0.0,
1987-10-13 00:00:00+00:00,0.0,18.0,17.0,15.291375160217283,168400,0.0,
1987-10-14 00:00:00+00:00,0.0,18.5,17.5,14.866616249084473,114500,0.0,
1987-10-15 00:00:00+00:00,0.0,17.75,16.75,14.65423583984375,50400,0.0,
1987-10-16 00:00:00+00:00,0.0,17.5,15.75,13.69851779937744,85200,0.0,
1987-10-19 00:00:00+00:00,0.0,16.25,14.25,12.105668067932127,77100,0.0,
1987-10-20 00:00:00+00:00,0.0,14.75,11.5,10.406627655029297,47300,0.0,
1987-10-21 00:00:00+00:00,0.0,14.5,12.25,12.105668067932127,81200,0.0,
1987-10-22 00:00:00+00:00,0.0,14.0,12.75,11.043770790100098,69000,0.0,
1987-10-23 00:00:00+00:00,0.0,13.5,12.75,10.83138942718506,30800,0.0,
1987-10-26 00:00:00+00:00,0.0,13.0,9.25,8.282828330993652,26100,0.0,
1987-10-27 00:00:00+00:00,0.0,10.25,9.5,8.282828330993652,28800,0.0,
1987-10-28 00:00:00+00:00,0.0,9.75,9.0,8.070446968078613,23200,0.0,
1987-10-29 00:00:00+00:00,0.0,10.0,9.0,8.495206832885742,194700,0.0,
1987-10-30 00:00:00+00:00,0.0,11.75,10.25,9.344730377197266,86100,0.0,
1987-11-02 00:00:00+00:00,0.0,11.75,11.0,9.557109832763672,30600,0.0,
1987-11-03 00:00:00+00:00,0.0,11.25,10.5,9.132347106933594,5900,0.0,
1987-11-04 00:00:00+00:00,0.0,11.0,10.25,9.344730377197266,6200,0.0,
1987-11-05 00:00:00+00:00,0.0,11.0,10.5,8.91996955871582,16400,0.0,
1987-11-06 00:00:00+00:00,0.0,11.0,10.25,8.707586288452148,20400,0.0,
