date,CDE_Open,CDE_High,CDE_Low,CDE_Close,CDE_Volume,CDE_Dividends,CDE_Stock Splits
1980-03-17 00:00:00+00:00,0.0,148.0,136.0,125.50934600830078,1875,0.0,
1980-03-18 00:00:00+00:00,0.0,152.0,140.0,129.20082092285156,1125,0.0,
1980-03-19 00:00:00+00:00,0.0,164.0,152.0,140.27517700195312,1113,0.0,
1980-03-20 00:00:00+00:00,0.0,168.0,156.0,143.96661376953125,950,0.0,
1980-03-21 00:00:00+00:00,0.0,168.0,156.0,143.96661376953125,700,0.0,
1980-03-24 00:00:00+00:00,0.0,140.0,128.0,118.12645721435548,1038,0.0,
1980-03-25 00:00:00+00:00,0.0,132.0,120.0,110.74356842041016,1063,0.0,
1980-03-26 00:00:00+00:00,0.0,128.0,116.0,107.0521011352539,325,0.0,
1980-03-27 00:00:00+00:00,0.0,104.0,92.0,84.90339660644531,1263,0.0,
1980-03-28 00:00:00+00:00,0.0,140.0,128.0,118.12645721435548,1925,0.0,
1980-03-31 00:00:00+00:00,0.0,132.0,120.0,110.74356842041016,838,0.0,
1980-04-01 00:00:00+00:00,0.0,132.0,120.0,110.74356842041016,438,0.0,
1980-04-02 00:00:00+00:00,0.0,136.0,124.0,114.43502044677734,350,0.0,
1980-04-03 00:00:00+00:00,0.0,128.0,116.0,107.0521011352539,163,0.0,
1980-04-07 00:00:00+00:00,0.0,128.0,116.0,107.0521011352539,238,0.0,
1980-04-08 00:00:00+00:00,0.0,136.0,124.0,114.43502044677734,775,0.0,
1980-04-09 00:00:00+00:00,0.0,140.0,128.0,118.12645721435548,788,0.0,
1980-04-10 00:00:00+00:00,0.0,136.0,124.0,114.43502044677734,100,0.0,
1980-04-11 00:00:00+00:00,0.0,132.0,120.0,110.74356842041016,213,0.0,
1980-04-14 00:00:00+00:00,0.0,124.0,112.0,103.36065673828124,313,0.0,
1980-04-15 00:00:00+00:00,0.0,116.0,104.0,95.97774505615234,750,0.0,
1980-04-16 00:00:00+00:00,0.0,116.0,104.0,95.97774505615234,1688,0.0,
