date,PSQ_Open,PSQ_High,PSQ_Low,PSQ_Close,PSQ_Volume,PSQ_Dividends,PSQ_Stock Splits
2006-06-21 00:00:00+00:00,1372.4000244140625,1372.4000244140625,1372.4000244140625,1076.3997802734375,10,0.0,
2006-06-22 00:00:00+00:00,1382.5999755859375,1397.4000244140625,1382.5999755859375,1094.909912109375,730,0.0,
2006-06-23 00:00:00+00:00,1404.0,1404.0,1389.199951171875,1094.7530517578125,835,0.0,
2006-06-26 00:00:00+00:00,1396.199951171875,1402.4000244140625,1393.800048828125,1094.909912109375,810,0.0,
2006-06-27 00:00:00+00:00,1396.0,1424.0,1396.0,1116.08642578125,3135,0.0,
2006-06-28 00:00:00+00:00,1423.0,1429.0,1409.0,1109.02783203125,7615,0.0,
2006-06-29 00:00:00+00:00,1402.0,1406.800048828125,1380.0,1087.066650390625,3445,0.0,
2006-06-30 00:00:00+00:00,1386.0,1399.0,1373.199951171875,1081.8896484375,2925,0.0,
2006-07-03 00:00:00+00:00,1375.0,1377.5999755859375,1370.4000244140625,1076.3997802734375,915,0.0,
2006-07-05 00:00:00+00:00,1388.0,1403.0,1387.0,1098.8314208984375,3915,0.0,
2006-07-06 00:00:00+00:00,1396.0,1405.4000244140625,1392.4000244140625,1098.8314208984375,3310,0.0,
2006-07-07 00:00:00+00:00,1411.4000244140625,1419.0,1402.800048828125,1109.02783203125,4605,0.0,
2006-07-10 00:00:00+00:00,1417.0,1437.0,1414.5999755859375,1124.400146484375,5965,0.0,
2006-07-11 00:00:00+00:00,1437.0,1444.0,1419.0,1115.302001953125,12355,0.0,
2006-07-12 00:00:00+00:00,1426.0,1454.4000244140625,1425.4000244140625,1138.98828125,6385,0.0,
2006-07-13 00:00:00+00:00,1464.0,1473.199951171875,1447.0,1152.1649169921875,22370,0.0,
2006-07-14 00:00:00+00:00,1478.0,1493.0,1473.0,1165.02783203125,14570,0.0,
2006-07-17 00:00:00+00:00,1480.0,1491.4000244140625,1475.4000244140625,1162.361083984375,7725,0.0,
2006-07-18 00:00:00+00:00,1474.199951171875,1502.5999755859375,1472.199951171875,1155.145263671875,10755,0.0,
2006-07-19 00:00:00+00:00,1476.0,1480.4000244140625,1448.0,1145.890380859375,19765,0.0,
2006-07-20 00:00:00+00:00,1455.800048828125,1485.800048828125,1451.0,1165.3416748046875,8430,0.0,
2006-07-21 00:00:00+00:00,1499.0,1500.199951171875,1488.0,1174.9102783203125,8545,0.0,
2006-07-24 00:00:00+00:00,1494.0,1494.0,1466.4000244140625,1150.125732421875,7830,0.0,
2006-07-25 00:00:00+00:00,1469.800048828125,1477.199951171875,1456.0,1148.557373046875,9890,0.0,
2006-07-26 00:00:00+00:00,1472.0,1477.4000244140625,1452.0,1147.9296875,3215,0.0,
2006-07-27 00:00:00+00:00,1446.5999755859375,1477.5999755859375,1445.5999755859375,1155.7728271484375,4490,0.0,
2006-07-28 00:00:00+00:00,1465.4000244140625,1466.5999755859375,1441.4000244140625,1133.3416748046875,5780,0.0,
2006-07-31 00:00:00+00:00,1449.0,1450.0,1436.0,1133.3416748046875,2885,0.0,
2006-08-01 00:00:00+00:00,1461.0,1477.4000244140625,1461.0,1153.26318359375,3480,0.0,
2006-08-02 00:00:00+00:00,1459.4000244140625,1461.5999755859375,1443.0,1141.968994140625,6820,0.0,
2006-08-03 00:00:00+00:00,1470.0,1470.0,1437.4000244140625,1134.1256103515625,6185,0.0,
2006-08-04 00:00:00+00:00,1428.0,1466.0,1423.0,1139.6160888671875,12500,0.0,
2006-08-07 00:00:00+00:00,1461.0,1469.800048828125,1451.4000244140625,1147.30224609375,3555,0.0,
