date,STLD_Open,STLD_High,STLD_Low,STLD_Close,STLD_Volume,STLD_Dividends,STLD_Stock Splits
1996-11-22 00:00:00+00:00,4.375,4.65625,4.21875,3.014389991760254,16753600,0.0,
1996-11-25 00:00:00+00:00,4.53125,4.625,4.25,2.8930037021636963,3246400,0.0,
1996-11-26 00:00:00+00:00,4.53125,4.53125,4.34375,2.8525428771972656,1731600,0.0,
1996-11-27 00:00:00+00:00,4.5,4.5,4.375,2.8323116302490234,626400,0.0,
1996-11-29 00:00:00+00:00,4.5,4.5625,4.375,2.9536964893341064,374000,0.0,
1996-12-02 00:00:00+00:00,4.5625,4.5625,4.375,2.8525428771972656,490400,0.0,
1996-12-03 00:00:00+00:00,4.5,4.5,4.375,2.9132349491119385,803200,0.0,
1996-12-04 00:00:00+00:00,4.4375,4.5,4.3125,2.9132349491119385,299200,0.0,
1996-12-05 00:00:00+00:00,4.5625,4.5625,4.375,2.8727736473083496,568000,0.0,
1996-12-06 00:00:00+00:00,4.3125,4.46875,4.1875,2.8930037021636963,551600,0.0,
1996-12-09 00:00:00+00:00,4.375,4.5,4.375,2.8323116302490234,886800,0.0,
1996-12-10 00:00:00+00:00,4.375,4.5625,4.375,2.8525428771972656,971200,0.0,
1996-12-11 00:00:00+00:00,4.53125,4.53125,4.375,2.9132349491119385,202800,0.0,
1996-12-12 00:00:00+00:00,4.375,4.5,4.375,2.8930037021636963,398000,0.0,
1996-12-13 00:00:00+00:00,4.375,4.5,4.375,2.8930037021636963,465200,0.0,
1996-12-16 00:00:00+00:00,4.40625,4.5625,4.375,2.8323116302490234,862000,0.0,
1996-12-17 00:00:00+00:00,4.34375,4.53125,4.34375,2.8727736473083496,696800,0.0,
1996-12-18 00:00:00+00:00,4.5625,4.65625,4.46875,3.014389991760254,224000,0.0,
1996-12-19 00:00:00+00:00,4.6875,5.25,4.5625,3.1560046672821045,1774800,0.0,
1996-12-20 00:00:00+00:00,5.0,5.0,4.8125,3.196465015411377,679600,0.0,
1996-12-23 00:00:00+00:00,4.9375,4.9375,4.8125,3.1762354373931885,422800,0.0,
