date,CYTH_Open,CYTH_High,CYTH_Low,CYTH_Close,CYTH_Volume,CYTH_Dividends,CYTH_Stock Splits
2000-05-03 00:00:00+00:00,106.25,118.75,106.25,118.75,32,,
2000-05-04 00:00:00+00:00,106.25,112.5,87.5,92.1875,692,,
2000-05-05 00:00:00+00:00,90.625,115.625,90.625,115.625,802,,
2000-05-08 00:00:00+00:00,117.1875,125.0,112.5,114.0625,216,,
2000-05-09 00:00:00+00:00,121.875,123.4375,104.6875,104.6875,54,,
2000-05-10 00:00:00+00:00,100.0,104.6875,96.875,96.875,128,,
2000-05-11 00:00:00+00:00,103.125,112.5,103.125,110.9375,226,,
2000-05-12 00:00:00+00:00,112.5,112.5,101.5625,110.9375,78,,
2000-05-15 00:00:00+00:00,101.5625,106.25,78.125,84.375,380,,
2000-05-16 00:00:00+00:00,78.125,84.375,71.875,73.4375,336,,
2000-05-17 00:00:00+00:00,71.875,87.5,68.75,87.5,258,,
2000-05-18 00:00:00+00:00,87.5,87.5,78.125,78.125,6,,
2000-05-19 00:00:00+00:00,78.125,87.5,76.5625,82.8125,30,,
2000-05-22 00:00:00+00:00,75.0,100.0,75.0,87.5,68,,
2000-05-23 00:00:00+00:00,106.25,106.25,106.25,106.25,2,,
2000-05-24 00:00:00+00:00,75.0,87.5,65.625,65.625,250,,
2000-05-25 00:00:00+00:00,65.625,65.625,62.5,62.5,76,,
2000-05-26 00:00:00+00:00,62.5,70.3125,62.5,70.3125,40,,
2000-05-30 00:00:00+00:00,62.5,68.75,37.5,37.5,186,,
2000-05-31 00:00:00+00:00,62.5,62.5,43.75,51.5625,249,,
2000-06-01 00:00:00+00:00,43.75,43.75,43.75,43.75,20,,
2000-06-02 00:00:00+00:00,43.75,62.5,43.75,62.5,223,,
2000-06-05 00:00:00+00:00,50.0,50.0,50.0,50.0,56,,
2000-06-06 00:00:00+00:00,50.0,50.0,50.0,50.0,15,,
2000-06-07 00:00:00+00:00,50.0,50.0,40.625,40.625,490,,
2000-06-08 00:00:00+00:00,40.625,43.75,37.5,40.625,476,,
2000-06-09 00:00:00+00:00,46.875,46.875,46.875,46.875,10,,
2000-06-12 00:00:00+00:00,46.875,50.0,43.75,43.75,182,,
2000-06-13 00:00:00+00:00,40.625,43.75,40.625,43.75,452,,
2000-06-14 00:00:00+00:00,43.75,43.75,40.625,40.625,87,,
2000-06-15 00:00:00+00:00,40.625,40.625,37.5,37.5,98,,
2000-06-16 00:00:00+00:00,37.5,37.5,37.5,37.5,22,,
2000-06-19 00:00:00+00:00,37.5,37.5,37.5,37.5,276,,
2000-06-20 00:00:00+00:00,37.5,40.625,31.25,31.25,384,,
2000-06-21 00:00:00+00:00,37.5,40.625,37.5,40.625,42,,
2000-06-22 00:00:00+00:00,31.25,31.25,31.25,31.25,13,,
2000-06-23 00:00:00+00:00,31.25,31.25,31.25,31.25,2,,
2000-06-26 00:00:00+00:00,40.625,43.75,37.5,40.625,287,,
2000-06-27 00:00:00+00:00,40.625,40.625,40.625,40.625,50,,
2000-06-28 00:00:00+00:00,43.75,43.75,31.25,37.5,825,,
2000-06-29 00:00:00+00:00,31.25,37.5,31.25,37.5,1413,,
2000-06-30 00:00:00+00:00,37.5,37.5,37.5,37.5,20,,
2000-07-03 00:00:00+00:00,31.25,31.25,31.25,31.25,125,,
2000-07-05 00:00:00+00:00,31.25,37.5,31.25,37.5,74,,
2000-07-06 00:00:00+00:00,37.5,37.5,37.5,37.5,219,,
2000-07-07 00:00:00+00:00,34.375,34.375,34.375,34.375,3,,
2000-07-10 00:00:00+00:00,34.375,34.375,31.25,34.375,129,,
2000-07-11 00:00:00+00:00,31.25,31.25,31.25,31.25,12,,
2000-07-12 00:00:00+00:00,31.25,31.25,31.25,31.25,2,,
2000-07-13 00:00:00+00:00,31.25,31.25,31.25,31.25,5,,
2000-07-14 00:00:00+00:00,31.25,43.75,31.25,43.75,245,,
