date,CAMT_Open,CAMT_High,CAMT_Low,CAMT_Close,CAMT_Volume,CAMT_Dividends,CAMT_Stock Splits
2000-07-28 00:00:00+00:00,6.5,7.0,4.5,5.439634799957275,4252900,0.0,
2000-07-31 00:00:00+00:00,6.25,6.375,5.8125,5.496298313140869,876100,0.0,
2000-08-01 00:00:00+00:00,6.0625,6.5,6.03125,5.7796125411987305,267400,0.0,
2000-08-02 00:00:00+00:00,6.4375,6.75,6.0,6.006263732910156,239700,0.0,
2000-08-03 00:00:00+00:00,6.6875,6.6875,6.3125,5.7796125411987305,98400,0.0,
2000-08-04 00:00:00+00:00,6.875,6.875,6.25,5.7796125411987305,120200,0.0,
2000-08-07 00:00:00+00:00,6.9375,7.75,6.5,6.402904033660889,439400,0.0,
2000-08-08 00:00:00+00:00,7.625,7.625,6.75,6.23291540145874,202200,0.0,
2000-08-09 00:00:00+00:00,6.9375,7.0625,6.8125,6.346241474151611,89700,0.0,
2000-08-10 00:00:00+00:00,7.125,7.125,6.75,6.119589805603027,32500,0.0,
2000-08-11 00:00:00+00:00,6.6875,6.8125,6.5625,5.949600696563721,81100,0.0,
2000-08-14 00:00:00+00:00,6.59375,8.6875,6.59375,7.040361404418945,669400,0.0,
2000-08-15 00:00:00+00:00,7.75,8.125,7.3125,6.856207370758057,232300,0.0,
2000-08-16 00:00:00+00:00,7.5,7.8125,7.375,7.026195526123047,141600,0.0,
2000-08-17 00:00:00+00:00,7.875,7.875,6.75,6.119589805603027,276700,0.0,
2000-08-18 00:00:00+00:00,7.0,7.5,6.875,6.686217784881592,97300,0.0,
2000-08-21 00:00:00+00:00,7.0625,7.75,6.875,6.686217784881592,134400,0.0,
2000-08-22 00:00:00+00:00,7.625,8.1875,7.0,6.9695329666137695,229200,0.0,
2000-08-23 00:00:00+00:00,7.6875,8.625,7.1875,7.649487018585205,966500,0.0,
2000-08-24 00:00:00+00:00,8.875,9.125,8.0625,8.159452438354492,365900,0.0,
2000-08-25 00:00:00+00:00,9.1875,9.40625,8.5,7.9894633293151855,229600,0.0,
2000-08-28 00:00:00+00:00,9.0,9.25,8.75,8.046127319335938,249300,0.0,
2000-08-29 00:00:00+00:00,8.90625,9.0,8.5,7.932800769805908,136600,0.0,
2000-08-30 00:00:00+00:00,9.0,9.25,8.75,8.159452438354492,152300,0.0,
2000-08-31 00:00:00+00:00,9.125,10.0,9.0,8.61275577545166,244000,0.0,
2000-09-01 00:00:00+00:00,9.625,11.375,9.59375,10.029327392578123,346600,0.0,
2000-09-05 00:00:00+00:00,11.25,11.5,10.5,9.576024055480955,396700,0.0,
