date,WFC-PL_Open,WFC-PL_High,WFC-PL_Low,WFC-PL_Close,WFC-PL_Volume,WFC-PL_Dividends,WFC-PL_Stock Splits
2009-01-02 00:00:00+00:00,746.25,782.5,746.25,285.77374267578125,5800,0.0,
2009-01-05 00:00:00+00:00,780.0,785.0,762.5,283.9418334960937,69975,0.0,
2009-01-06 00:00:00+00:00,780.0,795.0,773.75,283.9418334960937,98595,0.0,
2009-01-07 00:00:00+00:00,780.0,780.0,760.0,280.278076171875,69200,0.0,
2009-01-08 00:00:00+00:00,760.0,763.0,750.0,274.7823181152344,69300,0.0,
2009-01-09 00:00:00+00:00,750.0,755.0,745.0,272.9504089355469,11000,0.0,
2009-01-12 00:00:00+00:00,752.5,752.5,722.5,264.70703125,46462,0.0,
2009-01-13 00:00:00+00:00,725.0,735.0,720.0,265.6230163574219,9612,0.0,
2009-01-14 00:00:00+00:00,725.010009765625,725.010009765625,692.5,258.29541015625,48946,0.0,
2009-01-15 00:00:00+00:00,685.0,685.0,630.0,238.144775390625,28605,0.0,
2009-01-16 00:00:00+00:00,680.0,680.0,610.0,230.8172607421875,25400,0.0,
2009-01-20 00:00:00+00:00,575.0,575.0,480.0,175.86073303222656,48721,0.0,
2009-01-21 00:00:00+00:00,527.5,570.0,515.0,208.8346099853516,63546,0.0,
2009-01-22 00:00:00+00:00,550.0,570.0,545.0,201.50706481933597,9700,0.0,
2009-01-23 00:00:00+00:00,550.0,550.0,540.0,197.84326171875,20855,0.0,
2009-01-26 00:00:00+00:00,582.0,582.0,540.0,208.8346099853516,7558,0.0,
2009-01-27 00:00:00+00:00,550.0,575.0,547.5,210.66651916503903,48917,0.0,
2009-01-28 00:00:00+00:00,630.0,665.0,617.5,236.31285095214844,83695,0.0,
2009-01-29 00:00:00+00:00,650.0,650.0,636.0,233.56494140625,5050,0.0,
2009-01-30 00:00:00+00:00,640.0,643.0,620.0,233.3817901611328,20014,0.0,
2009-02-02 00:00:00+00:00,634.7999877929688,635.0,590.0,216.52854919433597,21789,0.0,
