date,CCI_Open,CCI_High,CCI_Low,CCI_Close,CCI_Volume,CCI_Dividends,CCI_Stock Splits
1998-08-18 00:00:00+00:00,12.875,13.125,12.875,8.706791877746582,5783000,0.0,
1998-08-19 00:00:00+00:00,13.0,13.25,13.0,8.706791877746582,388700,0.0,
1998-08-20 00:00:00+00:00,13.125,13.25,13.0,8.706791877746582,348500,0.0,
1998-08-21 00:00:00+00:00,13.0,13.0,13.0,8.706791877746582,804000,0.0,
1998-08-24 00:00:00+00:00,13.0,13.0,13.0,8.706791877746582,119700,0.0,
1998-08-25 00:00:00+00:00,13.0,13.0,12.875,8.706791877746582,294100,0.0,
1998-08-26 00:00:00+00:00,13.0,13.0,12.125,8.20448112487793,383800,0.0,
1998-08-27 00:00:00+00:00,12.25,12.375,10.75,7.451007843017578,435300,0.0,
1998-08-28 00:00:00+00:00,11.375,11.375,10.0,6.697532653808594,192400,0.0,
1998-08-31 00:00:00+00:00,10.0,10.125,7.625,5.441746234893799,150800,0.0,
1998-09-01 00:00:00+00:00,8.25,9.0,6.6875,5.692905426025391,440700,0.0,
1998-09-02 00:00:00+00:00,8.5,10.5,8.5,6.404515743255615,509200,0.0,
1998-09-03 00:00:00+00:00,9.75,9.75,8.5,5.860342979431152,165900,0.0,
1998-09-04 00:00:00+00:00,9.0,9.0,8.125,5.609184265136719,155700,0.0,
1998-09-08 00:00:00+00:00,9.0,10.0,8.75,6.613815307617188,149300,0.0,
1998-09-09 00:00:00+00:00,9.875,10.0,9.5,6.3626580238342285,116900,0.0,
1998-09-10 00:00:00+00:00,9.375,9.375,9.0,6.195219993591309,80700,0.0,
1998-09-11 00:00:00+00:00,9.3125,9.375,9.0,6.027781009674072,84800,0.0,
1998-09-14 00:00:00+00:00,9.25,9.625,9.0,6.027781009674072,90800,0.0,
1998-09-15 00:00:00+00:00,9.125,9.25,8.625,5.860342979431152,200400,0.0,
1998-09-16 00:00:00+00:00,8.75,8.75,7.75,5.2743072509765625,221300,0.0,
1998-09-17 00:00:00+00:00,7.875,8.625,7.875,5.546395301818848,87300,0.0,
1998-09-18 00:00:00+00:00,8.375,8.6875,7.75,5.525465488433838,147300,0.0,
1998-09-21 00:00:00+00:00,7.875,8.0,6.875,4.6882734298706055,472900,0.0,
1998-09-22 00:00:00+00:00,7.125,8.125,7.0625,5.358026504516602,728300,0.0,
1998-09-23 00:00:00+00:00,8.25,8.625,8.0,5.609184265136719,382500,0.0,
1998-09-24 00:00:00+00:00,8.5,9.375,8.5,6.069640636444092,280800,0.0,
1998-09-25 00:00:00+00:00,8.75,9.4375,8.75,6.278937339782715,44400,0.0,
1998-09-28 00:00:00+00:00,9.5,9.875,9.375,6.278937339782715,26500,0.0,
1998-09-29 00:00:00+00:00,9.5,9.75,9.25,6.38358736038208,88300,0.0,
1998-09-30 00:00:00+00:00,9.5,10.0625,9.375,6.446375370025635,172300,0.0,
1998-10-01 00:00:00+00:00,9.625,9.625,8.875,5.944060802459717,85500,0.0,
1998-10-02 00:00:00+00:00,8.875,9.25,8.875,5.944060802459717,58700,0.0,
1998-10-05 00:00:00+00:00,8.75,8.875,8.0,5.358026504516602,63000,0.0,
1998-10-06 00:00:00+00:00,9.0,9.125,8.0,5.609184265136719,129500,0.0,
1998-10-07 00:00:00+00:00,8.375,8.625,7.8125,5.232448101043701,340400,0.0,
1998-10-08 00:00:00+00:00,7.75,7.8125,6.0,4.227818012237549,346800,0.0,
1998-10-09 00:00:00+00:00,7.0,7.125,6.125,4.185959339141846,271500,0.0,
1998-10-12 00:00:00+00:00,6.5,6.5,6.0,4.185959339141846,660400,0.0,
1998-10-13 00:00:00+00:00,6.25,7.5,6.25,4.6882734298706055,228600,0.0,
1998-10-14 00:00:00+00:00,6.875,7.625,6.875,5.106868743896484,46400,0.0,
1998-10-15 00:00:00+00:00,7.5,7.625,7.375,5.065009117126465,44100,0.0,
1998-10-16 00:00:00+00:00,7.8125,8.375,7.5,5.2743072509765625,421600,0.0,
1998-10-19 00:00:00+00:00,8.125,8.5625,8.0,5.734762191772461,50600,0.0,
1998-10-20 00:00:00+00:00,8.625,9.5,8.5,6.278937339782715,354800,0.0,
1998-10-21 00:00:00+00:00,9.4375,10.375,9.4375,6.697532653808594,156000,0.0,
1998-10-22 00:00:00+00:00,10.125,11.5,10.0,7.66030216217041,134600,0.0,
1998-10-23 00:00:00+00:00,11.625,13.125,11.375,8.706791877746582,411400,0.0,
1998-10-26 00:00:00+00:00,13.0,13.0,12.625,8.539353370666504,125500,0.0,
1998-10-27 00:00:00+00:00,12.875,13.375,12.375,8.330056190490723,417500,0.0,
1998-10-28 00:00:00+00:00,12.375,12.75,12.25,8.539353370666504,53000,0.0,
1998-10-29 00:00:00+00:00,12.625,13.0625,11.75,8.037046432495117,280000,0.0,
1998-10-30 00:00:00+00:00,12.0,12.875,11.875,8.623075485229492,198600,0.0,
1998-11-02 00:00:00+00:00,12.9375,13.3125,12.625,8.623075485229492,105900,0.0,
1998-11-03 00:00:00+00:00,12.8125,12.875,12.625,8.539353370666504,24900,0.0,
1998-11-04 00:00:00+00:00,12.875,12.875,12.25,8.371918678283691,105800,0.0,
1998-11-05 00:00:00+00:00,12.5,13.25,12.3125,8.874234199523926,81800,0.0,
1998-11-06 00:00:00+00:00,13.25,13.3125,12.875,8.874234199523926,55600,0.0,
1998-11-09 00:00:00+00:00,12.875,13.3125,12.75,8.874234199523926,84200,0.0,
1998-11-10 00:00:00+00:00,13.25,13.3125,12.875,8.706791877746582,22600,0.0,
1998-11-11 00:00:00+00:00,12.875,13.125,12.625,8.539353370666504,22200,0.0,
1998-11-12 00:00:00+00:00,12.75,12.75,12.25,8.371918678283691,23700,0.0,
1998-11-13 00:00:00+00:00,12.5625,12.5625,10.5,7.91146183013916,96600,0.0,
1998-11-16 00:00:00+00:00,11.6875,12.25,11.25,7.7021636962890625,70500,0.0,
1998-11-17 00:00:00+00:00,11.75,12.0,11.125,7.869600772857666,188500,0.0,
1998-11-18 00:00:00+00:00,11.5,12.0,11.5,7.995180606842041,22500,0.0,
1998-11-19 00:00:00+00:00,12.0,12.0,10.75,7.283570289611816,41700,0.0,
1998-11-20 00:00:00+00:00,11.0,11.0,9.875,7.116127967834473,148500,0.0,
1998-11-23 00:00:00+00:00,10.75,12.5,10.75,7.785882949829102,151200,0.0,
1998-11-24 00:00:00+00:00,11.4375,11.4375,11.1875,7.576583862304687,33400,0.0,
1998-11-25 00:00:00+00:00,11.375,12.625,11.1875,8.037046432495117,66200,0.0,
1998-11-27 00:00:00+00:00,11.875,13.25,11.875,8.664935111999512,203200,0.0,
1998-11-30 00:00:00+00:00,13.25,13.625,12.875,8.999811172485352,265900,0.0,
1998-12-01 00:00:00+00:00,13.25,13.5,12.625,8.916090965270996,73100,0.0,
1998-12-02 00:00:00+00:00,13.125,13.75,12.9375,8.916090965270996,142400,0.0,
1998-12-03 00:00:00+00:00,13.5,13.625,13.25,9.125391006469728,100000,0.0,
1998-12-04 00:00:00+00:00,14.375,16.625,13.9375,10.96721363067627,377200,0.0,
1998-12-07 00:00:00+00:00,16.5,16.75,15.5,10.506754875183104,193400,0.0,
1998-12-08 00:00:00+00:00,15.875,15.9375,14.875,10.171879768371582,140300,0.0,
1998-12-09 00:00:00+00:00,14.75,19.375,14.75,11.804404258728027,412500,0.0,
1998-12-10 00:00:00+00:00,17.75,17.875,16.625,11.343947410583496,200200,0.0,
1998-12-11 00:00:00+00:00,16.5,16.625,15.125,10.674198150634766,227800,0.0,
1998-12-14 00:00:00+00:00,16.0,16.25,15.25,10.213737487792969,84400,0.0,
1998-12-15 00:00:00+00:00,16.125,16.375,15.0,10.695124626159668,276900,0.0,
1998-12-16 00:00:00+00:00,15.9375,17.0,15.75,11.302087783813477,226900,0.0,
1998-12-17 00:00:00+00:00,17.125,17.25,16.75,11.42766571044922,222700,0.0,
1998-12-18 00:00:00+00:00,17.25,17.25,16.875,11.38581085205078,47500,0.0,
1998-12-21 00:00:00+00:00,17.125,19.0,16.875,12.390439987182615,145100,0.0,
1998-12-22 00:00:00+00:00,18.8125,18.8125,17.75,11.992773056030272,652100,0.0,
1998-12-23 00:00:00+00:00,18.375,18.75,17.75,12.390439987182615,340000,0.0,
1998-12-24 00:00:00+00:00,18.375,18.75,17.875,12.055562019348145,27100,0.0,
1998-12-28 00:00:00+00:00,18.1875,20.0,17.875,13.395065307617188,139100,0.0,
1998-12-29 00:00:00+00:00,20.125,20.875,18.5,13.98110294342041,103600,0.0,
1998-12-30 00:00:00+00:00,20.625,21.25,20.25,13.98110294342041,28700,0.0,
1998-12-31 00:00:00+00:00,21.0625,23.5,20.875,15.739201545715332,96100,0.0,
1999-01-04 00:00:00+00:00,23.0,23.5,20.0,14.106682777404783,199200,0.0,
1999-01-05 00:00:00+00:00,20.5625,20.6875,19.8125,13.353206634521484,116900,0.0,
1999-01-06 00:00:00+00:00,19.875,22.0,19.875,13.897381782531738,160300,0.0,
1999-01-07 00:00:00+00:00,21.0,23.25,20.25,15.06945514678955,211200,0.0,
1999-01-08 00:00:00+00:00,23.25,23.5,22.375,15.006657600402832,94600,0.0,
1999-01-11 00:00:00+00:00,22.5,22.5,21.75,14.650858879089355,37200,0.0,
1999-01-12 00:00:00+00:00,22.0625,22.0625,20.25,14.0648193359375,79800,0.0,
1999-01-13 00:00:00+00:00,19.75,20.875,19.25,13.562503814697266,113400,0.0,
1999-01-14 00:00:00+00:00,20.5,21.25,20.25,14.022961616516112,212300,0.0,
1999-01-15 00:00:00+00:00,20.625,21.75,20.625,14.567140579223633,42700,0.0,
1999-01-19 00:00:00+00:00,21.75,22.875,21.125,14.818292617797852,178900,0.0,
1999-01-20 00:00:00+00:00,22.25,22.9375,22.25,15.236891746520996,104800,0.0,
1999-01-21 00:00:00+00:00,22.4375,22.5,21.5,14.399696350097656,128100,0.0,
1999-01-22 00:00:00+00:00,21.125,21.25,19.875,13.395065307617188,72800,0.0,
1999-01-25 00:00:00+00:00,20.0,21.625,19.5,14.48341464996338,70400,0.0,
1999-01-26 00:00:00+00:00,21.875,22.75,21.0,14.399696350097656,123800,0.0,
1999-01-27 00:00:00+00:00,21.75,22.25,20.75,14.441553115844728,15000,0.0,
1999-01-28 00:00:00+00:00,21.625,22.0,21.0,14.31597900390625,31000,0.0,
1999-01-29 00:00:00+00:00,21.625,21.75,21.375,14.48341464996338,51900,0.0,
1999-02-01 00:00:00+00:00,21.625,21.75,21.375,14.441553115844728,73100,0.0,
1999-02-02 00:00:00+00:00,21.5625,22.0,21.5625,14.650858879089355,13300,0.0,
1999-02-03 00:00:00+00:00,22.25,22.25,21.5,14.48341464996338,9800,0.0,
1999-02-04 00:00:00+00:00,21.375,21.75,21.375,14.567140579223633,28800,0.0,
1999-02-05 00:00:00+00:00,21.75,22.0,21.375,14.567140579223633,25400,0.0,
1999-02-08 00:00:00+00:00,21.875,23.125,21.25,14.567140579223633,193600,0.0,
1999-02-09 00:00:00+00:00,21.5,21.75,21.0,14.148540496826172,23800,0.0,
1999-02-10 00:00:00+00:00,21.125,21.5,20.75,14.0648193359375,5400,0.0,
1999-02-11 00:00:00+00:00,21.375,21.5,19.5,13.185769081115724,96500,0.0,
1999-02-12 00:00:00+00:00,19.6875,19.6875,18.125,12.55787467956543,85500,0.0,
1999-02-16 00:00:00+00:00,19.375,19.375,18.0,12.725316047668455,78800,0.0,
1999-02-17 00:00:00+00:00,19.125,19.125,17.5,12.306718826293944,28400,0.0,
1999-02-18 00:00:00+00:00,18.375,19.0625,18.0,12.55787467956543,32400,0.0,
1999-02-19 00:00:00+00:00,18.75,19.0,18.625,12.474157333374023,122500,0.0,
1999-02-22 00:00:00+00:00,19.125,19.125,18.9375,12.68345546722412,97000,0.0,
1999-02-23 00:00:00+00:00,19.125,19.125,18.75,12.641595840454102,13100,0.0,
1999-02-24 00:00:00+00:00,18.875,19.125,18.875,12.68345546722412,190100,0.0,
1999-02-25 00:00:00+00:00,18.9375,19.125,18.625,12.80903148651123,17300,0.0,
1999-02-26 00:00:00+00:00,19.0,19.0,17.0,11.38581085205078,173400,0.0,
1999-03-01 00:00:00+00:00,17.0,17.25,16.625,11.553245544433594,31700,0.0,
1999-03-02 00:00:00+00:00,17.125,17.25,17.0,11.469524383544922,131700,0.0,
1999-03-03 00:00:00+00:00,17.125,17.3125,17.0,11.469524383544922,117400,0.0,
1999-03-04 00:00:00+00:00,17.25,18.125,17.125,12.139281272888184,247600,0.0,
1999-03-05 00:00:00+00:00,18.375,18.8125,18.25,12.474157333374023,66100,0.0,
1999-03-08 00:00:00+00:00,18.875,19.0,18.375,12.641595840454102,378000,0.0,
1999-03-09 00:00:00+00:00,21.0,21.5,19.25,12.976469039916992,535500,0.0,
1999-03-10 00:00:00+00:00,19.5,19.5,18.0,12.139281272888184,158000,0.0,
1999-03-11 00:00:00+00:00,18.0,18.5625,17.8125,12.097419738769531,508800,0.0,
1999-03-12 00:00:00+00:00,18.0,18.875,17.75,12.432295799255373,235200,0.0,
1999-03-15 00:00:00+00:00,18.375,19.9375,18.375,13.353206634521484,231800,0.0,
1999-03-16 00:00:00+00:00,20.0,20.0625,19.375,13.395065307617188,57300,0.0,
1999-03-17 00:00:00+00:00,20.0,20.0625,19.0,13.332282066345217,56600,0.0,
1999-03-18 00:00:00+00:00,19.5,19.75,18.75,12.89275074005127,390700,0.0,
1999-03-19 00:00:00+00:00,19.375,19.375,18.75,12.641595840454102,44100,0.0,
1999-03-22 00:00:00+00:00,19.25,19.25,18.75,12.68345546722412,122100,0.0,
1999-03-23 00:00:00+00:00,18.875,19.0625,18.25,12.223003387451172,361500,0.0,
1999-03-24 00:00:00+00:00,18.5,18.5,18.125,12.306718826293944,2900,0.0,
1999-03-25 00:00:00+00:00,18.375,18.5,18.0,12.139281272888184,197300,0.0,
1999-03-26 00:00:00+00:00,18.0,18.25,18.0,12.055562019348145,24600,0.0,
1999-03-29 00:00:00+00:00,18.0,18.5,18.0,12.306718826293944,516800,0.0,
1999-03-30 00:00:00+00:00,18.375,18.5,17.875,12.055562019348145,129800,0.0,
1999-03-31 00:00:00+00:00,17.875,18.0625,17.5,12.055562019348145,311300,0.0,
1999-04-01 00:00:00+00:00,18.0625,19.40625,17.9375,12.725316047668455,47100,0.0,
1999-04-05 00:00:00+00:00,19.0,19.0,18.0,12.139281272888184,26200,0.0,
1999-04-06 00:00:00+00:00,18.125,18.125,17.5,12.013705253601074,75300,0.0,
1999-04-07 00:00:00+00:00,18.375,18.375,17.875,12.118350982666016,139200,0.0,
1999-04-08 00:00:00+00:00,18.0625,18.375,18.0625,12.24392795562744,70700,0.0,
1999-04-09 00:00:00+00:00,18.25,18.3125,18.25,12.223003387451172,46200,0.0,
1999-04-12 00:00:00+00:00,18.1875,18.3125,18.0625,12.181138038635254,47700,0.0,
1999-04-13 00:00:00+00:00,18.0625,18.3125,18.0625,12.223003387451172,166300,0.0,
1999-04-14 00:00:00+00:00,18.3125,18.3125,18.0,12.055562019348145,177700,0.0,
1999-04-15 00:00:00+00:00,17.9375,17.9375,17.25,11.804404258728027,114000,0.0,
1999-04-16 00:00:00+00:00,17.375,17.75,17.0,11.469524383544922,291000,0.0,
1999-04-19 00:00:00+00:00,17.125,17.5,17.0,11.469524383544922,140300,0.0,
1999-04-20 00:00:00+00:00,17.125,17.25,16.375,11.364877700805664,71600,0.0,
1999-04-21 00:00:00+00:00,17.0,18.25,16.8125,12.181138038635254,227000,0.0,
1999-04-22 00:00:00+00:00,18.25,18.625,18.0,12.348577499389648,425500,0.0,
1999-04-23 00:00:00+00:00,18.4375,18.875,18.3125,12.55787467956543,285200,0.0,
1999-04-26 00:00:00+00:00,18.8125,19.125,18.5,12.725316047668455,150900,0.0,
1999-04-27 00:00:00+00:00,19.125,19.1875,19.0,12.85089111328125,30500,0.0,
1999-04-28 00:00:00+00:00,19.25,19.5625,19.0,13.060192108154297,450000,0.0,
1999-04-29 00:00:00+00:00,19.5,19.5,18.75,12.55787467956543,342500,0.0,
1999-04-30 00:00:00+00:00,18.5,19.125,18.5,12.80903148651123,57500,0.0,
1999-05-03 00:00:00+00:00,19.125,19.125,18.875,12.725316047668455,32100,0.0,
1999-05-04 00:00:00+00:00,19.375,20.25,19.125,13.436927795410156,722200,0.0,
1999-05-05 00:00:00+00:00,20.125,20.625,19.9375,13.646222114562988,441800,0.0,
1999-05-06 00:00:00+00:00,20.4375,20.875,20.25,13.77180004119873,818800,0.0,
1999-05-07 00:00:00+00:00,20.6875,21.125,20.3125,13.688085556030272,346400,0.0,
1999-05-10 00:00:00+00:00,20.375,20.375,18.4375,12.68345546722412,341100,0.0,
1999-05-11 00:00:00+00:00,18.5625,18.75,18.0,12.181138038635254,909400,0.0,
1999-05-12 00:00:00+00:00,17.5,18.625,17.125,12.223003387451172,10559800,0.0,
1999-05-13 00:00:00+00:00,18.875,20.25,18.75,13.311345100402832,3129700,0.0,
1999-05-14 00:00:00+00:00,19.75,19.875,18.625,13.060192108154297,1212300,0.0,
