date,APAM_Open,APAM_High,APAM_Low,APAM_Close,APAM_Volume,APAM_Dividends,APAM_Stock Splits
2013-03-07 00:00:00+00:00,35.20000076293945,39.5,35.13999938964844,14.778104782104492,8054700,0.0,
2013-03-08 00:00:00+00:00,38.4900016784668,41.88999938964844,36.810001373291016,14.709607124328612,1143400,0.0,
2013-03-11 00:00:00+00:00,38.83000183105469,38.83000183105469,36.43000030517578,13.98268699645996,580100,0.0,
2013-03-12 00:00:00+00:00,37.0,37.97999954223633,36.04999923706055,14.230059623718262,305300,0.0,
2013-03-13 00:00:00+00:00,37.119998931884766,37.45000076293945,37.0,14.252901077270508,54400,0.0,
2013-03-14 00:00:00+00:00,37.27999877929688,38.040000915527344,37.27999877929688,14.329015731811523,81800,0.0,
2013-03-15 00:00:00+00:00,39.52000045776367,39.52000045776367,37.04999923706055,14.100662231445312,264700,0.0,
2013-03-18 00:00:00+00:00,36.65999984741211,37.290000915527344,36.65999984741211,14.039772987365724,146200,0.0,
2013-03-19 00:00:00+00:00,36.880001068115234,37.27999877929688,36.5,14.035968780517578,104600,0.0,
2013-03-20 00:00:00+00:00,37.0099983215332,37.08000183105469,36.54999923706055,14.016937255859377,297100,0.0,
2013-03-21 00:00:00+00:00,36.900001525878906,37.84000015258789,36.52999877929688,14.36707592010498,224100,0.0,
2013-03-22 00:00:00+00:00,38.0,38.27000045776367,37.619998931884766,14.412744522094728,167100,0.0,
2013-03-25 00:00:00+00:00,38.11000061035156,38.13999938964844,37.59999847412109,14.477441787719728,121400,0.0,
2013-03-26 00:00:00+00:00,38.0099983215332,38.150001525878906,37.72999954223633,14.450800895690918,231800,0.0,
2013-03-27 00:00:00+00:00,37.970001220703125,38.34000015258789,37.880001068115234,14.500276565551758,122600,0.0,
2013-03-28 00:00:00+00:00,38.310001373291016,39.84999847412109,37.959999084472656,15.014062881469728,148500,0.0,
2013-04-01 00:00:00+00:00,39.45000076293945,40.18999862670898,39.02000045776367,14.991233825683594,147000,0.0,
2013-04-02 00:00:00+00:00,39.63999938964844,39.84999847412109,38.810001373291016,15.09779167175293,90200,0.0,
2013-04-03 00:00:00+00:00,40.0,40.0,39.72999954223633,15.166300773620604,150200,0.0,
