date,MOG-A_Open,MOG-A_High,MOG-A_Low,MOG-A_Close,MOG-A_Volume,MOG-A_Dividends,MOG-A_Stock Splits
1980-05-29 00:00:00+00:00,0.0,2.0493829250335693,2.0493829250335693,1.827691912651062,506,0.0,
1980-05-30 00:00:00+00:00,0.0,2.0,2.0,1.7836509943008425,1519,0.0,
1980-06-02 00:00:00+00:00,0.0,2.0493829250335693,2.0,1.7836509943008425,1013,0.0,
1980-06-03 00:00:00+00:00,0.0,1.975309014320373,1.975309014320373,1.761630892753601,1013,0.0,
1980-06-04 00:00:00+00:00,1.975309014320373,1.975309014320373,1.975309014320373,1.761630892753601,0,0.0,
1980-06-05 00:00:00+00:00,1.975309014320373,1.975309014320373,1.975309014320373,1.761630892753601,0,0.0,
1980-06-06 00:00:00+00:00,1.975309014320373,1.975309014320373,1.975309014320373,1.761630892753601,0,0.0,
1980-06-09 00:00:00+00:00,0.0,2.0,1.975309014320373,1.761630892753601,3544,0.0,
1980-06-10 00:00:00+00:00,0.0,1.975309014320373,1.975309014320373,1.761630892753601,1013,0.0,
1980-06-11 00:00:00+00:00,0.0,1.975309014320373,1.975309014320373,1.761630892753601,1013,0.0,
1980-06-12 00:00:00+00:00,0.0,2.0,2.0,1.7836509943008425,506,0.0,
1980-06-13 00:00:00+00:00,0.0,2.0,1.975309014320373,1.7836509943008425,5569,0.0,
1980-06-16 00:00:00+00:00,0.0,2.0,2.0,1.7836509943008425,4050,0.0,
1980-06-17 00:00:00+00:00,0.0,2.024691104888916,1.975309014320373,1.8056713342666624,10631,0.0,
1980-06-18 00:00:00+00:00,0.0,2.0,2.0,1.7836509943008425,5063,0.0,
1980-06-19 00:00:00+00:00,0.0,2.024691104888916,2.0,1.7836509943008425,3038,0.0,
1980-06-20 00:00:00+00:00,0.0,2.0,1.975309014320373,1.761630892753601,2025,0.0,
1980-06-23 00:00:00+00:00,0.0,2.0493829250335693,2.024691104888916,1.8056713342666624,23288,0.0,
1980-06-24 00:00:00+00:00,0.0,2.0740740299224854,2.024691104888916,1.8497121334075928,504225,0.0,
