date,TEO_Open,TEO_High,TEO_Low,TEO_Close,TEO_Volume,TEO_Dividends,TEO_Stock Splits
1994-12-09 00:00:00+00:00,26.875,26.875,26.1875,10.23370361328125,181600,0.0,
1994-12-12 00:00:00+00:00,26.1875,26.25,26.0,10.23370361328125,149600,0.0,
1994-12-13 00:00:00+00:00,26.25,26.5,26.1875,10.306974411010742,82400,0.0,
1994-12-14 00:00:00+00:00,26.375,26.8125,26.1875,10.477941513061523,91800,0.0,
1994-12-15 00:00:00+00:00,26.75,26.75,26.5,10.40467357635498,43400,0.0,
1994-12-16 00:00:00+00:00,26.6875,27.0,26.6875,10.551217079162598,30600,0.0,
1994-12-19 00:00:00+00:00,26.1875,26.1875,25.9375,10.2366361618042,97000,0.201,
1994-12-20 00:00:00+00:00,26.0625,26.0625,25.25,9.9413480758667,82400,0.0,
1994-12-21 00:00:00+00:00,25.3125,25.3125,23.625,9.6460599899292,200400,0.0,
1994-12-22 00:00:00+00:00,22.375,23.8125,22.375,9.375381469726562,481600,0.0,
1994-12-23 00:00:00+00:00,24.25,24.875,24.25,9.6460599899292,415600,0.0,
1994-12-27 00:00:00+00:00,24.3125,24.3125,23.25,9.203130722045898,272800,0.0,
1994-12-28 00:00:00+00:00,24.0,24.375,23.75,9.596848487854004,209200,0.0,
1994-12-29 00:00:00+00:00,24.875,25.75,24.625,10.088994026184082,237400,0.0,
1994-12-30 00:00:00+00:00,25.75,25.875,25.625,10.187423706054688,54000,0.0,
1995-01-03 00:00:00+00:00,25.75,25.75,25.25,9.990565299987791,43600,0.0,
1995-01-04 00:00:00+00:00,25.25,25.25,24.125,9.695273399353027,600200,0.0,
1995-01-05 00:00:00+00:00,24.875,25.0625,24.75,9.842917442321776,247600,0.0,
1995-01-06 00:00:00+00:00,25.125,25.125,24.75,9.744491577148438,249200,0.0,
1995-01-09 00:00:00+00:00,24.75,24.75,24.25,9.621453285217283,384600,0.0,
1995-01-10 00:00:00+00:00,24.375,24.375,22.5,8.8832368850708,657000,0.0,
1995-01-11 00:00:00+00:00,22.375,23.75,22.1875,9.350775718688965,940400,0.0,
1995-01-12 00:00:00+00:00,24.25,25.125,23.9375,9.867526054382324,491800,0.0,
1995-01-13 00:00:00+00:00,25.5,26.1875,25.375,10.2366361618042,343600,0.0,
1995-01-16 00:00:00+00:00,25.875,25.9375,25.5,10.088994026184082,60000,0.0,
1995-01-17 00:00:00+00:00,25.75,25.9375,25.375,10.16281509399414,171000,0.0,
1995-01-18 00:00:00+00:00,25.9375,25.9375,24.875,9.842917442321776,69200,0.0,
1995-01-19 00:00:00+00:00,24.75,24.75,23.875,9.596848487854004,121800,0.0,
1995-01-20 00:00:00+00:00,24.4375,24.4375,23.25,9.449206352233888,200800,0.0,
1995-01-23 00:00:00+00:00,23.0625,23.625,22.875,9.153915405273438,220800,0.0,
1995-01-24 00:00:00+00:00,23.125,23.6875,23.125,9.153915405273438,316200,0.0,
1995-01-25 00:00:00+00:00,23.125,23.3125,23.125,9.12930965423584,165400,0.0,
1995-01-26 00:00:00+00:00,23.4375,24.0625,23.3125,9.424595832824709,102000,0.0,
1995-01-27 00:00:00+00:00,24.0625,24.0625,23.0625,9.08009433746338,117200,0.0,
1995-01-30 00:00:00+00:00,23.0,23.0,21.6875,8.563340187072754,331600,0.0,
1995-01-31 00:00:00+00:00,22.0,24.25,21.625,9.498416900634766,537200,0.0,
1995-02-01 00:00:00+00:00,24.4375,24.4375,23.875,9.424595832824709,224400,0.0,
1995-02-02 00:00:00+00:00,23.8125,23.8125,23.3125,9.25234603881836,93400,0.0,
1995-02-03 00:00:00+00:00,23.625,24.125,23.4375,9.473810195922852,179200,0.0,
1995-02-06 00:00:00+00:00,24.0,24.0,23.5,9.326168060302734,77600,0.0,
