date,EXPE_Open,EXPE_High,EXPE_Low,EXPE_Close,EXPE_Volume,EXPE_Dividends,EXPE_Stock Splits
2005-07-21 00:00:00+00:00,48.220001220703125,49.20000076293945,47.84000015258789,31.64083671569824,109200,0.0,
2005-07-22 00:00:00+00:00,49.2400016784668,49.79999923706055,47.900001525878906,32.74733352661133,56800,0.0,
2005-07-25 00:00:00+00:00,49.79999923706055,49.79999923706055,48.29999923706055,31.93063163757324,39600,0.0,
2005-07-26 00:00:00+00:00,48.70000076293945,48.70000076293945,47.5,31.614482879638672,102450,0.0,
2005-07-27 00:00:00+00:00,48.0,48.2400016784668,47.29999923706055,31.706693649291992,98100,0.0,
2005-07-28 00:00:00+00:00,48.20000076293945,48.2400016784668,47.81999969482422,31.680355072021484,93600,0.0,
2005-07-29 00:00:00+00:00,48.20000076293945,48.70000076293945,47.70000076293945,32.06235885620117,60700,0.0,
2005-08-01 00:00:00+00:00,48.459999084472656,49.0,48.20000076293945,32.07552719116211,164950,0.0,
2005-08-02 00:00:00+00:00,52.0,52.0,47.27999877929688,31.680355072021484,299700,0.0,
2005-08-03 00:00:00+00:00,48.540000915527344,48.540000915527344,47.52000045776367,31.416902542114254,147750,0.0,
2005-08-04 00:00:00+00:00,47.540000915527344,47.77999877929688,46.70000076293945,31.08758544921875,141200,0.0,
2005-08-05 00:00:00+00:00,47.380001068115234,47.380001068115234,46.29999923706055,30.784610748291016,207050,0.0,
2005-08-08 00:00:00+00:00,47.0,47.29999923706055,42.52000045776367,29.638580322265625,6384200,0.0,
2005-08-09 00:00:00+00:00,46.540000915527344,47.70000076293945,45.040000915527344,31.416902542114254,4870350,0.0,
2005-08-10 00:00:00+00:00,48.380001068115234,49.040000915527344,47.34000015258789,31.219301223754883,2559000,0.0,
2005-08-11 00:00:00+00:00,47.15999984741211,47.560001373291016,45.560001373291016,30.125965118408203,1705150,0.0,
2005-08-12 00:00:00+00:00,45.459999084472656,45.5,43.0,29.375123977661133,1688950,0.0,
2005-08-15 00:00:00+00:00,45.0,45.15999984741211,42.59999847412109,28.24227523803711,1489850,0.0,
