date,FORD_Open,FORD_High,FORD_Low,FORD_Close,FORD_Volume,FORD_Dividends,FORD_Stock Splits
1994-11-17 00:00:00+00:00,11.25,11.25,11.25,11.25,210,,
1994-11-18 00:00:00+00:00,11.25,11.25,11.25,11.25,0,,
1994-11-21 00:00:00+00:00,11.25,11.25,11.25,11.25,0,,
1994-11-22 00:00:00+00:00,11.25,11.25,11.25,11.25,0,,
1994-11-23 00:00:00+00:00,20.0,20.0,20.0,20.0,100,,
1994-11-25 00:00:00+00:00,20.0,20.0,20.0,20.0,0,,
1994-11-28 00:00:00+00:00,20.0,20.0,20.0,20.0,0,,
1994-11-29 00:00:00+00:00,20.0,20.0,20.0,20.0,0,,
1994-11-30 00:00:00+00:00,20.0,20.0,20.0,20.0,0,,
1994-12-01 00:00:00+00:00,20.0,20.0,20.0,20.0,0,,
1994-12-02 00:00:00+00:00,20.0,20.0,20.0,20.0,0,,
1994-12-05 00:00:00+00:00,20.0,20.0,20.0,20.0,0,,
1994-12-06 00:00:00+00:00,20.0,20.0,20.0,20.0,0,,
1994-12-07 00:00:00+00:00,20.0,20.0,20.0,20.0,0,,
1994-12-08 00:00:00+00:00,20.0,20.0,20.0,20.0,0,,
1994-12-09 00:00:00+00:00,25.0,31.25,25.0,31.25,680,,
1994-12-12 00:00:00+00:00,31.25,31.25,31.25,31.25,0,,
1994-12-13 00:00:00+00:00,31.25,31.25,31.25,31.25,0,,
1994-12-14 00:00:00+00:00,31.25,31.25,31.25,31.25,0,,
1994-12-15 00:00:00+00:00,40.0,40.0,37.5,37.5,330,,
1994-12-16 00:00:00+00:00,27.5,27.5,27.5,27.5,50,,
1994-12-19 00:00:00+00:00,27.5,27.5,27.5,27.5,20,,
1994-12-20 00:00:00+00:00,27.5,27.5,27.5,27.5,500,,
1994-12-21 00:00:00+00:00,27.5,27.5,27.5,27.5,0,,
1994-12-22 00:00:00+00:00,30.0,30.0,30.0,30.0,160,,
1994-12-23 00:00:00+00:00,30.0,30.0,30.0,30.0,0,,
1994-12-27 00:00:00+00:00,30.0,30.0,30.0,30.0,0,,
1994-12-28 00:00:00+00:00,30.0,30.0,30.0,30.0,0,,
1994-12-29 00:00:00+00:00,30.0,30.0,30.0,30.0,0,,
1994-12-30 00:00:00+00:00,30.0,30.0,30.0,30.0,0,,
1995-01-03 00:00:00+00:00,31.25,31.25,31.25,31.25,50,,
1995-01-04 00:00:00+00:00,31.25,31.25,31.25,31.25,0,,
1995-01-05 00:00:00+00:00,31.25,31.25,31.25,31.25,0,,
1995-01-06 00:00:00+00:00,31.25,31.25,31.25,31.25,0,,
1995-01-09 00:00:00+00:00,31.25,31.25,31.25,31.25,0,,
1995-01-10 00:00:00+00:00,31.25,31.25,31.25,31.25,0,,
1995-01-11 00:00:00+00:00,31.25,31.25,31.25,31.25,0,,
1995-01-12 00:00:00+00:00,35.0,35.0,35.0,35.0,150,,
1995-01-13 00:00:00+00:00,33.75,33.75,33.75,33.75,60,,
1995-01-16 00:00:00+00:00,33.75,33.75,33.75,33.75,0,,
1995-01-17 00:00:00+00:00,33.75,33.75,33.75,33.75,0,,
1995-01-18 00:00:00+00:00,33.75,33.75,33.75,33.75,200,,
1995-01-19 00:00:00+00:00,35.0,35.0,26.25,31.25,1500,,
1995-01-20 00:00:00+00:00,30.0,30.625,29.375,30.625,550,,
1995-01-23 00:00:00+00:00,30.625,30.625,30.625,30.625,0,,
1995-01-24 00:00:00+00:00,30.625,30.625,30.625,30.625,0,,
1995-01-25 00:00:00+00:00,30.625,30.625,30.625,30.625,0,,
1995-01-26 00:00:00+00:00,30.625,30.625,30.625,30.625,0,,
1995-01-27 00:00:00+00:00,30.0,30.0,30.0,30.0,30,,
1995-01-30 00:00:00+00:00,30.0,30.0,30.0,30.0,790,,
1995-01-31 00:00:00+00:00,30.0,32.5,30.0,32.5,2450,,
1995-02-01 00:00:00+00:00,31.875,32.1875,31.5625,32.1875,3240,,
1995-02-02 00:00:00+00:00,25.0,32.5,25.0,30.3125,2200,,
1995-02-03 00:00:00+00:00,30.0,30.0,25.0,30.0,1710,,
1995-02-06 00:00:00+00:00,30.0,30.0,30.0,30.0,0,,
1995-02-07 00:00:00+00:00,30.625,32.5,30.625,32.5,3970,,
1995-02-08 00:00:00+00:00,31.25,32.5,30.0,32.5,900,,
1995-02-09 00:00:00+00:00,32.5,32.5,32.5,32.5,0,,
1995-02-10 00:00:00+00:00,32.5,32.5,32.5,32.5,200,,
1995-02-13 00:00:00+00:00,32.5,32.5,32.5,32.5,400,,
1995-02-14 00:00:00+00:00,32.5,32.5,31.875,32.5,440,,
1995-02-15 00:00:00+00:00,32.5,32.5,32.5,32.5,410,,
1995-02-16 00:00:00+00:00,30.0,32.5,30.0,32.5,220,,
1995-02-17 00:00:00+00:00,30.0,30.0,30.0,30.0,100,,
1995-02-21 00:00:00+00:00,30.0,30.0,30.0,30.0,0,,
