date,AMSWA_Open,AMSWA_High,AMSWA_Low,AMSWA_Close,AMSWA_Volume,AMSWA_Dividends,AMSWA_Stock Splits
1983-02-28 00:00:00+00:00,0.0,4.6913580894470215,4.592593193054199,1.525001049041748,449550,0.0,
1983-03-01 00:00:00+00:00,0.0,4.543210029602051,4.444444179534912,1.4758071899414062,307800,0.0,
1983-03-02 00:00:00+00:00,0.0,4.543210029602051,4.493826866149902,1.4922049045562744,169088,0.0,
1983-03-03 00:00:00+00:00,0.0,4.543210029602051,4.493826866149902,1.4922049045562744,339188,0.0,
1983-03-04 00:00:00+00:00,0.0,4.592593193054199,4.543210029602051,1.5086028575897217,532575,0.0,
1983-03-07 00:00:00+00:00,0.0,4.592593193054199,4.493826866149902,1.4922049045562744,118463,0.0,
1983-03-08 00:00:00+00:00,0.0,4.444444179534912,4.345678806304932,1.4430112838745115,138713,0.0,
1983-03-09 00:00:00+00:00,0.0,4.39506196975708,4.345678806304932,1.4430112838745115,58725,0.0,
1983-03-10 00:00:00+00:00,0.0,4.39506196975708,4.296296119689941,1.426613688468933,241988,0.0,
1983-03-11 00:00:00+00:00,0.0,4.345678806304932,4.246913909912109,1.4102153778076172,211106,0.0,
1983-03-14 00:00:00+00:00,0.0,4.296296119689941,4.246913909912109,1.4102153778076172,73406,0.0,
1983-03-15 00:00:00+00:00,0.0,4.444444179534912,4.345678806304932,1.4430112838745115,159469,0.0,
1983-03-16 00:00:00+00:00,0.0,4.790122985839844,4.641974925994873,1.5413981676101685,1073756,0.0,
1983-03-17 00:00:00+00:00,0.0,4.740740776062012,4.641974925994873,1.5413981676101685,105300,0.0,
1983-03-18 00:00:00+00:00,0.0,4.740740776062012,4.641974925994873,1.5413981676101685,88088,0.0,
1983-03-21 00:00:00+00:00,0.0,4.641974925994873,4.543210029602051,1.5086028575897217,43538,0.0,
1983-03-22 00:00:00+00:00,0.0,4.641974925994873,4.543210029602051,1.5086028575897217,97706,0.0,
1983-03-23 00:00:00+00:00,0.0,4.641974925994873,4.493826866149902,1.4922049045562744,26831,0.0,
1983-03-24 00:00:00+00:00,0.0,4.641974925994873,4.493826866149902,1.4922049045562744,56700,0.0,
1983-03-25 00:00:00+00:00,0.0,4.592593193054199,4.493826866149902,1.4922049045562744,196425,0.0,
1983-03-28 00:00:00+00:00,0.0,4.641974925994873,4.543210029602051,1.5086028575897217,87075,0.0,
1983-03-29 00:00:00+00:00,0.0,4.888888835906982,4.740740776062012,1.574193835258484,270844,0.0,
1983-03-30 00:00:00+00:00,0.0,4.888888835906982,4.740740776062012,1.574193835258484,85050,0.0,
1983-03-31 00:00:00+00:00,0.0,4.839506149291992,4.740740776062012,1.574193835258484,118463,0.0,
