date,KRC_Open,KRC_High,KRC_Low,KRC_Close,KRC_Volume,KRC_Dividends,KRC_Stock Splits
1997-01-29 00:00:00+00:00,25.0,25.75,24.875,7.023816108703613,4023000,0.0,
1997-01-30 00:00:00+00:00,25.375,25.375,25.0,7.023816108703613,830000,0.0,
1997-01-31 00:00:00+00:00,25.375,25.625,25.125,7.128131866455078,411300,0.0,
1997-02-03 00:00:00+00:00,25.875,25.875,25.25,7.128131866455078,279500,0.0,
1997-02-04 00:00:00+00:00,25.25,25.375,24.75,7.023816108703613,421200,0.0,
1997-02-05 00:00:00+00:00,25.25,25.625,25.125,7.023816108703613,153500,0.0,
1997-02-06 00:00:00+00:00,25.125,25.25,25.125,6.989046096801758,224900,0.0,
1997-02-07 00:00:00+00:00,25.125,25.5,25.125,7.023816108703613,174200,0.0,
1997-02-10 00:00:00+00:00,25.25,25.5,25.25,7.023816108703613,158900,0.0,
1997-02-11 00:00:00+00:00,25.25,25.375,25.25,7.023816108703613,96400,0.0,
1997-02-12 00:00:00+00:00,25.0,25.125,24.625,6.954275608062744,623200,0.0,
1997-02-13 00:00:00+00:00,25.0,25.125,24.875,6.954275608062744,227000,0.0,
1997-02-14 00:00:00+00:00,25.0,25.25,25.0,6.989046096801758,111700,0.0,
1997-02-18 00:00:00+00:00,25.0,25.125,24.875,6.91950273513794,118000,0.0,
1997-02-19 00:00:00+00:00,25.125,25.25,25.0,7.023816108703613,143200,0.0,
1997-02-20 00:00:00+00:00,25.125,25.375,25.125,7.023816108703613,116700,0.0,
1997-02-21 00:00:00+00:00,25.25,25.625,25.125,7.128131866455078,225600,0.0,
1997-02-24 00:00:00+00:00,25.5,26.375,25.5,7.301988124847412,252000,0.0,
1997-02-25 00:00:00+00:00,26.375,26.75,26.375,7.336762428283691,142900,0.0,
1997-02-26 00:00:00+00:00,26.125,26.25,25.75,7.232446193695068,173600,0.0,
1997-02-27 00:00:00+00:00,26.0,26.125,25.625,7.162903308868408,206700,0.0,
1997-02-28 00:00:00+00:00,26.0,26.25,26.0,7.301988124847412,165900,0.0,
1997-03-03 00:00:00+00:00,26.0,26.25,26.0,7.267218589782715,56500,0.0,
1997-03-04 00:00:00+00:00,26.0,26.625,25.875,7.371532917022705,128200,0.0,
1997-03-05 00:00:00+00:00,26.5,26.75,26.375,7.371532917022705,27900,0.0,
1997-03-06 00:00:00+00:00,26.5,26.5,26.25,7.301988124847412,13900,0.0,
1997-03-07 00:00:00+00:00,26.25,26.5,26.25,7.336762428283691,58500,0.0,
1997-03-10 00:00:00+00:00,26.375,27.0,26.375,7.510622501373291,114300,0.0,
1997-03-11 00:00:00+00:00,27.0,27.25,27.0,7.5801591873168945,106400,0.0,
1997-03-12 00:00:00+00:00,27.125,28.0,27.125,7.719248294830322,122700,0.0,
1997-03-13 00:00:00+00:00,27.75,28.375,27.625,7.823558807373047,183500,0.0,
1997-03-14 00:00:00+00:00,28.0,28.125,27.875,7.754017353057861,87800,0.0,
1997-03-17 00:00:00+00:00,28.0,28.0,27.375,7.754017353057861,200500,0.0,
1997-03-18 00:00:00+00:00,27.75,27.75,27.5,7.6497039794921875,66600,0.0,
1997-03-19 00:00:00+00:00,27.625,27.625,26.5,7.371532917022705,31200,0.0,
1997-03-20 00:00:00+00:00,26.5,26.625,26.375,7.336762428283691,36900,0.0,
1997-03-21 00:00:00+00:00,26.375,26.75,26.25,7.40630292892456,49800,0.0,
1997-03-24 00:00:00+00:00,26.75,26.875,26.625,7.475845813751221,22700,0.0,
