date,TWIN_Open,TWIN_High,TWIN_Low,TWIN_Close,TWIN_Volume,TWIN_Dividends,TWIN_Stock Splits
1980-03-17 00:00:00+00:00,0.0,4.21875,4.125,1.7181851863861084,2400,0.0,
1980-03-18 00:00:00+00:00,0.0,4.09375,4.0625,1.6921521425247192,1600,0.0,
1980-03-19 00:00:00+00:00,0.0,4.09375,4.09375,1.705168843269348,1200,0.0,
1980-03-20 00:00:00+00:00,0.0,4.09375,4.0,1.6661189794540403,6000,0.0,
1980-03-21 00:00:00+00:00,0.0,4.03125,4.0,1.6661189794540403,1200,0.0,
1980-03-24 00:00:00+00:00,0.0,4.03125,4.0,1.6661189794540403,6800,0.0,
1980-03-25 00:00:00+00:00,0.0,3.96875,3.90625,1.627069354057312,2800,0.0,
1980-03-26 00:00:00+00:00,0.0,3.90625,3.84375,1.6010366678237915,8400,0.0,
1980-03-27 00:00:00+00:00,0.0,3.78125,3.65625,1.522937893867493,8000,0.0,
1980-03-28 00:00:00+00:00,0.0,3.78125,3.75,1.575002670288086,4000,0.0,
1980-03-31 00:00:00+00:00,0.0,3.9375,3.8125,1.6010366678237915,21600,0.0,
1980-04-01 00:00:00+00:00,0.0,3.875,3.875,1.614052653312683,1200,0.0,
1980-04-02 00:00:00+00:00,0.0,3.96875,3.90625,1.627069354057312,2400,0.0,
1980-04-03 00:00:00+00:00,0.0,4.0,3.96875,1.6661189794540403,8000,0.0,
1980-04-07 00:00:00+00:00,0.0,4.03125,4.03125,1.679136872291565,400,0.0,
1980-04-08 00:00:00+00:00,0.0,4.0625,4.0625,1.6921521425247192,400,0.0,
1980-04-09 00:00:00+00:00,0.0,4.125,4.09375,1.705168843269348,1200,0.0,
1980-04-10 00:00:00+00:00,0.0,4.0625,4.0,1.6921521425247192,7200,0.0,
1980-04-11 00:00:00+00:00,0.0,4.0625,3.96875,1.679136872291565,4800,0.0,
1980-04-14 00:00:00+00:00,0.0,3.96875,3.96875,1.6531022787094116,400,0.0,
1980-04-15 00:00:00+00:00,0.0,3.9375,3.9375,1.640086054801941,4400,0.0,
1980-04-16 00:00:00+00:00,0.0,3.9375,3.90625,1.627069354057312,2400,0.0,
1980-04-17 00:00:00+00:00,0.0,4.0625,3.90625,1.6921521425247192,6000,0.0,
1980-04-18 00:00:00+00:00,0.0,4.0625,4.0625,1.6921521425247192,2000,0.0,
1980-04-21 00:00:00+00:00,0.0,4.0,4.0,1.6661189794540403,2000,0.0,
1980-04-22 00:00:00+00:00,0.0,4.0625,4.0625,1.6921521425247192,800,0.0,
1980-04-23 00:00:00+00:00,0.0,4.125,4.125,1.7181851863861084,800,0.0,
1980-04-24 00:00:00+00:00,0.0,4.125,4.125,1.7181851863861084,1600,0.0,
1980-04-25 00:00:00+00:00,0.0,4.125,4.0625,1.705168843269348,5600,0.0,
1980-04-28 00:00:00+00:00,0.0,4.0625,4.0,1.6661189794540403,3600,0.0,
1980-04-29 00:00:00+00:00,0.0,4.0,4.0,1.6661189794540403,800,0.0,
1980-04-30 00:00:00+00:00,0.0,4.0625,4.0625,1.6921521425247192,800,0.0,
1980-05-01 00:00:00+00:00,0.0,4.15625,4.15625,1.731202244758606,8800,0.0,
1980-05-02 00:00:00+00:00,0.0,4.1875,4.15625,1.7442190647125244,1600,0.0,
1980-05-05 00:00:00+00:00,0.0,4.0625,4.0625,1.6921521425247192,3600,0.0,
1980-05-06 00:00:00+00:00,0.0,4.0625,4.0625,1.6921521425247192,2400,0.0,
1980-05-07 00:00:00+00:00,4.0625,4.0625,4.0625,1.6921521425247192,0,0.0,
1980-05-08 00:00:00+00:00,0.0,4.125,4.0,1.6661189794540403,800,0.0,
1980-05-09 00:00:00+00:00,0.0,4.0625,4.0625,1.6921521425247192,1200,0.0,
1980-05-12 00:00:00+00:00,0.0,4.125,4.0625,1.6921521425247192,10000,0.0,
1980-05-13 00:00:00+00:00,0.0,4.125,4.0625,1.6921521425247192,2800,0.0,
