date,X_Open,X_High,X_Low,X_Close,X_Volume,X_Dividends,X_Stock Splits
1991-04-12 00:00:00+00:00,20.0,23.5,20.0,12.98898983001709,482100,0.0,
1991-04-15 00:00:00+00:00,23.125,26.125,23.125,14.84455680847168,392800,0.0,
1991-04-16 00:00:00+00:00,26.0,26.375,25.0,14.344982147216797,384300,0.0,
1991-04-17 00:00:00+00:00,25.5,26.25,25.5,14.701825141906738,205400,0.0,
1991-04-18 00:00:00+00:00,25.75,27.375,25.75,15.201397895812988,214000,0.0,
1991-04-19 00:00:00+00:00,26.625,26.875,26.125,15.130029678344728,138300,0.0,
1991-04-22 00:00:00+00:00,26.5,26.5,25.875,14.773188591003418,55100,0.0,
1991-04-23 00:00:00+00:00,25.875,26.125,25.25,14.701825141906738,123500,0.0,
1991-04-24 00:00:00+00:00,25.75,26.0,25.0,14.701825141906738,65000,0.0,
1991-04-25 00:00:00+00:00,25.625,25.625,25.25,14.416356086730955,99700,0.0,
1991-04-26 00:00:00+00:00,25.25,25.5,24.5,14.130874633789062,88600,0.0,
1991-04-29 00:00:00+00:00,24.75,24.75,22.875,13.060352325439451,78100,0.0,
1991-04-30 00:00:00+00:00,22.875,23.125,22.625,13.131723403930664,106200,0.0,
1991-05-01 00:00:00+00:00,23.0,25.25,23.0,14.416356086730955,89300,0.0,
1991-05-02 00:00:00+00:00,25.25,25.375,24.0,13.70266342163086,57500,0.0,
1991-05-03 00:00:00+00:00,24.0,24.25,23.25,13.845404624938965,77200,0.0,
1991-05-06 00:00:00+00:00,24.125,24.125,23.625,13.77403450012207,35800,0.0,
1991-05-07 00:00:00+00:00,23.5,24.0,22.375,12.774890899658203,466500,0.0,
1991-05-08 00:00:00+00:00,22.375,23.875,22.125,13.631292343139648,315900,0.0,
1991-05-09 00:00:00+00:00,24.125,25.125,24.125,14.202244758605955,324500,0.0,
1991-05-10 00:00:00+00:00,24.875,25.875,24.875,14.416356086730955,536400,0.0,
1991-05-13 00:00:00+00:00,25.25,25.75,25.125,14.701825141906738,172600,0.0,
