date,OPXS_Open,OPXS_High,OPXS_Low,OPXS_Close,OPXS_Volume,OPXS_Dividends,OPXS_Stock Splits
2010-05-03 00:00:00+00:00,74.0,74.0,61.0,56.2954216003418,152,0.0,
2010-05-04 00:00:00+00:00,65.0,70.0,65.0,64.60130310058594,28,0.0,
2010-05-05 00:00:00+00:00,70.0,70.0,61.0,56.2954216003418,8,0.0,
2010-05-06 00:00:00+00:00,61.0,70.0,61.0,64.60130310058594,136,0.0,
2010-05-07 00:00:00+00:00,61.0,61.0,60.0,55.37254333496094,32,0.0,
2010-05-10 00:00:00+00:00,58.0,60.0,53.0,55.37254333496094,26,0.0,
2010-05-11 00:00:00+00:00,60.0,60.0,60.0,55.37254333496094,10,0.0,
2010-05-12 00:00:00+00:00,60.0,65.0,60.0,59.98692321777344,44,0.0,
2010-05-13 00:00:00+00:00,60.0,60.0,42.0,44.298038482666016,380,0.0,
2010-05-14 00:00:00+00:00,50.0,60.0,46.0,55.37254333496094,113,0.0,
2010-05-17 00:00:00+00:00,65.0,70.0,60.0,64.60130310058594,104,0.0,
2010-05-18 00:00:00+00:00,70.0,70.0,56.0,64.60130310058594,192,0.0,
2010-05-19 00:00:00+00:00,69.0,70.0,60.0,64.60130310058594,67,0.0,
2010-05-20 00:00:00+00:00,70.0,70.0,55.0,64.60130310058594,30,0.0,
2010-05-21 00:00:00+00:00,63.0,65.0,55.0,50.75816345214844,54,0.0,
2010-05-24 00:00:00+00:00,60.0,70.0,56.0,51.68104553222656,23,0.0,
2010-05-25 00:00:00+00:00,56.0,60.0,56.0,55.37254333496094,25,0.0,
2010-05-26 00:00:00+00:00,50.0,70.0,50.0,46.1437873840332,193,0.0,
2010-05-27 00:00:00+00:00,60.0,60.0,60.0,55.37254333496094,15,0.0,
2010-05-28 00:00:00+00:00,50.0,60.0,50.0,55.37254333496094,18,0.0,
2010-06-01 00:00:00+00:00,55.0,55.0,55.0,50.75816345214844,1,0.0,
2010-06-02 00:00:00+00:00,50.0,50.0,50.0,46.1437873840332,5,0.0,
2010-06-03 00:00:00+00:00,46.0,50.0,46.0,42.45228958129883,49,0.0,
2010-06-04 00:00:00+00:00,50.0,55.0,50.0,50.75816345214844,19,0.0,
2010-06-07 00:00:00+00:00,46.0,46.0,46.0,42.45228958129883,5,0.0,
2010-06-08 00:00:00+00:00,46.0,50.0,46.0,46.1437873840332,72,0.0,
2010-06-09 00:00:00+00:00,47.0,47.0,46.0,42.45228958129883,23,0.0,
2010-06-10 00:00:00+00:00,46.0,46.0,46.0,42.45228958129883,12,0.0,
2010-06-11 00:00:00+00:00,46.0,49.0,46.0,45.22090911865234,26,0.0,
2010-06-14 00:00:00+00:00,49.0,49.0,46.0,42.45228958129883,5,0.0,
2010-06-15 00:00:00+00:00,46.0,49.0,45.0,45.22090911865234,62,0.0,
2010-06-16 00:00:00+00:00,49.0,49.0,46.0,42.45228958129883,14,0.0,
2010-06-17 00:00:00+00:00,46.0,48.0,45.0,44.298038482666016,28,0.0,
2010-06-18 00:00:00+00:00,44.0,44.0,44.0,40.606536865234375,18,0.0,
2010-06-21 00:00:00+00:00,48.0,48.0,44.0,44.298038482666016,9,0.0,
2010-06-22 00:00:00+00:00,44.0,44.0,44.0,40.606536865234375,8,0.0,
2010-06-23 00:00:00+00:00,45.0,45.0,45.0,41.52941131591797,16,0.0,
2010-06-24 00:00:00+00:00,45.0,45.0,45.0,41.52941131591797,0,0.0,
2010-06-25 00:00:00+00:00,44.0,45.0,44.0,41.52941131591797,10,0.0,
2010-06-28 00:00:00+00:00,45.0,45.0,45.0,41.52941131591797,6,0.0,
2010-06-29 00:00:00+00:00,45.0,47.0,45.0,43.37516021728516,80,0.0,
2010-06-30 00:00:00+00:00,47.0,55.0,47.0,49.83528518676758,644,0.0,
2010-07-01 00:00:00+00:00,50.0,50.0,47.0,43.37516021728516,26,0.0,
2010-07-02 00:00:00+00:00,44.0,45.0,41.0,40.606536865234375,212,0.0,
2010-07-06 00:00:00+00:00,40.0,40.0,30.0,35.06928253173828,369,0.0,
2010-07-07 00:00:00+00:00,38.0,38.0,35.0,32.30065155029297,151,0.0,
2010-07-08 00:00:00+00:00,35.0,35.0,31.0,31.377779006958008,316,0.0,
2010-07-09 00:00:00+00:00,32.0,32.0,31.0,29.53202247619629,73,0.0,
2010-07-12 00:00:00+00:00,31.0,38.0,31.0,31.377779006958008,114,0.0,
2010-07-13 00:00:00+00:00,34.0,34.0,34.0,31.377779006958008,0,0.0,
2010-07-14 00:00:00+00:00,37.0,42.0,36.0,36.91503143310547,29,0.0,
2010-07-15 00:00:00+00:00,35.0,35.0,35.0,32.30065155029297,19,0.0,
2010-07-16 00:00:00+00:00,35.0,35.0,35.0,32.30065155029297,2,0.0,
2010-07-19 00:00:00+00:00,35.0,35.0,35.0,32.30065155029297,22,0.0,
2010-07-20 00:00:00+00:00,32.0,38.0,32.0,35.06928253173828,5,0.0,
2010-07-21 00:00:00+00:00,38.0,38.0,38.0,35.06928253173828,4,0.0,
2010-07-22 00:00:00+00:00,38.0,38.0,32.0,29.53202247619629,7,0.0,
