date,BDL_Open,BDL_High,BDL_Low,BDL_Close,BDL_Volume,BDL_Dividends,BDL_Stock Splits
1973-02-21 00:00:00+00:00,0.0,9.0,9.0,5.821303844451904,6400,0.0,
1973-02-22 00:00:00+00:00,0.0,9.25,9.25,5.983007907867432,4800,0.0,
1973-02-23 00:00:00+00:00,0.0,8.875,8.875,5.740453243255615,4400,0.0,
1973-02-26 00:00:00+00:00,0.0,8.5,8.5,5.497899055480957,6600,0.0,
1973-02-27 00:00:00+00:00,0.0,8.25,8.25,5.33619499206543,1400,0.0,
1973-02-28 00:00:00+00:00,0.0,8.25,8.25,5.33619499206543,1800,0.0,
1973-03-01 00:00:00+00:00,0.0,8.125,8.125,5.255343914031982,1200,0.0,
1973-03-02 00:00:00+00:00,0.0,8.125,8.125,5.255343914031982,7400,0.0,
1973-03-05 00:00:00+00:00,0.0,8.125,8.125,5.255343914031982,4800,0.0,
1973-03-06 00:00:00+00:00,0.0,8.0625,8.0625,5.21491813659668,3800,0.0,
1973-03-07 00:00:00+00:00,0.0,8.5,8.5,5.497899055480957,3400,0.0,
1973-03-08 00:00:00+00:00,0.0,8.5,8.5,5.497899055480957,1800,0.0,
1973-03-09 00:00:00+00:00,0.0,8.375,8.375,5.417047500610352,1400,0.0,
1973-03-12 00:00:00+00:00,0.0,8.5,8.5,5.497899055480957,1600,0.0,
1973-03-13 00:00:00+00:00,0.0,8.5,8.5,5.497899055480957,400,0.0,
1973-03-14 00:00:00+00:00,0.0,8.625,8.625,5.578749656677246,800,0.0,
1973-03-15 00:00:00+00:00,0.0,8.25,8.25,5.33619499206543,2600,0.0,
1973-03-16 00:00:00+00:00,0.0,7.625,7.625,4.931938171386719,7000,0.0,
1973-03-19 00:00:00+00:00,0.0,7.875,7.875,5.093641757965088,1400,0.0,
1973-03-20 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,200,0.0,
1973-03-21 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,3400,0.0,
1973-03-22 00:00:00+00:00,0.0,7.0,7.0,4.52768087387085,19400,0.0,
1973-03-23 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,19000,0.0,
1973-03-26 00:00:00+00:00,0.0,7.875,7.875,5.093641757965088,5600,0.0,
1973-03-27 00:00:00+00:00,0.0,7.8125,7.8125,5.053215026855469,800,0.0,
1973-03-28 00:00:00+00:00,0.0,7.8125,7.8125,5.053215026855469,2000,0.0,
1973-03-29 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,13200,0.0,
1973-03-30 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,6600,0.0,
1973-04-02 00:00:00+00:00,0.0,7.6875,7.6875,4.9723639488220215,3000,0.0,
1973-04-03 00:00:00+00:00,0.0,7.6875,7.6875,4.9723639488220215,6600,0.0,
1973-04-04 00:00:00+00:00,0.0,7.6875,7.6875,4.9723639488220215,200,0.0,
1973-04-05 00:00:00+00:00,0.0,7.6875,7.6875,4.9723639488220215,3200,0.0,
1973-04-06 00:00:00+00:00,0.0,7.8125,7.8125,5.053215026855469,2400,0.0,
1973-04-09 00:00:00+00:00,0.0,7.8125,7.8125,5.053215026855469,2800,0.0,
1973-04-10 00:00:00+00:00,0.0,7.8125,7.8125,5.053215026855469,1000,0.0,
1973-04-11 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,1800,0.0,
1973-04-12 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,6400,0.0,
1973-04-13 00:00:00+00:00,0.0,7.8125,7.8125,5.053215026855469,1000,0.0,
1973-04-16 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,800,0.0,
1973-04-17 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,2200,0.0,
1973-04-18 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,1000,0.0,
1973-04-19 00:00:00+00:00,0.0,7.8125,7.8125,5.053215026855469,1000,0.0,
1973-04-23 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,2800,0.0,
1973-04-24 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,2400,0.0,
1973-04-25 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,5400,0.0,
1973-04-26 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,2200,0.0,
1973-04-27 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,4800,0.0,
1973-04-30 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,7800,0.0,
1973-05-01 00:00:00+00:00,0.0,7.8125,7.8125,5.053215026855469,4400,0.0,
1973-05-02 00:00:00+00:00,0.0,7.75,7.75,5.012789726257324,12800,0.0,
1973-05-03 00:00:00+00:00,0.0,8.0,7.75,5.174491882324219,2200,0.0,
1973-05-04 00:00:00+00:00,0.0,8.0,7.75,5.012789726257324,1600,0.0,
1973-05-07 00:00:00+00:00,0.0,7.8125,7.75,5.012789726257324,1200,0.0,
1973-05-08 00:00:00+00:00,0.0,7.75,7.6875,4.9723639488220215,3000,0.0,
1973-05-09 00:00:00+00:00,0.0,7.8125,7.6875,5.012789726257324,8600,0.0,
1973-05-10 00:00:00+00:00,0.0,8.375,7.6875,5.376621723175049,16400,0.0,
1973-05-11 00:00:00+00:00,0.0,8.5,8.0,5.417047500610352,17000,0.0,
1973-05-14 00:00:00+00:00,0.0,8.375,8.0,5.174491882324219,2400,0.0,
1973-05-15 00:00:00+00:00,0.0,7.9375,7.75,5.053215026855469,5400,0.0,
1973-05-16 00:00:00+00:00,0.0,7.9375,7.9375,5.134066581726074,1200,0.0,
