date,EMKR_Open,EMKR_High,EMKR_Low,EMKR_Close,EMKR_Volume,EMKR_Dividends,EMKR_Stock Splits
1997-03-06 00:00:00+00:00,190.0,207.5,185.0,158.50694274902344,81350,0.0,
1997-03-07 00:00:00+00:00,207.5,237.5,205.0,182.5231475830078,19425,0.0,
1997-03-10 00:00:00+00:00,230.0,240.0,225.0,178.68055725097656,11795,0.0,
1997-03-11 00:00:00+00:00,240.0,255.0,232.5,186.36573791503903,3245,0.0,
1997-03-12 00:00:00+00:00,237.5,245.0,230.0,180.6018524169922,5485,0.0,
1997-03-13 00:00:00+00:00,242.5,242.5,230.0,184.44444274902344,5015,0.0,
1997-03-14 00:00:00+00:00,230.0,242.5,230.0,184.44444274902344,315,0.0,
1997-03-17 00:00:00+00:00,245.0,247.5,237.5,184.44444274902344,7940,0.0,
1997-03-18 00:00:00+00:00,237.5,245.0,237.5,188.2870330810547,7090,0.0,
1997-03-19 00:00:00+00:00,245.0,245.0,237.5,183.4837951660156,1415,0.0,
1997-03-20 00:00:00+00:00,237.5,242.5,237.5,186.36573791503903,1565,0.0,
1997-03-21 00:00:00+00:00,242.5,242.5,237.5,184.44444274902344,330,0.0,
1997-03-24 00:00:00+00:00,237.5,237.5,230.0,176.75926208496094,3305,0.0,
1997-03-25 00:00:00+00:00,230.0,230.0,225.0,176.75926208496094,3115,0.0,
1997-03-26 00:00:00+00:00,232.5,232.5,227.5,178.68055725097656,4935,0.0,
1997-03-27 00:00:00+00:00,232.5,232.5,227.5,174.8379669189453,335,0.0,
1997-03-31 00:00:00+00:00,225.0,232.5,222.5,170.995361328125,265,0.0,
1997-04-01 00:00:00+00:00,222.5,232.5,222.5,178.68055725097656,5655,0.0,
1997-04-02 00:00:00+00:00,232.5,232.5,227.5,175.79861450195312,380,0.0,
1997-04-03 00:00:00+00:00,225.0,225.0,225.0,172.9166717529297,35,0.0,
1997-04-04 00:00:00+00:00,232.5,232.5,225.0,172.9166717529297,90,0.0,
1997-04-07 00:00:00+00:00,225.0,232.5,225.0,174.8379669189453,160,0.0,
1997-04-08 00:00:00+00:00,225.0,232.5,225.0,178.68055725097656,65,0.0,
1997-04-09 00:00:00+00:00,235.0,235.0,225.0,174.8379669189453,1210,0.0,
1997-04-10 00:00:00+00:00,225.0,235.0,222.5,170.995361328125,1180,0.0,
1997-04-11 00:00:00+00:00,220.0,220.0,220.0,169.07406616210938,270,0.0,
1997-04-14 00:00:00+00:00,220.0,230.0,220.0,176.75926208496094,265,0.0,
1997-04-15 00:00:00+00:00,230.0,230.0,220.0,170.995361328125,1090,0.0,
1997-04-16 00:00:00+00:00,225.0,232.5,225.0,176.75926208496094,365,0.0,
