date,LOAN_Open,LOAN_High,LOAN_Low,LOAN_Close,LOAN_Volume,LOAN_Dividends,LOAN_Stock Splits
1999-05-13 00:00:00+00:00,6.75,7.0,5.625,1.987789511680603,794700,0.0,
1999-05-14 00:00:00+00:00,6.125,6.25,5.875,2.0390212535858154,181500,0.0,
1999-05-17 00:00:00+00:00,6.125,6.34375,5.75,1.9672967195510864,47100,0.0,
1999-05-18 00:00:00+00:00,6.0,6.125,5.59375,1.9058184623718264,72100,0.0,
1999-05-19 00:00:00+00:00,5.6875,5.9375,5.6875,1.885326623916626,23100,0.0,
1999-05-20 00:00:00+00:00,5.6875,5.875,5.5625,1.844340443611145,44200,0.0,
1999-05-21 00:00:00+00:00,5.625,5.875,5.5625,1.844340443611145,29200,0.0,
1999-05-24 00:00:00+00:00,5.75,5.75,4.875,1.5984288454055786,56500,0.0,
1999-05-25 00:00:00+00:00,5.0,5.125,4.625,1.6394140720367432,89300,0.0,
1999-05-26 00:00:00+00:00,5.125,5.375,4.9375,1.6189212799072266,44300,0.0,
1999-05-27 00:00:00+00:00,5.0625,5.0625,4.8125,1.5779361724853516,43200,0.0,
1999-05-28 00:00:00+00:00,4.9375,5.375,4.8125,1.7418770790100098,28800,0.0,
1999-06-01 00:00:00+00:00,5.34375,5.5,5.1875,1.7418770790100098,41600,0.0,
1999-06-02 00:00:00+00:00,5.1875,5.3125,4.5625,1.5369499921798706,104700,0.0,
1999-06-03 00:00:00+00:00,5.0,5.0,4.875,1.5984288454055786,31900,0.0,
1999-06-04 00:00:00+00:00,4.875,5.125,4.625,1.6394140720367432,22800,0.0,
1999-06-07 00:00:00+00:00,4.75,4.8125,4.5,1.5574427843093872,16400,0.0,
1999-06-08 00:00:00+00:00,4.75,4.75,4.375,1.4754728078842163,43300,0.0,
1999-06-09 00:00:00+00:00,4.5,4.75,4.5,1.516457438468933,11600,0.0,
1999-06-10 00:00:00+00:00,4.375,4.625,4.375,1.516457438468933,15000,0.0,
1999-06-11 00:00:00+00:00,4.5,5.25,4.5,1.5984288454055786,45800,0.0,
1999-06-14 00:00:00+00:00,4.9375,4.9375,4.625,1.516457438468933,43700,0.0,
1999-06-15 00:00:00+00:00,4.625,4.625,4.125,1.4139944314956665,37800,0.0,
1999-06-16 00:00:00+00:00,4.34375,4.5,4.1875,1.3730090856552124,26900,0.0,
1999-06-17 00:00:00+00:00,4.1875,4.25,4.1875,1.3935017585754397,11500,0.0,
1999-06-18 00:00:00+00:00,4.25,4.5,4.25,1.4344874620437622,15400,0.0,
1999-06-21 00:00:00+00:00,4.5,4.5,4.25,1.3935017585754397,29600,0.0,
1999-06-22 00:00:00+00:00,4.25,4.25,3.9375,1.332023859024048,56400,0.0,
1999-06-23 00:00:00+00:00,4.0,4.0,3.9375,1.2910387516021729,15600,0.0,
1999-06-24 00:00:00+00:00,4.0,4.0,3.625,1.2705457210540771,27200,0.0,
1999-06-25 00:00:00+00:00,3.8125,4.1875,3.8125,1.3730090856552124,28300,0.0,
1999-06-28 00:00:00+00:00,4.0,4.125,3.9375,1.3115314245224,25000,0.0,
1999-06-29 00:00:00+00:00,4.0625,4.3125,4.0,1.4139944314956665,29400,0.0,
1999-06-30 00:00:00+00:00,4.125,4.3125,4.125,1.3525162935256958,4200,0.0,
