date,PLG_Open,PLG_High,PLG_Low,PLG_Close,PLG_Volume,PLG_Dividends,PLG_Stock Splits
2005-11-10 00:00:00+00:00,126.0,127.0,124.0,127.0,155,,
2005-11-11 00:00:00+00:00,127.0,129.0,126.0,127.0,355,,
2005-11-14 00:00:00+00:00,125.0,134.0,125.0,130.0,413,,
2005-11-15 00:00:00+00:00,132.0,132.0,122.0,127.0,624,,
2005-11-16 00:00:00+00:00,131.0,131.0,128.0,130.0,309,,
2005-11-17 00:00:00+00:00,130.0,130.0,122.0,122.0,85,,
2005-11-18 00:00:00+00:00,122.0,131.0,122.0,129.0,208,,
2005-11-21 00:00:00+00:00,129.0,131.0,129.0,130.0,503,,
2005-11-22 00:00:00+00:00,130.0,140.0,128.0,137.0,1829,,
2005-11-23 00:00:00+00:00,140.0,140.0,136.0,137.0,1766,,
2005-11-25 00:00:00+00:00,137.0,137.0,135.0,136.0,163,,
2005-11-28 00:00:00+00:00,136.0,137.0,135.0,135.0,309,,
2005-11-29 00:00:00+00:00,135.0,137.0,130.0,135.0,797,,
2005-11-30 00:00:00+00:00,135.0,137.0,134.0,135.0,498,,
2005-12-01 00:00:00+00:00,135.0,135.0,130.0,130.0,1001,,
2005-12-02 00:00:00+00:00,130.0,131.0,126.0,131.0,561,,
2005-12-05 00:00:00+00:00,131.0,137.0,128.0,135.0,233,,
2005-12-06 00:00:00+00:00,135.0,137.0,127.0,130.0,655,,
2005-12-07 00:00:00+00:00,130.0,132.0,129.0,132.0,523,,
2005-12-08 00:00:00+00:00,130.0,130.0,127.0,127.0,42,,
2005-12-09 00:00:00+00:00,128.0,128.0,126.0,128.0,337,,
2005-12-12 00:00:00+00:00,128.0,140.0,128.0,138.0,661,,
2005-12-13 00:00:00+00:00,138.0,140.0,135.0,135.0,225,,
2005-12-14 00:00:00+00:00,137.0,138.0,130.0,138.0,111,,
2005-12-15 00:00:00+00:00,138.0,138.0,133.0,136.0,358,,
2005-12-16 00:00:00+00:00,131.0,135.0,128.0,130.0,172,,
2005-12-19 00:00:00+00:00,130.0,134.0,128.0,130.0,151,,
2005-12-20 00:00:00+00:00,114.0,130.0,114.0,128.0,149,,
2005-12-21 00:00:00+00:00,130.0,133.0,130.0,130.0,72,,
2005-12-22 00:00:00+00:00,128.0,132.0,128.0,132.0,296,,
2005-12-23 00:00:00+00:00,128.0,129.0,127.0,128.0,70,,
2005-12-27 00:00:00+00:00,128.0,134.0,125.0,125.0,250,,
2005-12-28 00:00:00+00:00,132.0,135.0,132.0,135.0,73,,
2005-12-29 00:00:00+00:00,129.0,129.0,128.0,129.0,45,,
2005-12-30 00:00:00+00:00,130.0,130.0,127.0,128.0,115,,
2006-01-03 00:00:00+00:00,130.0,132.0,125.0,132.0,201,,
2006-01-04 00:00:00+00:00,130.0,138.0,127.0,138.0,279,,
2006-01-05 00:00:00+00:00,130.0,133.0,110.0,128.0,1830,,
2006-01-06 00:00:00+00:00,128.0,128.0,125.0,127.0,371,,
2006-01-09 00:00:00+00:00,125.0,125.0,120.0,120.0,524,,
2006-01-10 00:00:00+00:00,120.0,127.0,120.0,127.0,302,,
2006-01-11 00:00:00+00:00,126.0,126.0,123.0,123.0,93,,
2006-01-12 00:00:00+00:00,123.0,125.0,118.0,119.0,618,,
2006-01-13 00:00:00+00:00,118.0,120.0,111.0,119.0,383,,
2006-01-17 00:00:00+00:00,115.0,125.0,113.0,118.0,1214,,
2006-01-18 00:00:00+00:00,118.0,118.0,113.0,115.0,367,,
2006-01-19 00:00:00+00:00,115.0,128.0,115.0,124.0,2493,,
2006-01-20 00:00:00+00:00,123.0,125.0,120.0,125.0,442,,
2006-01-23 00:00:00+00:00,121.0,131.0,121.0,129.0,176,,
2006-01-24 00:00:00+00:00,126.0,129.0,125.0,125.0,240,,
2006-01-25 00:00:00+00:00,127.0,130.0,126.0,130.0,381,,
2006-01-26 00:00:00+00:00,130.0,130.0,127.0,129.0,130,,
2006-01-27 00:00:00+00:00,129.0,130.0,126.0,130.0,250,,
2006-01-30 00:00:00+00:00,131.0,134.0,126.0,132.0,504,,
2006-01-31 00:00:00+00:00,133.0,139.0,129.0,137.0,270,,
2006-02-01 00:00:00+00:00,138.0,138.0,133.0,134.0,342,,
2006-02-02 00:00:00+00:00,135.0,135.0,131.0,131.0,237,,
2006-02-03 00:00:00+00:00,133.0,133.0,131.0,131.0,13,,
2006-02-06 00:00:00+00:00,131.0,131.0,128.0,130.0,271,,
2006-02-07 00:00:00+00:00,125.0,127.0,113.0,118.0,498,,
2006-02-08 00:00:00+00:00,119.0,123.0,118.0,119.0,190,,
2006-02-09 00:00:00+00:00,123.0,128.0,123.0,125.0,165,,
2006-02-10 00:00:00+00:00,124.0,128.0,122.0,128.0,167,,
2006-02-13 00:00:00+00:00,118.0,134.0,118.0,127.0,272,,
2006-02-14 00:00:00+00:00,118.0,122.0,118.0,122.0,39,,
2006-02-15 00:00:00+00:00,127.0,127.0,124.0,124.0,15,,
2006-02-16 00:00:00+00:00,124.0,124.0,123.0,123.0,110,,
2006-02-17 00:00:00+00:00,123.0,124.0,122.0,123.0,72,,
2006-02-21 00:00:00+00:00,125.0,125.0,115.0,122.0,325,,
2006-02-22 00:00:00+00:00,122.0,127.0,105.0,109.0,492,,
2006-02-23 00:00:00+00:00,121.0,126.0,118.0,124.0,341,,
2006-02-24 00:00:00+00:00,126.0,133.0,126.0,132.0,175,,
2006-02-27 00:00:00+00:00,130.0,135.0,130.0,135.0,614,,
2006-02-28 00:00:00+00:00,135.0,140.0,135.0,139.0,874,,
2006-03-01 00:00:00+00:00,137.0,137.0,132.0,132.0,35,,
