date,KTRA_Open,KTRA_High,KTRA_Low,KTRA_Close,KTRA_Volume,KTRA_Dividends,KTRA_Stock Splits
2013-02-22 00:00:00+00:00,750.0,850.0,750.0,850.0,80,,
2013-02-25 00:00:00+00:00,850.0,855.0,850.0,855.0,14,,
2013-02-26 00:00:00+00:00,860.0,870.0,750.0,870.0,260,,
2013-02-27 00:00:00+00:00,925.0,1700.0,925.0,1700.0,15,,
2013-02-28 00:00:00+00:00,1625.0,1625.0,1005.0,1100.0,8,,
2013-03-01 00:00:00+00:00,1100.0,1100.0,1025.0,1050.0,7,,
2013-03-04 00:00:00+00:00,1050.0,1050.0,1050.0,1050.0,0,,
2013-03-05 00:00:00+00:00,1050.0,1050.0,1050.0,1050.0,0,,
2013-03-06 00:00:00+00:00,1125.0,1500.0,1125.0,1225.0,20,,
2013-03-07 00:00:00+00:00,1250.0,1250.0,1225.0,1225.0,10,,
2013-03-08 00:00:00+00:00,1225.0,1225.0,1225.0,1225.0,1,,
2013-03-11 00:00:00+00:00,1125.0,1125.0,1125.0,1125.0,4,,
2013-03-12 00:00:00+00:00,1050.0,1050.0,900.0,900.0,29,,
2013-03-13 00:00:00+00:00,1125.0,1125.0,1125.0,1125.0,1,,
2013-03-14 00:00:00+00:00,1000.0,1000.0,925.0,925.0,6,,
2013-03-15 00:00:00+00:00,930.0,1120.0,750.0,995.0,156,,
2013-03-18 00:00:00+00:00,840.0,995.0,800.0,995.0,54,,
2013-03-19 00:00:00+00:00,835.0,835.0,750.0,795.0,189,,
2013-03-20 00:00:00+00:00,760.0,800.0,750.0,750.0,6,,
2013-03-21 00:00:00+00:00,750.0,750.0,625.0,700.0,69,,
2013-03-22 00:00:00+00:00,660.0,745.0,650.0,700.0,112,,
2013-03-25 00:00:00+00:00,735.0,735.0,725.0,730.0,117,,
2013-03-26 00:00:00+00:00,735.0,775.0,725.0,775.0,143,,
2013-03-27 00:00:00+00:00,750.0,780.0,750.0,780.0,9,,
2013-03-28 00:00:00+00:00,785.0,785.0,735.0,770.0,28,,
2013-04-01 00:00:00+00:00,780.0,825.0,780.0,825.0,80,,
2013-04-02 00:00:00+00:00,825.0,850.0,785.0,850.0,18,,
2013-04-03 00:00:00+00:00,850.0,875.0,835.0,875.0,32,,
